"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the regular
wage/ salaried employees in CWS for each State/ UT
",,,,,,,,,
"Oct-Dec,2020",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,13890.68,13530.3,13767.96,19375.63,13196.78,17706.34,17118.22,13361.49,15987.94
Arunachal Pradesh,34504.53,18192.3,31537.55,34389.02,29991.8,33301.57,34472.84,22421.18,32051.24
Assam,16292.21,5748.93,13345.34,23733.79,19998.37,22862.38,17756.8,8046.04,15126.63
Bihar,20505.92,7209.16,18759.11,21442.71,16303.28,20720.55,20757.62,9794.22,19290.2
Chhattisgarh,12226.01,6262.2,11104.77,18700.05,12184.35,16850.13,15285.05,9847.2,13999.89
Delhi,22472.13,25339.74,22947.63,21826.24,24137.1,22138.01,21855.04,24204.63,22175.39
Goa,15568.3,14611.01,15334.99,23099.35,20350.02,22235.25,20257.92,18635.54,19788.61
Gujarat,10731.96,6027.77,10379.2,16536.88,14441.36,16111.91,14187.05,12942.67,13993.47
Haryana,18626.17,10211.93,17100.17,24993.48,20135.06,23730.26,21570.52,15937.95,20333
Himachal Pradesh,21506.27,18324.81,20751.55,21072.91,14175.87,18420.13,21435.19,17151.57,20295.51
Jharkhand,17082.04,5680.9,14515.89,26055.13,22014.88,25261.87,21886.24,13720.61,20171.85
Karnataka,14905.9,8202.59,12993.17,25668.59,19242.52,24150.26,22736.92,15646.19,20962.13
Kerala,23845.91,14809.43,19904.1,22125.14,18248.74,20675.26,22877.2,16524.56,20318.26
Madhya Pradesh,13304.12,12863.39,13236.73,25091.52,15576.27,23397.36,20928.58,14727.93,19878.57
Maharashtra,18521.17,12010.8,17360.86,23457.42,17453.93,21943.43,21812.88,16130.31,20511.17
Manipur,20582.12,15628.17,19804.67,24499.65,21111.98,23452.85,21997.55,18787.31,21294.4
Meghalaya,19714.19,5195.48,10480.27,25869.52,20945.13,24000.73,23034.33,9774.4,15986.03
Mizoram,26976.92,18670.15,25421.65,30319.62,27717.03,29571.6,29145.65,25580.59,28235.95
Nagaland,27889.81,15878.47,25197.02,28275.81,28880.36,28455.99,28036.32,22033,26511.63
Odisha,14628.26,8605.53,13107.52,20317.69,18090.12,19764.19,16573.39,11802.6,15375.31
Punjab,14421.03,5903.82,13183.23,16620.67,18239.51,16980.24,15649.21,14289.55,15390.91
Rajasthan,22498.81,6371.27,21404.72,24105.59,18624.75,23131.42,23192.14,14859.59,22203.32
Sikkim,17367.2,16010.46,16736.87,24514.12,24503.24,24510.55,19788.8,17914.1,18991.85
Tamil Nadu,16241.78,12782.24,15465.1,18203.39,14934.7,17185.72,17521.1,14386.75,16632.73
Telangana,13003.44,9341.2,12571.52,24920.38,15618.87,22553.6,20155.5,14319.51,18957.53
Tripura,16011.19,9214.15,12695.65,21870.21,16645.61,20069.31,18576.16,11449.11,15485.5
Uttarakhand,11585.06,7581.08,10530.92,20643.84,21293.66,20778.4,15958.31,13141.57,15290.25
Uttar Pradesh,12396.68,9604.68,11986.42,18606.13,17798.55,18488.29,15773.6,14044.03,15520.42
West Bengal,10776.46,5507.23,9152.21,19479.18,10006.65,16705.57,15503.24,7868.77,13213.31
Andaman & N. Island,39852.62,60803.87,45691.22,35238.59,41544.62,36696,37240.94,51103.6,40741.31
Chandigarh,14767.27,19916.6,17388.4,20651.04,21186.41,20809.95,20500.84,21109.65,20686.22
Dadra & Nagar Haveli & Daman & Diu,12693.56,10631.86,12025.33,16963.19,13232.25,16353.06,15804.67,11990.9,14987.78
Jammu & Kashmir,26506.02,23557.76,25990.25,26584.1,26119.54,26480.86,26533.15,24628.18,26167.37
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,27533.4,34597.57,29247.7,41535.01,47164.84,42491.19,37948.87,42761.97,38862.39
Puducherry,30875.1,13646.88,29869.18,22059.74,21075.81,21715.65,25235.86,20622.77,23998.98
all India,15961.5,10009.19,14706.58,21447.22,16567.57,20285.42,19103.41,14013.71,17949.69
"estimated  no. of regular wage/salaried
employee (00)*",297586,79501,377088,398920,124660,523580,696506,204161,900668
"sample  no. of regular wage/salaried
employee*",2627,791,3418,19940,6494,26434,22567,7285,29852
