observationDate,observationAbout,variableMeasured,value,unit,scalingFactor
2011,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,66.66667,dcs:Percent,100
2011,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2011,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,9.52381,dcs:Percent,100
2011,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2011,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,23.80952,dcs:Percent,100
2012,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,71.05263,dcs:Percent,100
2012,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,0,dcs:Percent,100
2012,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_DiedDuringTreatment_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,15.78947,dcs:Percent,100
2012,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_LostToFollowUp_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,7.89474,dcs:Percent,100
2012,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentNotEvaluated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,5.26316,dcs:Percent,100
2013,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_SuccessfullyTreated_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,63.04348,dcs:Percent,100
2013,country/AFG,dcid:Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis_TreatmentFailed_AsAFractionOf_Count_Person_ConditionMultidrugOrRifampicinResistantTuberculosis,2.17391,dcs:Percent,100
