GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01011","Bullock, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",253615,262385,259066,255625,252048,260973,245308,243624,274377,258957,247606,265390,241960,227326,222752,244091,244958,257012,266360,269007,260950,252515,267926
 "01011","Bullock, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",103.534,107.114,105.759,104.355,102.894,106.538,100.143,99.455,112.009,105.715,101.081,108.341,98.776,92.802,90.935,99.646,100.000,104.921,108.737,109.817,106.528,103.085,109.376
 "01011","Bullock, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",175064,184625,187913,191745,190022,199763,196703,201177,229522,222175,221503,244911,230567,219838,218211,240527,244958,259251,274843,285870,295659,302093,336598
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",461352,477532,498974,522962,515349,511149,543165,529879,495982,577171,601003,588210,594973,597419,620733,611955,630225,653349,637975,601322,639245,656864,660757
 "01013","Butler, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.204,75.772,79.174,82.980,81.772,81.106,86.186,84.078,78.699,91.582,95.363,93.333,94.406,94.795,98.494,97.101,100.000,103.669,101.230,95.414,101.431,104.227,104.845
 "01013","Butler, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",363625,379139,405478,441991,438602,442919,481543,474064,444955,524241,550388,551674,570775,584623,607347,598885,630225,666661,658166,634829,739464,827931,844597
 "01015","Calhoun, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3738470,3845020,3998886,4325523,4567037,4568102,4698563,4766737,4506202,4705487,4460812,4463867,4347654,4186770,4145820,4201651,4244400,4342966,4566934,4454207,4704903,4593362,4764871
 "01015","Calhoun, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.080,90.590,94.216,101.911,107.601,107.627,110.700,112.307,106.168,110.863,105.099,105.171,102.433,98.642,97.677,98.993,100.000,102.322,107.599,104.943,110.850,108.222,112.263
 "01015","Calhoun, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2755806,2890197,3056854,3399881,3686250,3805029,4016948,4148936,4008664,4227746,4071263,4135517,4073416,4008257,4032124,4124669,4244400,4456595,4764311,4718287,5235064,5453593,5891059
 "01017","Chambers, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",915157,943089,868308,946069,900883,851363,842650,736784,695441,753592,824718,806939,845763,835370,857265,875192,872734,909826,937830,882006,876257,878621,903782
 "01017","Chambers, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.861,108.062,99.493,108.403,103.225,97.551,96.553,84.423,79.685,86.348,94.498,92.461,96.910,95.719,98.228,100.282,100.000,104.250,107.459,101.062,100.404,100.675,103.558
 "01017","Chambers, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",704511,734954,674290,742554,717207,698390,703873,623722,606943,661077,728849,730089,780345,785247,836391,864741,872734,921262,962142,924561,950573,1013433,1108813
 "01019","Cherokee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",414610,413841,437043,475086,464946,483942,504792,523109,476809,508052,513632,528911,567565,557528,568884,562801,558805,592093,575262,534073,597740,607982,599214
 "01019","Cherokee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.196,74.058,78.210,85.018,83.204,86.603,90.334,93.612,85.327,90.918,91.916,94.650,101.568,99.772,101.804,100.715,100.000,105.957,102.945,95.574,106.968,108.800,107.231
 "01019","Cherokee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",308803,312404,335164,373100,370578,394358,421951,443208,413057,444080,462423,487261,535351,535539,555496,551657,558805,600426,594496,565209,666059,736332,745483
 "01021","Chilton, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",703975,729784,762299,811847,830594,844397,852938,812166,795685,819486,884721,916574,969262,908802,940046,972795,983589,1032448,1115138,1069934,1096741,1148340,1215493
 "01021","Chilton, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.572,74.196,77.502,82.539,84.445,85.849,86.717,82.572,80.896,83.316,89.948,93.187,98.543,92.397,95.573,98.903,100.000,104.967,113.374,108.779,111.504,116.750,123.577
 "01021","Chilton, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",503927,532159,568191,625647,656646,686753,711152,685864,689960,713462,774649,822012,888321,856050,913122,959362,983589,1055223,1161000,1145374,1257119,1410920,1554562
