"CONCEPT","CODE","NAME_EN","PARENT","SORT_ORDER","dcid","typeOf","containedInPlace","name","wikidataId","unDataCode","UnDataCode","alternateName","Parent_dcid","Comment"
"GEOGRAPHY","G30002256","Mahajanga","G00001750","","","","","""Mahajanga""","","","undata-geo:G30002256","","",""
"GEOGRAPHY","G30002257","Toliary","G00001750","","","","","""Toliary""","","","undata-geo:G30002257","","",""
"GEOGRAPHY","G30002258","Antsiranana","G00001750","","","","","""Antsiranana""","","","undata-geo:G30002258","","",""
"GEOGRAPHY","G30002259","Analamanga","G00001750","","","","","""Analamanga""","","","undata-geo:G30002259","","",""
"GEOGRAPHY","G30002260","Vakinankaratra","G00001750","","","","","""Vakinankaratra""","","","undata-geo:G30002260","","",""
"GEOGRAPHY","G30002261","Itasy","G00001750","","","","","""Itasy""","","","undata-geo:G30002261","","",""
"GEOGRAPHY","G30002262","Bongolava","G00001750","","","","","""Bongolava""","","","undata-geo:G30002262","","",""
"GEOGRAPHY","G30002263","""Haute Matsiatra""","G00001750","","","","","""Haute Matsiatra""","","","undata-geo:G30002263","","",""
"GEOGRAPHY","G30002264","""Amoron'I Mania""","G00001750","","","","","""Amoron'I Mania""","","","undata-geo:G30002264","","",""
"GEOGRAPHY","G30002265","""Vatovavy Fitovinany""","G00001750","","","","","""Vatovavy Fitovinany""","","","undata-geo:G30002265","","",""
"GEOGRAPHY","G30002266","Ihorombe","G00001750","","","","","""Ihorombe""","","","undata-geo:G30002266","","",""
"GEOGRAPHY","G30002267","""Atsimo Atsinanana""","G00001750","","","","","""Atsimo Atsinanana""","","","undata-geo:G30002267","","",""
"GEOGRAPHY","G30002268","Atsinanana","G00001750","","","","","""Atsinanana""","","","undata-geo:G30002268","","",""
"GEOGRAPHY","G30002269","Analanjirofo","G00001750","","","","","""Analanjirofo""","","","undata-geo:G30002269","","",""
"GEOGRAPHY","G30002270","""Alaotra Mangoro""","G00001750","","","","","""Alaotra Mangoro""","","","undata-geo:G30002270","","",""
"GEOGRAPHY","G30002271","Boeny","G00001750","","","","","""Boeny""","","","undata-geo:G30002271","","",""
"GEOGRAPHY","G30002272","Sofia","G00001750","","","","","""Sofia""","","","undata-geo:G30002272","","",""
"GEOGRAPHY","G30002273","Betsiboka","G00001750","","","","","""Betsiboka""","","","undata-geo:G30002273","","",""
"GEOGRAPHY","G30002274","Melaky","G00001750","","","","","""Melaky""","","","undata-geo:G30002274","","",""
"GEOGRAPHY","G30002275","""Atsimo Andrefana""","G00001750","","","","","""Atsimo Andrefana""","","","undata-geo:G30002275","","",""
"GEOGRAPHY","G30002276","Androy","G00001750","","","","","""Androy""","","","undata-geo:G30002276","","",""
"GEOGRAPHY","G30002277","Anosy","G00001750","","","","","""Anosy""","","","undata-geo:G30002277","","",""
"GEOGRAPHY","G30002278","Menabe","G00001750","","","","","""Menabe""","","","undata-geo:G30002278","","",""
"GEOGRAPHY","G30002279","Diana","G00001750","","","","","""Diana""","","","undata-geo:G30002279","","",""
"GEOGRAPHY","G30002280","Sava","G00001750","","","","","""Sava""","","","undata-geo:G30002280","","",""
"GEOGRAPHY","G30002281","Analamanga","G00001750","","","","","""Analamanga""","","","undata-geo:G30002281","","",""
"GEOGRAPHY","G30002282","Vakinankaratra","G00001750","","","","","""Vakinankaratra""","","","undata-geo:G30002282","","",""
"GEOGRAPHY","G30002283","Itasy","G00001750","","","","","""Itasy""","","","undata-geo:G30002283","","",""
"GEOGRAPHY","G30002284","Bongolava","G00001750","","","","","""Bongolava""","","","undata-geo:G30002284","","",""
"GEOGRAPHY","G30002285","""Haute Matsiatra""","G00001750","","","","","""Haute Matsiatra""","","","undata-geo:G30002285","","",""
"GEOGRAPHY","G30002286","""Amoron'I Mania""","G00001750","","","","","""Amoron'I Mania""","","","undata-geo:G30002286","","",""
"GEOGRAPHY","G30002287","""Vatovavy Fitovinany""","G00001750","","","","","""Vatovavy Fitovinany""","","","undata-geo:G30002287","","",""
"GEOGRAPHY","G30002288","Ihorombe","G00001750","","","","","""Ihorombe""","","","undata-geo:G30002288","","",""
"GEOGRAPHY","G30002289","""Atsimo Atsinanana""","G00001750","","","","","""Atsimo Atsinanana""","","","undata-geo:G30002289","","",""
"GEOGRAPHY","G30002290","Atsinanana","G00001750","","","","","""Atsinanana""","","","undata-geo:G30002290","","",""
"GEOGRAPHY","G30002291","Analanjirofo","G00001750","","","","","""Analanjirofo""","","","undata-geo:G30002291","","",""
"GEOGRAPHY","G30002292","""Alaotra Mangoro""","G00001750","","","","","""Alaotra Mangoro""","","","undata-geo:G30002292","","",""
"GEOGRAPHY","G30002293","Boeny","G00001750","","","","","""Boeny""","","","undata-geo:G30002293","","",""
"GEOGRAPHY","G30002294","Sofia","G00001750","","","","","""Sofia""","","","undata-geo:G30002294","","",""
"GEOGRAPHY","G30002295","Betsiboka","G00001750","","","","","""Betsiboka""","","","undata-geo:G30002295","","",""
"GEOGRAPHY","G30002296","Melaky","G00001750","","","","","""Melaky""","","","undata-geo:G30002296","","",""
"GEOGRAPHY","G30002297","""Atsimo Andrefana""","G00001750","","","","","""Atsimo Andrefana""","","","undata-geo:G30002297","","",""
"GEOGRAPHY","G30002298","Androy","G00001750","","","","","""Androy""","","","undata-geo:G30002298","","",""
"GEOGRAPHY","G30002299","Anosy","G00001750","","","","","""Anosy""","","","undata-geo:G30002299","","",""
"GEOGRAPHY","G30002300","Menabe","G00001750","","","","","""Menabe""","","","undata-geo:G30002300","","",""
"GEOGRAPHY","G30002301","Diana","G00001750","","","","","""Diana""","","","undata-geo:G30002301","","",""
"GEOGRAPHY","G30002302","Sava","G00001750","","","","","""Sava""","","","undata-geo:G30002302","","",""
"GEOGRAPHY","G30002303","North","G00001760","","","","","""North""","","","undata-geo:G30002303","","",""
"GEOGRAPHY","G30002304","Central","G00001760","","","","","""Central""","","","undata-geo:G30002304","","",""
"GEOGRAPHY","G30002305","South","G00001760","","","","","""South""","","","undata-geo:G30002305","","",""
"GEOGRAPHY","G30002306","North","G00001760","","","","","""North""","","","undata-geo:G30002306","","",""
"GEOGRAPHY","G30002307","Central","G00001760","","","","","""Central""","","","undata-geo:G30002307","","",""
"GEOGRAPHY","G30002308","South","G00001760","","","","","""South""","","","undata-geo:G30002308","","",""
"GEOGRAPHY","G30002309","North","G00001760","","","","","""North""","","","undata-geo:G30002309","","",""
"GEOGRAPHY","G30002310","Central","G00001760","","","","","""Central""","","","undata-geo:G30002310","","",""
"GEOGRAPHY","G30002311","South","G00001760","","","","","""South""","","","undata-geo:G30002311","","",""
"GEOGRAPHY","G30002312","North","G00001760","","","","","""North""","","","undata-geo:G30002312","","",""
"GEOGRAPHY","G30002313","Central","G00001760","","","","","""Central""","","","undata-geo:G30002313","","",""
"GEOGRAPHY","G30002314","South","G00001760","","","","","""South""","","","undata-geo:G30002314","","",""
"GEOGRAPHY","G30002315","""Northern Region""","G00001760","","","","","""Northern Region""","","","undata-geo:G30002315","","",""
"GEOGRAPHY","G30002316","""Central Region""","G00001760","","","","","""Central Region""","","","undata-geo:G30002316","","",""
"GEOGRAPHY","G30002317","""Southern Region""","G00001760","","","","","""Southern Region""","","","undata-geo:G30002317","","",""
"GEOGRAPHY","G30002318","Chitipa","G00001760","","","","","""Chitipa""","","","undata-geo:G30002318","","",""
"GEOGRAPHY","G30002319","Karonga","G00001760","","","","","""Karonga""","","","undata-geo:G30002319","","",""
"GEOGRAPHY","G30002320","""Nkhata Bay""","G00001760","","","","","""Nkhata Bay""","","","undata-geo:G30002320","","",""
"GEOGRAPHY","G30002321","Rumphi","G00001760","","","","","""Rumphi""","","","undata-geo:G30002321","","",""
"GEOGRAPHY","G30002322","Mzimba","G00001760","","","","","""Mzimba""","","","undata-geo:G30002322","","",""
"GEOGRAPHY","G30002323","""Mzuzu City""","G00001760","","","","","""Mzuzu City""","","","undata-geo:G30002323","","",""
"GEOGRAPHY","G30002324","Kasungu","G00001760","","","","","""Kasungu""","","","undata-geo:G30002324","","",""
"GEOGRAPHY","G30002325","Nkhotakota","G00001760","","","","","""Nkhotakota""","","","undata-geo:G30002325","","",""
"GEOGRAPHY","G30002326","Ntchisi","G00001760","","","","","""Ntchisi""","","","undata-geo:G30002326","","",""
"GEOGRAPHY","G30002327","Dowa","G00001760","","","","","""Dowa""","","","undata-geo:G30002327","","",""
"GEOGRAPHY","G30002328","Salima","G00001760","","","","","""Salima""","","","undata-geo:G30002328","","",""
"GEOGRAPHY","G30002329","Lilongwe","G00001760","","","","","""Lilongwe""","","","undata-geo:G30002329","","",""
"GEOGRAPHY","G30002330","Mchinji","G00001760","","","","","""Mchinji""","","","undata-geo:G30002330","","",""
"GEOGRAPHY","G30002331","Dedza","G00001760","","","","","""Dedza""","","","undata-geo:G30002331","","",""
"GEOGRAPHY","G30002332","Ntcheu","G00001760","","","","","""Ntcheu""","","","undata-geo:G30002332","","",""
"GEOGRAPHY","G30002333","""Lilongwe City""","G00001760","","","","","""Lilongwe City""","","","undata-geo:G30002333","","",""
"GEOGRAPHY","G30002334","Mangochi","G00001760","","","","","""Mangochi""","","","undata-geo:G30002334","","",""
"GEOGRAPHY","G30002335","Machinga","G00001760","","","","","""Machinga""","","","undata-geo:G30002335","","",""
"GEOGRAPHY","G30002336","Zomba","G00001760","","","","","""Zomba""","","","undata-geo:G30002336","","",""
"GEOGRAPHY","G30002337","Chiradzulu","G00001760","","","","","""Chiradzulu""","","","undata-geo:G30002337","","",""
"GEOGRAPHY","G30002338","Blantyre","G00001760","","","","","""Blantyre""","","","undata-geo:G30002338","","",""
"GEOGRAPHY","G30002339","Mwanza","G00001760","","","","","""Mwanza""","","","undata-geo:G30002339","","",""
"GEOGRAPHY","G30002340","Thyolo","G00001760","","","","","""Thyolo""","","","undata-geo:G30002340","","",""
"GEOGRAPHY","G30002341","Mulanje","G00001760","","","","","""Mulanje""","","","undata-geo:G30002341","","",""
"GEOGRAPHY","G30002342","Phalombe","G00001760","","","","","""Phalombe""","","","undata-geo:G30002342","","",""
"GEOGRAPHY","G30002343","Chikwawa","G00001760","","","","","""Chikwawa""","","","undata-geo:G30002343","","",""
"GEOGRAPHY","G30002344","Nsanje","G00001760","","","","","""Nsanje""","","","undata-geo:G30002344","","",""
"GEOGRAPHY","G30002345","Balaka","G00001760","","","","","""Balaka""","","","undata-geo:G30002345","","",""
"GEOGRAPHY","G30002346","Neno","G00001760","","","","","""Neno""","","","undata-geo:G30002346","","",""
"GEOGRAPHY","G30002347","""Zomba City""","G00001760","","","","","""Zomba City""","","","undata-geo:G30002347","","",""
"GEOGRAPHY","G30002348","""Blantyre City""","G00001760","","","","","""Blantyre City""","","","undata-geo:G30002348","","",""
"GEOGRAPHY","G30002349","North","G00001760","","","","","""North""","","","undata-geo:G30002349","","",""
"GEOGRAPHY","G30002350","Central","G00001760","","","","","""Central""","","","undata-geo:G30002350","","",""
"GEOGRAPHY","G30002351","South","G00001760","","","","","""South""","","","undata-geo:G30002351","","",""
"GEOGRAPHY","G30002352","Male","G00001820","","","","","""Male""","","","undata-geo:G30002352","","",""
"GEOGRAPHY","G30002353","North","G00001820","","","","","""North""","","","undata-geo:G30002353","","",""
"GEOGRAPHY","G30002354","""North Central""","G00001820","","","","","""North Central""","","","undata-geo:G30002354","","",""
"GEOGRAPHY","G30002355","Central","G00001820","","","","","""Central""","","","undata-geo:G30002355","","",""
"GEOGRAPHY","G30002356","""South Central""","G00001820","","","","","""South Central""","","","undata-geo:G30002356","","",""
"GEOGRAPHY","G30002357","South","G00001820","","","","","""South""","","","undata-geo:G30002357","","",""
"GEOGRAPHY","G30002358","Male","G00001820","","","","","""Male""","","","undata-geo:G30002358","","",""
"GEOGRAPHY","G30002359","North","G00001820","","","","","""North""","","","undata-geo:G30002359","","",""
"GEOGRAPHY","G30002360","""North Central""","G00001820","","","","","""North Central""","","","undata-geo:G30002360","","",""
"GEOGRAPHY","G30002361","Central","G00001820","","","","","""Central""","","","undata-geo:G30002361","","",""
"GEOGRAPHY","G30002362","""South Central""","G00001820","","","","","""South Central""","","","undata-geo:G30002362","","",""
"GEOGRAPHY","G30002363","South","G00001820","","","","","""South""","","","undata-geo:G30002363","","",""
"GEOGRAPHY","G30002364","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002364","","",""
"GEOGRAPHY","G30002365","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002365","","",""
"GEOGRAPHY","G30002366","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002366","","",""
"GEOGRAPHY","G30002367","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002367","","",""
"GEOGRAPHY","G30002368","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002368","","",""
"GEOGRAPHY","G30002369","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002369","","",""
"GEOGRAPHY","G30002370","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002370","","",""
"GEOGRAPHY","G30002371","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002371","","",""
"GEOGRAPHY","G30002372","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002372","","",""
"GEOGRAPHY","G30002373","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002373","","",""
"GEOGRAPHY","G30002374","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002374","","",""
"GEOGRAPHY","G30002375","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002375","","",""
"GEOGRAPHY","G30002376","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002376","","",""
"GEOGRAPHY","G30002377","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002377","","",""
"GEOGRAPHY","G30002378","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002378","","",""
"GEOGRAPHY","G30002379","Kidal","G00001830","","","","","""Kidal""","","","undata-geo:G30002379","","",""
"GEOGRAPHY","G30002380","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002380","","",""
"GEOGRAPHY","G30002381","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002381","","",""
"GEOGRAPHY","G30002382","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002382","","",""
"GEOGRAPHY","G30002383","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002383","","",""
"GEOGRAPHY","G30002384","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002384","","",""
"GEOGRAPHY","G30002385","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002385","","",""
"GEOGRAPHY","G30002386","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002386","","",""
"GEOGRAPHY","G30002387","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002387","","",""
"GEOGRAPHY","G30002388","Kidal","G00001830","","","","","""Kidal""","","","undata-geo:G30002388","","",""
"GEOGRAPHY","G30002389","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002389","","",""
"GEOGRAPHY","G30002390","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002390","","",""
"GEOGRAPHY","G30002391","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002391","","",""
"GEOGRAPHY","G30002392","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002392","","",""
"GEOGRAPHY","G30002393","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002393","","",""
"GEOGRAPHY","G30002394","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002394","","",""
"GEOGRAPHY","G30002395","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002395","","",""
"GEOGRAPHY","G30002396","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002396","","",""
"GEOGRAPHY","G30002397","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002397","","",""
"GEOGRAPHY","G30002398","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002398","","",""
"GEOGRAPHY","G30002399","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002399","","",""
"GEOGRAPHY","G30002400","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002400","","",""
"GEOGRAPHY","G30002401","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002401","","",""
"GEOGRAPHY","G30002402","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002402","","",""
"GEOGRAPHY","G30002403","Kidal","G00001830","","","","","""Kidal""","","","undata-geo:G30002403","","",""
"GEOGRAPHY","G30002404","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002404","","",""
"GEOGRAPHY","G30002405","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002405","","",""
"GEOGRAPHY","G30002406","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002406","","",""
"GEOGRAPHY","G30002407","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002407","","",""
"GEOGRAPHY","G30002408","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002408","","",""
"GEOGRAPHY","G30002409","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002409","","",""
"GEOGRAPHY","G30002410","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002410","","",""
"GEOGRAPHY","G30002411","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002411","","",""
"GEOGRAPHY","G30002412","Kidal","G00001830","","","","","""Kidal""","","","undata-geo:G30002412","","",""
"GEOGRAPHY","G30002413","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002413","","",""
"GEOGRAPHY","G30002414","Kayes","G00001830","","","","","""Kayes""","","","undata-geo:G30002414","","",""
"GEOGRAPHY","G30002415","Koulikoro","G00001830","","","","","""Koulikoro""","","","undata-geo:G30002415","","",""
"GEOGRAPHY","G30002416","Sikasso","G00001830","","","","","""Sikasso""","","","undata-geo:G30002416","","",""
"GEOGRAPHY","G30002417","Segou","G00001830","","","","","""Segou""","","","undata-geo:G30002417","","",""
"GEOGRAPHY","G30002418","Mopti","G00001830","","","","","""Mopti""","","","undata-geo:G30002418","","",""
"GEOGRAPHY","G30002419","Tombouctou","G00001830","","","","","""Tombouctou""","","","undata-geo:G30002419","","",""
"GEOGRAPHY","G30002420","Gao","G00001830","","","","","""Gao""","","","undata-geo:G30002420","","",""
"GEOGRAPHY","G30002421","Bamako","G00001830","","","","","""Bamako""","","","undata-geo:G30002421","","",""
"GEOGRAPHY","G30002422","""Hodh Echargui""","G00001870","","","","","""Hodh Echargui""","","","undata-geo:G30002422","","",""
"GEOGRAPHY","G30002423","""Hodh El Gharbi""","G00001870","","","","","""Hodh El Gharbi""","","","undata-geo:G30002423","","",""
"GEOGRAPHY","G30002424","Assaba","G00001870","","","","","""Assaba""","","","undata-geo:G30002424","","",""
"GEOGRAPHY","G30002425","Gorgol","G00001870","","","","","""Gorgol""","","","undata-geo:G30002425","","",""
"GEOGRAPHY","G30002426","Brakna","G00001870","","","","","""Brakna""","","","undata-geo:G30002426","","",""
"GEOGRAPHY","G30002427","Trarza","G00001870","","","","","""Trarza""","","","undata-geo:G30002427","","",""
"GEOGRAPHY","G30002428","Adrar","G00001870","","","","","""Adrar""","","","undata-geo:G30002428","","",""
"GEOGRAPHY","G30002429","Nouadhibou","G00001870","","","","","""Nouadhibou""","","","undata-geo:G30002429","","",""
"GEOGRAPHY","G30002430","Tagant","G00001870","","","","","""Tagant""","","","undata-geo:G30002430","","",""
"GEOGRAPHY","G30002431","Guidimagha","G00001870","","","","","""Guidimagha""","","","undata-geo:G30002431","","",""
"GEOGRAPHY","G30002432","""Tiris Zemour""","G00001870","","","","","""Tiris Zemour""","","","undata-geo:G30002432","","",""
"GEOGRAPHY","G30002433","Inchiri","G00001870","","","","","""Inchiri""","","","undata-geo:G30002433","","",""
"GEOGRAPHY","G30002434","Nouakchott","G00001870","","","","","""Nouakchott""","","","undata-geo:G30002434","","",""
"GEOGRAPHY","G30002435","""Hodh Echargui""","G00001870","","","","","""Hodh Echargui""","","","undata-geo:G30002435","","",""
"GEOGRAPHY","G30002436","""Hodh El Gharbi""","G00001870","","","","","""Hodh El Gharbi""","","","undata-geo:G30002436","","",""
"GEOGRAPHY","G30002437","Assaba","G00001870","","","","","""Assaba""","","","undata-geo:G30002437","","",""
"GEOGRAPHY","G30002438","Gorgol","G00001870","","","","","""Gorgol""","","","undata-geo:G30002438","","",""
"GEOGRAPHY","G30002439","Brakna","G00001870","","","","","""Brakna""","","","undata-geo:G30002439","","",""
"GEOGRAPHY","G30002440","Trarza","G00001870","","","","","""Trarza""","","","undata-geo:G30002440","","",""
"GEOGRAPHY","G30002441","Adrar","G00001870","","","","","""Adrar""","","","undata-geo:G30002441","","",""
"GEOGRAPHY","G30002442","Nouadhibou","G00001870","","","","","""Nouadhibou""","","","undata-geo:G30002442","","",""
"GEOGRAPHY","G30002443","Tagant","G00001870","","","","","""Tagant""","","","undata-geo:G30002443","","",""
"GEOGRAPHY","G30002444","Guidimagha","G00001870","","","","","""Guidimagha""","","","undata-geo:G30002444","","",""
"GEOGRAPHY","G30002445","""Tiris Zemour""","G00001870","","","","","""Tiris Zemour""","","","undata-geo:G30002445","","",""
"GEOGRAPHY","G30002446","Nouakchott","G00001870","","","","","""Nouakchott""","","","undata-geo:G30002446","","",""
"GEOGRAPHY","G30002447","""Hodh Echargui""","G00001870","","","","","""Hodh Echargui""","","","undata-geo:G30002447","","",""
"GEOGRAPHY","G30002448","""Hodh El Gharbi""","G00001870","","","","","""Hodh El Gharbi""","","","undata-geo:G30002448","","",""
"GEOGRAPHY","G30002449","Assaba","G00001870","","","","","""Assaba""","","","undata-geo:G30002449","","",""
"GEOGRAPHY","G30002450","Gorgol","G00001870","","","","","""Gorgol""","","","undata-geo:G30002450","","",""
"GEOGRAPHY","G30002451","Brakna","G00001870","","","","","""Brakna""","","","undata-geo:G30002451","","",""
"GEOGRAPHY","G30002452","Trarza","G00001870","","","","","""Trarza""","","","undata-geo:G30002452","","",""
"GEOGRAPHY","G30002453","Adrar","G00001870","","","","","""Adrar""","","","undata-geo:G30002453","","",""
"GEOGRAPHY","G30002454","Nouadhibou","G00001870","","","","","""Nouadhibou""","","","undata-geo:G30002454","","",""
"GEOGRAPHY","G30002455","Tagant","G00001870","","","","","""Tagant""","","","undata-geo:G30002455","","",""
"GEOGRAPHY","G30002456","Guidimagha","G00001870","","","","","""Guidimagha""","","","undata-geo:G30002456","","",""
"GEOGRAPHY","G30002457","""Tiris Zemour""","G00001870","","","","","""Tiris Zemour""","","","undata-geo:G30002457","","",""
"GEOGRAPHY","G30002458","Inchiri","G00001870","","","","","""Inchiri""","","","undata-geo:G30002458","","",""
"GEOGRAPHY","G30002459","Nouakchott","G00001870","","","","","""Nouakchott""","","","undata-geo:G30002459","","",""
"GEOGRAPHY","G30002460","Noroeste","G00001930","","","","","""Noroeste""","","","undata-geo:G30002460","","",""
"GEOGRAPHY","G30002461","Noreste","G00001930","","","","","""Noreste""","","","undata-geo:G30002461","","",""
"GEOGRAPHY","G30002462","Centro","G00001930","","","","","""Centro""","","","undata-geo:G30002462","","",""
"GEOGRAPHY","G30002463","""Cdmx-Edo Mexico""","G00001930","","","","","""Cdmx-Edo Mexico""","","","undata-geo:G30002463","","",""
"GEOGRAPHY","G30002464","Sur","G00001930","","","","","""Sur""","","","undata-geo:G30002464","","",""
"GEOGRAPHY","G30002465","Western","G00001990","","","","","""Western""","","","undata-geo:G30002465","","",""
"GEOGRAPHY","G30002466","Khangai","G00001990","","","","","""Khangai""","","","undata-geo:G30002466","","",""
"GEOGRAPHY","G30002467","Central","G00001990","","","","","""Central""","","","undata-geo:G30002467","","",""
"GEOGRAPHY","G30002468","Eastern","G00001990","","","","","""Eastern""","","","undata-geo:G30002468","","",""
"GEOGRAPHY","G30002469","Ulaanbaatar","G00001990","","","","","""Ulaanbaatar""","","","undata-geo:G30002469","","",""
"GEOGRAPHY","G30002470","Western","G00001990","","","","","""Western""","","","undata-geo:G30002470","","",""
"GEOGRAPHY","G30002471","Khangai","G00001990","","","","","""Khangai""","","","undata-geo:G30002471","","",""
"GEOGRAPHY","G30002472","Central","G00001990","","","","","""Central""","","","undata-geo:G30002472","","",""
"GEOGRAPHY","G30002473","Eastern","G00001990","","","","","""Eastern""","","","undata-geo:G30002473","","",""
"GEOGRAPHY","G30002474","Ulaanbaatar","G00001990","","","","","""Ulaanbaatar""","","","undata-geo:G30002474","","",""
"GEOGRAPHY","G30002475","Western","G00001990","","","","","""Western""","","","undata-geo:G30002475","","",""
"GEOGRAPHY","G30002476","Khangai","G00001990","","","","","""Khangai""","","","undata-geo:G30002476","","",""
"GEOGRAPHY","G30002477","Central","G00001990","","","","","""Central""","","","undata-geo:G30002477","","",""
"GEOGRAPHY","G30002478","Eastern","G00001990","","","","","""Eastern""","","","undata-geo:G30002478","","",""
"GEOGRAPHY","G30002479","Ulaanbaatar","G00001990","","","","","""Ulaanbaatar""","","","undata-geo:G30002479","","",""
"GEOGRAPHY","G30002480","Western","G00001990","","","","","""Western""","","","undata-geo:G30002480","","",""
"GEOGRAPHY","G30002481","Khangai","G00001990","","","","","""Khangai""","","","undata-geo:G30002481","","",""
"GEOGRAPHY","G30002482","Central","G00001990","","","","","""Central""","","","undata-geo:G30002482","","",""
"GEOGRAPHY","G30002483","Eastern","G00001990","","","","","""Eastern""","","","undata-geo:G30002483","","",""
"GEOGRAPHY","G30002484","Ulaanbaatar","G00001990","","","","","""Ulaanbaatar""","","","undata-geo:G30002484","","",""
"GEOGRAPHY","G30002485","South","G00002000","","","","","""South""","","","undata-geo:G30002485","","",""
"GEOGRAPHY","G30002486","Centre","G00002000","","","","","""Centre""","","","undata-geo:G30002486","","",""
"GEOGRAPHY","G30002487","North","G00002000","","","","","""North""","","","undata-geo:G30002487","","",""
"GEOGRAPHY","G30002488","North","G00002000","","","","","""North""","","","undata-geo:G30002488","","",""
"GEOGRAPHY","G30002489","Centre","G00002000","","","","","""Centre""","","","undata-geo:G30002489","","",""
"GEOGRAPHY","G30002490","South","G00002000","","","","","""South""","","","undata-geo:G30002490","","",""
"GEOGRAPHY","G30002491","South","G00002000","","","","","""South""","","","undata-geo:G30002491","","",""
"GEOGRAPHY","G30002492","Centre","G00002000","","","","","""Centre""","","","undata-geo:G30002492","","",""
"GEOGRAPHY","G30002493","North","G00002000","","","","","""North""","","","undata-geo:G30002493","","",""
"GEOGRAPHY","G30002494","""Laayoune-Boujdour-Sakia El Hamra""","G00002020","","","","","""Laayoune-Boujdour-Sakia El Hamra""","","","undata-geo:G30002494","","",""
"GEOGRAPHY","G30002495","""Guelmim-Es Smara""","G00002020","","","","","""Guelmim-Es Smara""","","","undata-geo:G30002495","","",""
"GEOGRAPHY","G30002496","Souss-Massa-Draa","G00002020","","","","","""Souss-Massa-Draa""","","","undata-geo:G30002496","","",""
"GEOGRAPHY","G30002497","""Gharb-Chrarda-Bni Hssen""","G00002020","","","","","""Gharb-Chrarda-Bni Hssen""","","","undata-geo:G30002497","","",""
"GEOGRAPHY","G30002498","Chaouia-Ouardigha","G00002020","","","","","""Chaouia-Ouardigha""","","","undata-geo:G30002498","","",""
"GEOGRAPHY","G30002499","""Marrakech-Tensift-El Haouz""","G00002020","","","","","""Marrakech-Tensift-El Haouz""","","","undata-geo:G30002499","","",""
"GEOGRAPHY","G30002500","Oriental","G00002020","","","","","""Oriental""","","","undata-geo:G30002500","","",""
"GEOGRAPHY","G30002501","""Grand Casablanca""","G00002020","","","","","""Grand Casablanca""","","","undata-geo:G30002501","","",""
"GEOGRAPHY","G30002502","Rabat-Sale-Zemmour-Zaer","G00002020","","","","","""Rabat-Sale-Zemmour-Zaer""","","","undata-geo:G30002502","","",""
