"CONCEPT","CODE","NAME_EN","PARENT","SORT_ORDER","dcid","typeOf","containedInPlace","name","wikidataId","unDataCode","UnDataCode","alternateName","Parent_dcid","Comment"
"GEOGRAPHY","G00000180","Austria","G00132000","","country/AUT","Country","EuropeanUnion,WesternEurope,europe,undata-geo/G00406000","""Austria""","""Q40""","""undata-geo:G00000180""","undata-geo:G00000180","","",""
"GEOGRAPHY","G00000190","Azerbaijan","G00403300","","country/AZE","Country","WesternAsia,asia,europe,undata-geo/G00403000,undata-geo/G00403300","""Azerbaijan""","""Q227""","""undata-geo:G00000190""","undata-geo:G00000190","","",""
"GEOGRAPHY","G00000200","""Azores Islands""","G00133000","","undata-geo/G00000200","GeoRegion","Earth,SouthernEurope,europe","""Azores Islands""","","""undata-geo:G00000200""","undata-geo:G00000200","","",""
"GEOGRAPHY","G00000210","Bahamas","G00405200","","country/BHS","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Bahamas"",""The Bahamas""","""Q778""","""undata-geo:G00000210""","undata-geo:G00000210","","",""
"GEOGRAPHY","G00000220","Bahrain","G00120000","","country/BHR","Country","WesternAsia,asia","""Bahrain""","""Q398""","""undata-geo:G00000220""","undata-geo:G00000220","","",""
"GEOGRAPHY","G00000230","Bangladesh","G00404300","","country/BGD","Country","SouthernAsia,asia,undata-geo/G00404000,undata-geo/G00404300","""Bangladesh""","""Q902""","""undata-geo:G00000230""","undata-geo:G00000230","","",""
"GEOGRAPHY","G00000240","Barbados","G00405200","","country/BRB","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Barbados""","""Q244""","""undata-geo:G00000240""","undata-geo:G00000240","","",""
"GEOGRAPHY","G00000250","""Beef Island""","G00405200","","undata-geo/G00000250","GeoRegion","Caribbean,Earth,LatinAmericaAndCaribbean,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Beef Island""","","""undata-geo:G00000250""","undata-geo:G00000250","","",""
"GEOGRAPHY","G00000260","Belarus","G00129000","","country/BLR","Country","EasternEurope,europe","""Belarus""","""Q184""","""undata-geo:G00000260""","undata-geo:G00000260","","",""
"GEOGRAPHY","G00000270","Belgium","G00132000","","country/BEL","Country","EuropeanUnion,WesternEurope,europe,undata-geo/G00406000","""Belgium""","""Q31""","""undata-geo:G00000270""","undata-geo:G00000270","","",""
"GEOGRAPHY","G00000280","Belize","G00405200","","country/BLZ","Country","CentralAmerica,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Belize""","""Q242""","""undata-geo:G00000280""","undata-geo:G00000280","","",""
"GEOGRAPHY","G00000290","Benin","G00404100","","country/BEN","Country","SubSaharanAfrica,WesternAfrica,africa,undata-geo/G00404000,undata-geo/G00404100","""Benin""","""Q962""","""undata-geo:G00000290""","undata-geo:G00000290","","",""
"GEOGRAPHY","G00000300","Bermuda","G00136000","","country/BMU","AdministrativeArea1,Country","northamerica","""Bermuda""","""Q23635""","""undata-geo:G00000300""","undata-geo:G00000300","","",""
"GEOGRAPHY","G00000301","""Great Bermuda""","G00000300","","","","","""Great Bermuda""","","","undata-geo:G00000301","","",""
"GEOGRAPHY","G00000310","Bhutan","G00404300","","country/BTN","Country","SouthernAsia,asia,undata-geo/G00403000,undata-geo/G00403300,undata-geo/G00404000,undata-geo/G00404300","""Bhutan""","""Q917""","""undata-geo:G00000310""","undata-geo:G00000310","","",""
"GEOGRAPHY","G00000320","""Bolivia (Plurinational State of)""","G00403200","","country/BOL","Country","LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000,undata-geo/G00403000,undata-geo/G00403200","""Bolivia""","""Q750""","""undata-geo:G00000320""","undata-geo:G00000320","""Bolivia (Plurinational State of)""","",""
"GEOGRAPHY","G00000330","Bonaire","G00405200","","undata-geo/G00000330","GeoRegion","Caribbean,Earth,LatinAmericaAndCaribbean,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Bonaire""","","""undata-geo:G00000330""","undata-geo:G00000330","","",""
"GEOGRAPHY","G00000340","Bonaire,""Sint Eustatius and Saba""","G00405200","","country/BES","Country","Caribbean,LatinAmericaAndCaribbean,northamerica,undata-geo/G00134000,undata-geo/G00405000,undata-geo/G00405200","""Bonaire, Sint Eustatius and Saba""","""Q27561""","""undata-geo:G00000340""","undata-geo:G00000340","""Bonaire,""Sint Eustatius and Saba""","",""
"GEOGRAPHY","G00000350","""Bosnia and Herzegovina""","G00133000","","country/BIH","Country","SouthernEurope,europe","""Bosnia and Herzegovina""","""Q225""","""undata-geo:G00000350""","undata-geo:G00000350","","",""
"GEOGRAPHY","G00000360","Botswana","G00403100","","country/BWA","Country","SouthernAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100","""Botswana""","""Q963""","""undata-geo:G00000360""","undata-geo:G00000360","","",""
"GEOGRAPHY","G00000370","""Bouvet Island""","G00142000","","country/BVT","Country","LatinAmericaAndCaribbean,antarctica,undata-geo/G00134000","""Bouvet Island""","""Q23408""","""undata-geo:G00000370""","undata-geo:G00000370","","",""
"GEOGRAPHY","G00000380","Brazil","G00142000","","country/BRA","Country","LatinAmericaAndCaribbean,southamerica,undata-geo/G00134000","""Brazil""","""Q155""","""undata-geo:G00000380""","undata-geo:G00000380","","",""
"GEOGRAPHY","G00000390","""British Antarctic Territory [former]""","","","undata-geo/G00000390","GeoRegion","Earth","""British Antarctic Territory [former]""","","""undata-geo:G00000390""","undata-geo:G00000390","","",""
"GEOGRAPHY","G00000400","""British Indian Ocean Territory""","G00108000","","country/IOT","AdministrativeArea1,Country","asia","""British Indian Ocean Territory""","""Q43448""","""undata-geo:G00000400""","undata-geo:G00000400","","",""
"GEOGRAPHY","G00000410","""British Virgin Islands""","G00405200","","country/VGB","AdministrativeArea1,Country","northamerica","""British Virgin Islands""","""Q25305""","""undata-geo:G00000410""","undata-geo:G00000410","","",""
"GEOGRAPHY","G00000420","""Brunei Darussalam""","G00124000","","country/BRN","Country","SouthEasternAsia,asia","""Brunei""","""Q921""","""undata-geo:G00000420""","undata-geo:G00000420","""Brunei Darussalam""","",""
"GEOGRAPHY","G00000430","Bulgaria","G00129000","","country/BGR","Country","EasternEurope,EuropeanUnion,europe","""Bulgaria""","""Q219""","""undata-geo:G00000430""","undata-geo:G00000430","","",""
"GEOGRAPHY","G00000440","""Burkina Faso""","G00404100","","country/BFA","Country","SubSaharanAfrica,WesternAfrica,africa,undata-geo/G00403000,undata-geo/G00403100,undata-geo/G00404000,undata-geo/G00404100","""Burkina Faso""","""Q965""","""undata-geo:G00000440""","undata-geo:G00000440","","",""
"GEOGRAPHY","G00000450","Burundi","G00404100","","country/BDI","Country","EasternAfrica,SubSaharanAfrica,africa,undata-geo/G00403000,undata-geo/G00403100,undata-geo/G00404000,undata-geo/G00404100","""Burundi""","""Q967""","""undata-geo:G00000450""","undata-geo:G00000450","","",""
"GEOGRAPHY","G00000460","""Cabo Verde""","G00405100","","country/CPV","Country","SubSaharanAfrica,WesternAfrica,africa,undata-geo/G00405000,undata-geo/G00405100","""Cape Verde""","""Q1011""","""undata-geo:G00000460""","undata-geo:G00000460","""Cabo Verde""","",""
"GEOGRAPHY","G00000470","Cambodia","G00404300","","country/KHM","Country","SouthEasternAsia,asia,undata-geo/G00404000,undata-geo/G00404300","""Cambodia""","""Q424""","""undata-geo:G00000470""","undata-geo:G00000470","","",""
"GEOGRAPHY","G00000480","Cameroon","G00112000","","country/CMR","Country","MiddleAfrica,SubSaharanAfrica,africa","""Cameroon""","""Q1009""","""undata-geo:G00000480""","undata-geo:G00000480","","",""
"GEOGRAPHY","G00000490","""Cameroon (East)""","","","undata-geo/G00000490","GeoRegion","Earth","""Cameroon (East)""","","""undata-geo:G00000490""","undata-geo:G00000490","","",""
