Detail Data For Coal Import Quantity by Coal Type & Country Having Year : ALL
.
CoalType,Country,YearValue,QtyInMillionTonnes_Imports,AmountInRsMillion
COKE,AUSTRALIA,2006,0.076,482.000
COKE,CHINA P R,2006,2.395,20510.000
COKE,JAPAN,2006,0.099,681.000
COKE,OTHERS,2006,0.013,86.000
COKE,RUSSIA,2006,0.034,400.000
COKE,TAIWAN,2006,0.001,10.000
COKE,UK,2006,0.001,15.000
COKE,USA,2006,0.000,4.000
COKING,AUSTRALIA,2006,13.973,77442.000
COKING,CHINA P R,2006,0.906,4505.000
COKING,INDONESIA,2006,0.319,1402.000
COKING,NEW ZEALAND,2006,0.606,4066.000
COKING,RUSSIA,2006,0.045,242.000
COKING,SOUTH AFRICA,2006,0.021,92.000
COKING,USA,2006,1.022,7623.000
NON-COKING,AUSTRALIA,2006,0.392,1258.000
NON-COKING,CHINA P R,2006,2.175,6663.000
NON-COKING,INDONESIA,2006,15.739,35079.000
NON-COKING,JAPAN,2006,0.000,1.000
NON-COKING,MOZAMBIQUE,2006,0.044,131.000
NON-COKING,OTHERS,2006,0.000,6.060
NON-COKING,SOUTH AFRICA,2006,3.223,9721.000
NON-COKING,UK,2006,0.000,1.000
NON-COKING,VIETNAM SOC REP,2006,0.120,861.000
COKE,AUSTRALIA,2007,0.096,825.000
COKE,CHINA P R,2007,4.203,36265.000
COKE,OTHERS,2007,0.386,3101.000
COKE,USA,2007,0.001,20.000
COKING,AUSTRALIA,2007,15.325,87814.000
COKING,CANADA,2007,0.043,242.000
COKING,CHINA P R,2007,0.545,2551.000
COKING,INDONESIA,2007,0.137,460.000
COKING,NEW ZEALAND,2007,0.692,4396.000
COKING,OTHERS,2007,0.005,17.000
COKING,SOUTH AFRICA,2007,0.287,1039.000
COKING,USA,2007,0.842,5288.000
NON-COKING,AUSTRALIA,2007,0.562,2363.000
NON-COKING,CHINA P R,2007,3.547,11018.000
NON-COKING,INDONESIA,2007,18.604,42454.000
NON-COKING,OTHERS,2007,0.001,12.000
NON-COKING,RUSSIA,2007,0.050,199.000
NON-COKING,SOUTH AFRICA,2007,2.101,7137.000
NON-COKING,USA,2007,0.035,131.000
NON-COKING,VIETNAM SOC REP,2007,0.304,1766.000
COKE,AUSTRALIA,2008,0.164,1912.000
COKE,CHINA P R,2008,3.747,45463.000
COKE,EGYPT,2008,0.033,330.000
COKE,IRAN,2008,0.023,255.000
COKE,JAPAN,2008,0.215,2325.000
COKE,NEW ZEALAND,2008,0.008,38.000
COKE,OTHERS,2008,0.021,200.000
COKE,SINGAPORE,2008,0.016,436.000
COKE,USA,2008,0.022,272.000
COKING,AUSTRALIA,2008,19.632,107946.000
COKING,CHINA P R,2008,0.183,1262.000
