Detail Data For Coal Transport by Mode of Transportation Having Year : ALL
.
CoalCompany,CoalSector,CoalType,ModeOfTransport,YearValue,QtyInMillionTonnes,CoalCompanyId,CoalSectorId,CoalTypeId,ModeOfTransportId
SIL,PRIVATE,COAL PRODUCT,ROAD,2011,0.000,31,3,12,2
ESCL,PRIVATE,RAW COAL,ROAD,2011,0.022,23,3,8,2
ESCL,PRIVATE,COAL PRODUCT,ROAD,2011,0.000,23,3,12,2
UML,PRIVATE,RAW COAL,ROAD,2011,0.300,22,3,8,2
KECML/KEMTA,PRIVATE,RAW COAL,ROAD,2011,2.368,33,3,8,2
SEML,PRIVATE,RAW COAL,ROAD,2011,0.401,10,3,8,2
SEML,PRIVATE,COAL PRODUCT,ROAD,2011,0.000,10,3,12,2
SEML,PRIVATE,RAW COAL,ROAD,2011,0.000,10,3,8,2
BSIL,PRIVATE,RAW COAL,ROAD,2011,0.000,57,3,8,2
BSIL,PRIVATE,COAL PRODUCT,ROAD,2011,0.000,57,3,12,2
TUML,PRIVATE,RAW COAL,ROAD,2011,0.000,34,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2011,0.000,29,3,8,2
SOVA,PRIVATE,RAW COAL,ROAD,2011,0.000,43,3,8,2
GVK,PRIVATE,RAW COAL,ROAD,2011,0.000,60,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2013,0.000,19,3,8,2
TISCO/TSL,PRIVATE,COAL PRODUCT,ROAD,2013,0.054,19,3,12,2
BECML,PRIVATE,RAW COAL,ROAD,2013,0.000,39,3,8,2
ICML,PRIVATE,RAW COAL,ROAD,2013,3.221,40,3,8,2
JSPL,PRIVATE,RAW COAL,ROAD,2013,0.271,5,3,8,2
JSPL,PRIVATE,COAL PRODUCT,ROAD,2013,6.485,5,3,12,2
HIL,PRIVATE,RAW COAL,ROAD,2013,2.254,37,3,8,2
MIL/MIEL,PRIVATE,RAW COAL,ROAD,2013,0.798,6,3,8,2
MEG,PRIVATE,RAW COAL,ROAD,2013,5.640,35,3,8,2
BLA,PRIVATE,RAW COAL,ROAD,2013,0.000,28,3,8,2
BLA,PRIVATE,COAL PRODUCT,ROAD,2013,0.285,28,3,12,2
CML OR BECML,PRIVATE,RAW COAL,ROAD,2013,0.000,20,3,8,2
PIL,PRIVATE,RAW COAL,ROAD,2013,1.000,7,3,8,2
JNL,PRIVATE,RAW COAL,ROAD,2013,0.423,9,3,8,2
JPL,PRIVATE,RAW COAL,ROAD,2013,0.000,8,3,8,2
JPL,PRIVATE,COAL PRODUCT,ROAD,2013,0.000,8,3,12,2
SIL,PRIVATE,RAW COAL,ROAD,2013,0.000,31,3,8,2
SIL,PRIVATE,COAL PRODUCT,ROAD,2013,0.000,31,3,12,2
ESCL,PRIVATE,RAW COAL,ROAD,2013,0.074,23,3,8,2
ESCL,PRIVATE,COAL PRODUCT,ROAD,2013,0.020,23,3,12,2
UML,PRIVATE,RAW COAL,ROAD,2013,0.564,22,3,8,2
KECML/KEMTA,PRIVATE,RAW COAL,ROAD,2013,0.000,33,3,8,2
SEML,PRIVATE,RAW COAL,ROAD,2013,0.026,10,3,8,2
SEML,PRIVATE,COAL PRODUCT,ROAD,2013,0.399,10,3,12,2
SEML,PRIVATE,RAW COAL,ROAD,2013,0.000,10,3,8,2
BSIL,PRIVATE,RAW COAL,ROAD,2013,0.000,57,3,8,2
BSIL,PRIVATE,COAL PRODUCT,ROAD,2013,0.019,57,3,12,2
TUML,PRIVATE,RAW COAL,ROAD,2013,0.367,34,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2013,0.081,29,3,8,2
SOVA,PRIVATE,RAW COAL,ROAD,2013,0.086,43,3,8,2
GVK,PRIVATE,RAW COAL,ROAD,2013,0.000,60,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2015,0.000,19,3,8,2
TISCO/TSL,PRIVATE,COAL PRODUCT,ROAD,2015,0.000,19,3,12,2
BECML,PRIVATE,RAW COAL,ROAD,2015,0.000,39,3,8,2
ICML,PRIVATE,RAW COAL,ROAD,2015,3.771,40,3,8,2
JSPL,PRIVATE,RAW COAL,ROAD,2015,0.000,5,3,8,2
JSPL,PRIVATE,COAL PRODUCT,ROAD,2015,6.088,5,3,12,2
HIL,PRIVATE,RAW COAL,ROAD,2015,2.386,37,3,8,2
MIL/MIEL,PRIVATE,RAW COAL,ROAD,2015,0.942,6,3,8,2
MEG,PRIVATE,RAW COAL,ROAD,2015,2.524,35,3,8,2
BLA,PRIVATE,RAW COAL,ROAD,2015,0.000,28,3,8,2
BLA,PRIVATE,COAL PRODUCT,ROAD,2015,0.314,28,3,12,2
CML OR BECML,PRIVATE,RAW COAL,ROAD,2015,0.000,20,3,8,2
PIL,PRIVATE,RAW COAL,ROAD,2015,1.000,7,3,8,2
JNL,PRIVATE,RAW COAL,ROAD,2015,0.688,9,3,8,2
JPL,PRIVATE,RAW COAL,ROAD,2015,0.000,8,3,8,2
JPL,PRIVATE,COAL PRODUCT,ROAD,2015,0.000,8,3,12,2
SIL,PRIVATE,RAW COAL,ROAD,2015,0.010,31,3,8,2
SIL,PRIVATE,COAL PRODUCT,ROAD,2015,0.000,31,3,12,2
ESCL,PRIVATE,RAW COAL,ROAD,2015,0.133,23,3,8,2
ESCL,PRIVATE,COAL PRODUCT,ROAD,2015,0.304,23,3,12,2
UML,PRIVATE,RAW COAL,ROAD,2015,0.107,22,3,8,2
KECML/KEMTA,PRIVATE,RAW COAL,ROAD,2015,0.000,33,3,8,2
SEML,PRIVATE,RAW COAL,ROAD,2015,0.503,10,3,8,2
SEML,PRIVATE,COAL PRODUCT,ROAD,2015,0.832,10,3,12,2
SEML,PRIVATE,RAW COAL,ROAD,2015,0.000,10,3,8,2
BSIL,PRIVATE,RAW COAL,ROAD,2015,0.136,57,3,8,2
BSIL,PRIVATE,COAL PRODUCT,ROAD,2015,0.000,57,3,12,2
TUML,PRIVATE,RAW COAL,ROAD,2015,0.208,34,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2015,9.261,29,3,8,2
SOVA,PRIVATE,RAW COAL,ROAD,2015,0.400,43,3,8,2
GVK,PRIVATE,RAW COAL,ROAD,2015,0.000,60,3,8,2
TISCO/TSL,PRIVATE,COAL PRODUCT,ROAD,2017,0.005,19,3,12,2
RCCPL,PRIVATE,RAW COAL,ROAD,2017,0.015,218,3,8,2
BALCO,PRIVATE,RAW COAL,ROAD,2017,0.221,61,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2017,0.269,19,3,8,2
GMR,PRIVATE,RAW COAL,ROAD,2017,0.280,63,3,8,2
CESC,PRIVATE,COAL PRODUCT,ROAD,2017,0.744,64,3,12,2
CESC,PRIVATE,RAW COAL,ROAD,2017,1.620,64,3,8,2
HIL,PRIVATE,RAW COAL,ROAD,2017,1.765,37,3,8,2
MEG,PRIVATE,RAW COAL,ROAD,2017,2.308,35,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2017,17.101,29,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2018,0.049,19,3,8,2
RCCPL,PRIVATE,RAW COAL,ROAD,2018,0.072,218,3,8,2
TUML,PRIVATE,RAW COAL,ROAD,2018,0.173,34,3,8,2
CESC,PRIVATE,COAL PRODUCT,ROAD,2018,0.798,64,3,12,2
MEG,PRIVATE,RAW COAL,ROAD,2018,1.529,35,3,8,2
CESC,PRIVATE,RAW COAL,ROAD,2018,1.764,64,3,8,2
HIL,PRIVATE,RAW COAL,ROAD,2018,2.247,37,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2018,17.961,29,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2019,0.089,19,3,8,2
AMBUJA,PRIVATE,RAW COAL,ROAD,2019,0.100,219,3,8,2
RCCPL,PRIVATE,RAW COAL,ROAD,2019,0.103,218,3,8,2
OCL,PRIVATE,RAW COAL,ROAD,2019,0.161,220,3,8,2
TUML,PRIVATE,RAW COAL,ROAD,2019,0.302,34,3,8,2
BALCO,PRIVATE,RAW COAL,ROAD,2019,0.563,61,3,8,2
TSPGCL,PRIVATE,RAW COAL,ROAD,2019,0.757,221,3,8,2
CESC,PRIVATE,COAL PRODUCT,ROAD,2019,0.763,64,3,12,2
CESC,PRIVATE,RAW COAL,ROAD,2019,1.948,64,3,8,2
HIL,PRIVATE,RAW COAL,ROAD,2019,2.310,37,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2019,18.001,29,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2020,0.098,19,3,8,2
OCL,PRIVATE,RAW COAL,ROAD,2020,0.115,220,3,8,2
RCCPL,PRIVATE,RAW COAL,ROAD,2020,0.182,218,3,8,2
TUML,PRIVATE,RAW COAL,ROAD,2020,0.284,34,3,8,2
AMBUJA,PRIVATE,RAW COAL,ROAD,2020,0.386,219,3,8,2
OCPL,PRIVATE,RAW COAL,ROAD,2020,0.515,223,3,8,2
HIL,PRIVATE,RAW COAL,ROAD,2020,0.909,37,3,8,2
TSPGCL,PRIVATE,RAW COAL,ROAD,2020,1.657,221,3,8,2
CESC,PRIVATE,RAW COAL,ROAD,2020,1.888,64,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2020,18.783,29,3,8,2
TISCO/TSL,PRIVATE,RAW COAL,ROAD,2021,0.091,19,3,8,2
TUML,PRIVATE,RAW COAL,ROAD,2021,0.113,34,3,8,2
AMBUJA,PRIVATE,RAW COAL,ROAD,2021,0.124,219,3,8,2
RCCPL,PRIVATE,RAW COAL,ROAD,2021,0.173,218,3,8,2
BALCO,PRIVATE,RAW COAL,ROAD,2021,0.231,61,3,8,2
HIL,PRIVATE,RAW COAL,ROAD,2021,0.317,37,3,8,2
CESC,PRIVATE,RAW COAL,ROAD,2021,1.964,64,3,8,2
SPL,PRIVATE,RAW COAL,ROAD,2021,18.068,29,3,8,2
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2006,9.435,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2008,9.121,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2010,11.271,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2012,10.712,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2014,8.242,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2016,1.998,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2007,9.607,1,1,8,3
SCCL,OTHER PUBLIC,COAL PRODUCT,OTHER,2007,0.000,1,1,12,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,12,1,8,3
JSMDCL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,16,1,8,3
DVC,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,17,1,8,3
DVC EMTA,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,41,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,54,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2007,0.000,54,1,12,3
SAIL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,24,1,8,3
APMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,2,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,11,1,8,3
RRVUNL,OTHER PUBLIC,COAL PRODUCT,OTHER,2007,0.000,11,1,12,3
WBMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,42,1,8,3
WBPDCL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,25,1,8,3
KECML/KEMTA,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,33,1,8,3
MPSMCL,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,30,1,8,3
PANEM/PSEB,OTHER PUBLIC,RAW COAL,OTHER,2007,0.000,21,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2009,10.657,1,1,8,3
SCCL,OTHER PUBLIC,COAL PRODUCT,OTHER,2009,0.000,1,1,12,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,12,1,8,3
JSMDCL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,16,1,8,3
DVC,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,17,1,8,3
DVC EMTA,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,41,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,54,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2009,0.000,54,1,12,3
SAIL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,24,1,8,3
APMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,2,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,11,1,8,3
RRVUNL,OTHER PUBLIC,COAL PRODUCT,OTHER,2009,0.000,11,1,12,3
WBMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,42,1,8,3
WBPDCL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,25,1,8,3
KECML/KEMTA,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,33,1,8,3
MPSMCL,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,30,1,8,3
PANEM/PSEB,OTHER PUBLIC,RAW COAL,OTHER,2009,0.000,21,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2011,9.940,1,1,8,3
SCCL,OTHER PUBLIC,COAL PRODUCT,OTHER,2011,0.000,1,1,12,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,12,1,8,3
JSMDCL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,16,1,8,3
DVC,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,17,1,8,3
DVC EMTA,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,41,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,54,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2011,0.000,54,1,12,3
SAIL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,24,1,8,3
APMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,2,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,11,1,8,3
RRVUNL,OTHER PUBLIC,COAL PRODUCT,OTHER,2011,0.000,11,1,12,3
WBMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,42,1,8,3
WBPDCL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,25,1,8,3
KECML/KEMTA,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,33,1,8,3
MPSMCL,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,30,1,8,3
PANEM/PSEB,OTHER PUBLIC,RAW COAL,OTHER,2011,0.000,21,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2013,9.870,1,1,8,3
SCCL,OTHER PUBLIC,COAL PRODUCT,OTHER,2013,0.000,1,1,12,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,12,1,8,3
JSMDCL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,16,1,8,3
DVC,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,17,1,8,3
DVC EMTA,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,41,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,54,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2013,0.000,54,1,12,3
SAIL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,24,1,8,3
APMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,2,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,11,1,8,3
RRVUNL,OTHER PUBLIC,COAL PRODUCT,OTHER,2013,0.000,11,1,12,3
WBMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,42,1,8,3
WBPDCL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,25,1,8,3
KECML/KEMTA,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,33,1,8,3
MPSMCL,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,30,1,8,3
PANEM/PSEB,OTHER PUBLIC,RAW COAL,OTHER,2013,0.000,21,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2015,12.097,1,1,8,3
SCCL,OTHER PUBLIC,COAL PRODUCT,OTHER,2015,0.000,1,1,12,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,12,1,8,3
JSMDCL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,16,1,8,3
DVC,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,17,1,8,3
DVC EMTA,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,41,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,54,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2015,0.000,54,1,12,3
SAIL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,24,1,8,3
APMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,2,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,11,1,8,3
RRVUNL,OTHER PUBLIC,COAL PRODUCT,OTHER,2015,0.000,11,1,12,3
WBMDTCL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,42,1,8,3
WBPDCL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,25,1,8,3
KECML/KEMTA,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,33,1,8,3
MPSMCL,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,30,1,8,3
PANEM/PSEB,OTHER PUBLIC,RAW COAL,OTHER,2015,0.000,21,1,8,3
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,OTHER,2017,0.001,54,1,12,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2017,0.412,1,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2018,0.162,1,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2019,0.003,54,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2019,0.118,1,1,8,3
JKML,OTHER PUBLIC,RAW COAL,OTHER,2020,0.010,12,1,8,3
IISCO/SAIL,OTHER PUBLIC,RAW COAL,OTHER,2020,0.230,54,1,8,3
SCCL,OTHER PUBLIC,RAW COAL,OTHER,2020,1.131,1,1,8,3
NTPC,OTHER PUBLIC,RAW COAL,OTHER,2021,0.203,217,1,8,3
RRVUNL,OTHER PUBLIC,RAW COAL,OTHER,2021,15.000,11,1,8,3
ECL,CIL,RAW COAL,OTHER,2006,8.361,13,2,8,3
NCL,CIL,RAW COAL,OTHER,2006,38.386,26,2,8,3
WCL,CIL,RAW COAL,OTHER,2006,5.471,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2006,21.213,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2006,20.010,36,2,8,3
ECL,CIL,RAW COAL,OTHER,2008,8.606,13,2,8,3
NCL,CIL,RAW COAL,OTHER,2008,40.037,26,2,8,3
WCL,CIL,RAW COAL,OTHER,2008,5.493,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2008,20.329,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2008,19.786,36,2,8,3
ECL,CIL,RAW COAL,OTHER,2010,10.007,13,2,8,3
NCL,CIL,RAW COAL,OTHER,2010,40.069,26,2,8,3
WCL,CIL,RAW COAL,OTHER,2010,5.234,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2010,24.847,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2010,18.957,36,2,8,3
ECL,CIL,RAW COAL,OTHER,2012,8.500,13,2,8,3
NCL,CIL,RAW COAL,OTHER,2012,33.908,26,2,8,3
WCL,CIL,RAW COAL,OTHER,2012,5.124,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2012,26.759,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2012,16.587,36,2,8,3
ECL,CIL,RAW COAL,OTHER,2014,9.439,13,2,8,3
NCL,CIL,RAW COAL,OTHER,2014,35.084,26,2,8,3
WCL,CIL,RAW COAL,OTHER,2014,3.975,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2014,33.148,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2014,17.611,36,2,8,3
WCL,CIL,RAW COAL,OTHER,2016,0.154,27,2,8,3
SECL,CIL,RAW COAL,OTHER,2016,2.705,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2016,0.001,36,2,8,3
ECL,CIL,RAW COAL,OTHER,2007,9.694,13,2,8,3
BCCL,CIL,RAW COAL,OTHER,2007,0.000,14,2,8,3
BCCL,CIL,COAL PRODUCT,OTHER,2007,0.000,14,2,12,3
CCL,CIL,RAW COAL,OTHER,2007,0.000,15,2,8,3
CCL,CIL,COAL PRODUCT,OTHER,2007,0.000,15,2,12,3
NCL,CIL,RAW COAL,OTHER,2007,37.285,26,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2007,0.000,26,2,12,3
WCL,CIL,RAW COAL,OTHER,2007,5.176,27,2,8,3
WCL,CIL,COAL PRODUCT,OTHER,2007,0.000,27,2,12,3
SECL,CIL,RAW COAL,OTHER,2007,20.004,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2007,19.621,36,2,8,3
NEC,CIL,RAW COAL,OTHER,2007,0.000,3,2,8,3
ECL,CIL,RAW COAL,OTHER,2009,10.089,13,2,8,3
BCCL,CIL,RAW COAL,OTHER,2009,0.000,14,2,8,3
BCCL,CIL,COAL PRODUCT,OTHER,2009,0.000,14,2,12,3
CCL,CIL,RAW COAL,OTHER,2009,0.000,15,2,8,3
CCL,CIL,COAL PRODUCT,OTHER,2009,0.000,15,2,12,3
NCL,CIL,RAW COAL,OTHER,2009,40.958,26,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2009,0.000,26,2,12,3
WCL,CIL,RAW COAL,OTHER,2009,5.634,27,2,8,3
WCL,CIL,COAL PRODUCT,OTHER,2009,0.000,27,2,12,3
SECL,CIL,RAW COAL,OTHER,2009,20.613,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2009,18.441,36,2,8,3
NEC,CIL,RAW COAL,OTHER,2009,0.000,3,2,8,3
ECL,CIL,RAW COAL,OTHER,2011,10.055,13,2,8,3
BCCL,CIL,RAW COAL,OTHER,2011,0.000,14,2,8,3
BCCL,CIL,COAL PRODUCT,OTHER,2011,0.000,14,2,12,3
CCL,CIL,RAW COAL,OTHER,2011,0.000,15,2,8,3
CCL,CIL,COAL PRODUCT,OTHER,2011,0.000,15,2,12,3
NCL,CIL,RAW COAL,OTHER,2011,36.224,26,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2011,0.000,26,2,12,3
WCL,CIL,RAW COAL,OTHER,2011,4.475,27,2,8,3
WCL,CIL,COAL PRODUCT,OTHER,2011,0.000,27,2,12,3
SECL,CIL,RAW COAL,OTHER,2011,26.800,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2011,17.723,36,2,8,3
NEC,CIL,RAW COAL,OTHER,2011,0.000,3,2,8,3
ECL,CIL,RAW COAL,OTHER,2013,9.267,13,2,8,3
BCCL,CIL,RAW COAL,OTHER,2013,0.000,14,2,8,3
BCCL,CIL,COAL PRODUCT,OTHER,2013,0.000,14,2,12,3
CCL,CIL,RAW COAL,OTHER,2013,0.000,15,2,8,3
CCL,CIL,COAL PRODUCT,OTHER,2013,0.000,15,2,12,3
NCL,CIL,RAW COAL,OTHER,2013,34.710,26,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2013,0.000,26,2,12,3
WCL,CIL,RAW COAL,OTHER,2013,4.719,27,2,8,3
WCL,CIL,COAL PRODUCT,OTHER,2013,0.000,27,2,12,3
SECL,CIL,RAW COAL,OTHER,2013,32.939,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2013,18.012,36,2,8,3
NEC,CIL,RAW COAL,OTHER,2013,0.000,3,2,8,3
ECL,CIL,RAW COAL,OTHER,2015,11.043,13,2,8,3
BCCL,CIL,RAW COAL,OTHER,2015,0.000,14,2,8,3
BCCL,CIL,COAL PRODUCT,OTHER,2015,0.000,14,2,12,3
CCL,CIL,RAW COAL,OTHER,2015,0.000,15,2,8,3
CCL,CIL,COAL PRODUCT,OTHER,2015,0.000,15,2,12,3
NCL,CIL,RAW COAL,OTHER,2015,35.633,26,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2015,0.000,26,2,12,3
WCL,CIL,RAW COAL,OTHER,2015,3.753,27,2,8,3
WCL,CIL,COAL PRODUCT,OTHER,2015,0.000,27,2,12,3
SECL,CIL,RAW COAL,OTHER,2015,34.364,4,2,8,3
MCL,CIL,RAW COAL,OTHER,2015,16.584,36,2,8,3
NEC,CIL,RAW COAL,OTHER,2015,0.000,3,2,8,3
SECL,CIL,RAW COAL,OTHER,2017,2.129,4,2,8,3
NCL,CIL,COAL PRODUCT,OTHER,2017,3.155,26,2,12,3
SECL,CIL,RAW COAL,OTHER,2018,2.227,4,2,8,3
SECL,CIL,RAW COAL,OTHER,2019,2.201,4,2,8,3
SECL,CIL,RAW COAL,OTHER,2020,2.127,4,2,8,3
SECL,CIL,RAW COAL,OTHER,2021,1.724,4,2,8,3
JPL,PRIVATE,RAW COAL,OTHER,2010,5.192,8,3,8,3
JPL,PRIVATE,RAW COAL,OTHER,2012,5.219,8,3,8,3
JPL,PRIVATE,COAL PRODUCT,OTHER,2014,1.146,8,3,12,3
TISCO/TSL,PRIVATE,RAW COAL,OTHER,2016,0.002,19,3,8,3
TISCO/TSL,PRIVATE,RAW COAL,OTHER,2007,0.000,19,3,8,3
TISCO/TSL,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,19,3,12,3
BECML,PRIVATE,RAW COAL,OTHER,2007,0.000,39,3,8,3
ICML,PRIVATE,RAW COAL,OTHER,2007,0.000,40,3,8,3
JSPL,PRIVATE,RAW COAL,OTHER,2007,0.000,5,3,8,3
JSPL,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,5,3,12,3
HIL,PRIVATE,RAW COAL,OTHER,2007,0.000,37,3,8,3
MIL/MIEL,PRIVATE,RAW COAL,OTHER,2007,0.000,6,3,8,3
MEG,PRIVATE,RAW COAL,OTHER,2007,0.000,35,3,8,3
BLA,PRIVATE,RAW COAL,OTHER,2007,0.000,28,3,8,3
BLA,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,28,3,12,3
CML OR BECML,PRIVATE,RAW COAL,OTHER,2007,0.000,20,3,8,3
PIL,PRIVATE,RAW COAL,OTHER,2007,0.000,7,3,8,3
JNL,PRIVATE,RAW COAL,OTHER,2007,0.000,9,3,8,3
JPL,PRIVATE,RAW COAL,OTHER,2007,0.000,8,3,8,3
JPL,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,8,3,12,3
SIL,PRIVATE,RAW COAL,OTHER,2007,0.000,31,3,8,3
SIL,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,31,3,12,3
ESCL,PRIVATE,RAW COAL,OTHER,2007,0.000,23,3,8,3
ESCL,PRIVATE,COAL PRODUCT,OTHER,2007,0.000,23,3,12,3
UML,PRIVATE,RAW COAL,OTHER,2007,0.000,22,3,8,3
KECML/KEMTA,PRIVATE,RAW COAL,OTHER,2007,0.000,33,3,8,3
