Detail Data For Coal Price by Coal Type, Consuming Sector & Grade Having Year : ALL
.
ConsumingSector,CoalType,CoalGrade,DateOfApplication,YearValue,CoalPrice_Min,CoalPrice_Max
NON-POWER,COKING,SI,15/06/2004 00:00:00,2005,2960.000,2960.000
NON-POWER,COKING,SII,15/06/2004 00:00:00,2005,2480.000,2480.000
NON-POWER,COKING,WI,15/06/2004 00:00:00,2005,1600.000,2160.000
NON-POWER,COKING,WII,15/06/2004 00:00:00,2005,1330.000,1570.000
NON-POWER,COKING,WIII,15/06/2004 00:00:00,2005,980.000,1170.000
NON-POWER,COKING,WIV,15/06/2004 00:00:00,2005,910.000,1080.000
NON-POWER,COKING,SCI,15/06/2004 00:00:00,2005,1440.000,1700.000
NON-POWER,COKING,SCII,15/06/2004 00:00:00,2005,1200.000,1420.000
POWER,COKING,SI,15/06/2004 00:00:00,2005,2960.000,2960.000
POWER,COKING,SII,15/06/2004 00:00:00,2005,2480.000,2480.000
POWER,COKING,WI,15/06/2004 00:00:00,2005,1600.000,2160.000
POWER,COKING,WII,15/06/2004 00:00:00,2005,1160.000,1570.000
POWER,COKING,WIII,15/06/2004 00:00:00,2005,980.000,1170.000
POWER,COKING,WIV,15/06/2004 00:00:00,2005,910.000,1080.000
POWER,COKING,SCI,15/06/2004 00:00:00,2005,1440.000,1700.000
POWER,COKING,SCII,15/06/2004 00:00:00,2005,1200.000,1420.000
NON-POWER,NON-COKING,A,15/06/2004 00:00:00,2005,1230.000,1610.000
NON-POWER,NON-COKING,B,15/06/2004 00:00:00,2005,1050.000,1670.000
NON-POWER,NON-COKING,C,15/06/2004 00:00:00,2005,910.000,1470.000
NON-POWER,NON-COKING,D,15/06/2004 00:00:00,2005,760.000,1270.000
NON-POWER,NON-COKING,E,15/06/2004 00:00:00,2005,610.000,900.000
NON-POWER,NON-COKING,F,15/06/2004 00:00:00,2005,480.000,710.000
NON-POWER,NON-COKING,G,15/06/2004 00:00:00,2005,340.000,550.000
POWER,NON-COKING,A,15/06/2004 00:00:00,2005,1230.000,1610.000
POWER,NON-COKING,B,15/06/2004 00:00:00,2005,1050.000,1520.000
POWER,NON-COKING,C,15/06/2004 00:00:00,2005,910.000,1300.000
POWER,NON-COKING,D,15/06/2004 00:00:00,2005,760.000,1110.000
POWER,NON-COKING,E,15/06/2004 00:00:00,2005,610.000,900.000
POWER,NON-COKING,F,15/06/2004 00:00:00,2005,480.000,710.000
POWER,NON-COKING,G,15/06/2004 00:00:00,2005,350.000,540.000
NON-POWER,COKING,SI,13/12/2007 00:00:00,2008,3260.000,3260.000
NON-POWER,COKING,SII,13/12/2007 00:00:00,2008,2730.000,2730.000
NON-POWER,COKING,WI,13/12/2007 00:00:00,2008,1760.000,2380.000
NON-POWER,COKING,WII,13/12/2007 00:00:00,2008,1460.000,1730.000
NON-POWER,COKING,WIII,13/12/2007 00:00:00,2008,1080.000,1290.000
NON-POWER,COKING,WIV,13/12/2007 00:00:00,2008,1000.000,1190.000
NON-POWER,COKING,SCI,13/12/2007 00:00:00,2008,1580.000,1870.000
NON-POWER,COKING,SCII,13/12/2007 00:00:00,2008,1320.000,1560.000
POWER,COKING,SI,13/12/2007 00:00:00,2008,3260.000,3260.000
POWER,COKING,SII,13/12/2007 00:00:00,2008,2730.000,2730.000
POWER,COKING,WI,13/12/2007 00:00:00,2008,1550.000,2380.000
POWER,COKING,WII,13/12/2007 00:00:00,2008,1280.000,1730.000
POWER,COKING,WIII,13/12/2007 00:00:00,2008,1080.000,1290.000
POWER,COKING,WIV,13/12/2007 00:00:00,2008,1000.000,1190.000
POWER,COKING,SCI,13/12/2007 00:00:00,2008,1580.000,1870.000
POWER,COKING,SCII,13/12/2007 00:00:00,2008,1320.000,1560.000
NON-POWER,NON-COKING,A,13/12/2007 00:00:00,2008,1050.000,1710.000
NON-POWER,NON-COKING,B,13/12/2007 00:00:00,2008,940.000,1840.000
NON-POWER,NON-COKING,C,13/12/2007 00:00:00,2008,780.000,1620.000
NON-POWER,NON-COKING,D,13/12/2007 00:00:00,2008,650.000,1400.000
NON-POWER,NON-COKING,E,13/12/2007 00:00:00,2008,510.000,990.000
NON-POWER,NON-COKING,F,13/12/2007 00:00:00,2008,400.000,780.000
NON-POWER,NON-COKING,G,13/12/2007 00:00:00,2008,290.000,610.000
POWER,NON-COKING,A,13/12/2007 00:00:00,2008,1050.000,1520.000
POWER,NON-COKING,B,13/12/2007 00:00:00,2008,940.000,1380.000
POWER,NON-COKING,C,13/12/2007 00:00:00,2008,780.000,1280.000
POWER,NON-COKING,D,13/12/2007 00:00:00,2008,650.000,1210.000
POWER,NON-COKING,E,13/12/2007 00:00:00,2008,510.000,990.000
POWER,NON-COKING,F,13/12/2007 00:00:00,2008,400.000,780.000
POWER,NON-COKING,G,13/12/2007 00:00:00,2008,290.000,590.000
NON-POWER,COKING,SI,16/10/2009 00:00:00,2010,3750.000,3750.000
NON-POWER,COKING,SII,16/10/2009 00:00:00,2010,3140.000,3140.000
NON-POWER,COKING,WI,16/10/2009 00:00:00,2010,1960.000,2740.000
NON-POWER,COKING,WII,16/10/2009 00:00:00,2010,1620.000,1990.000
NON-POWER,COKING,WIII,16/10/2009 00:00:00,2010,1200.000,1480.000
NON-POWER,COKING,WIV,16/10/2009 00:00:00,2010,1120.000,1370.000
NON-POWER,COKING,SCI,16/10/2009 00:00:00,2010,1740.000,2150.000
NON-POWER,COKING,SCII,16/10/2009 00:00:00,2010,1450.000,1790.000
POWER,COKING,SI,16/10/2009 00:00:00,2010,3750.000,3750.000
