Detail Data For Coal Consumption - Domestic by Broad Category & Consuming Sector Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalType,ConsumingSector,YearValue,QtyInMillionTonnes_Consumption
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2007,0.474
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2007,0.279
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2007,0.235
WEST BENGAL,MIDDLINGS,PULP & PAPER,2007,0.005
WEST BENGAL,RAW COAL,POWER (UTILITY),2007,31.140
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2007,0.098
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2007,0.078
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2007,0.006
WEST BENGAL,RAW COAL,STEEL (BOILERS),2007,0.466
WEST BENGAL,RAW COAL,CEMENT,2007,0.008
WEST BENGAL,RAW COAL,SPONGE IRON,2007,1.160
WEST BENGAL,RAW COAL,CHEMICAL,2007,0.030
WEST BENGAL,RAW COAL,PULP & PAPER,2007,0.077
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2007,0.027
WEST BENGAL,RAW COAL,OTHER,2007,2.116
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2007,0.193
WEST BENGAL,WASHED COAL,POWER (UTILITY),2007,0.021
WEST BENGAL,WASHED COAL,METALLURGICAL USE- COKERIES,2007,1.143
WEST BENGAL,MIDDLINGS,POWER (UTILITY),2008,0.993
WEST BENGAL,MIDDLINGS,POWER (CAPTIVE),2008,0.292
WEST BENGAL,MIDDLINGS,STEEL (BOILERS),2008,0.067
WEST BENGAL,MIDDLINGS,COLLIERY OWN - CONSUMPTION,2008,0.004
WEST BENGAL,RAW COAL,POWER (UTILITY),2008,31.898
WEST BENGAL,RAW COAL,POWER (CAPTIVE),2008,0.238
WEST BENGAL,RAW COAL,METALLURGICAL USE- DIRECT FEED,2008,0.083
WEST BENGAL,RAW COAL,METALLURGICAL USE- COKERIES,2008,0.012
WEST BENGAL,RAW COAL,STEEL (BOILERS),2008,0.357
WEST BENGAL,RAW COAL,CEMENT,2008,0.007
WEST BENGAL,RAW COAL,SPONGE IRON,2008,1.451
WEST BENGAL,RAW COAL,CHEMICAL,2008,0.032
WEST BENGAL,RAW COAL,PULP & PAPER,2008,0.066
WEST BENGAL,RAW COAL,TEXTILES & RAYONS,2008,0.031
WEST BENGAL,RAW COAL,OTHER,2008,1.495
WEST BENGAL,RAW COAL,COLLIERY OWN - CONSUMPTION,2008,0.169
WEST BENGAL,WASHED COAL,POWER (UTILITY),2008,0.007
