Date,GeoId,CumulativeCount_MedicalTest_COVID_19,CumulativeCount_MedicalTest_COVID_19_Positive,CumulativeCount_MedicalTest_COVID_19_Negative,Count_MedicalTest_COVID_19_Pending,CumulativeCount_MedicalConditionIncident_COVID_19_PatientRecovered,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalConditionIncident_COVID_19_PatientHospitalized,Count_MedicalConditionIncident_COVID_19_PatientInICU,CumulativeCount_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientOnVentilator,CumulativeCount_MedicalConditionIncident_COVID_19_PatientOnVentilator
2020-06-25,dcid:geoId/02,99452,816,98636,,513,12,14,,,,2,
2020-06-25,dcid:geoId/01,369458,33206,336252,,18866,896,693,2612,,761,,447
2020-06-25,dcid:geoId/05,277380,18062,259318,,12127,240,284,1245,,,61,194
2020-06-25,dcid:geoId/60,696,0,696,,,0,,,,,,
2020-06-25,dcid:geoId/04,464196,63030,401166,,8139,1490,2453,4406,611,,415,
2020-06-25,dcid:geoId/06,3694345,195571,3498774,,,5733,5522,,1523,,,
2020-06-25,dcid:geoId/08,296065,31155,264910,,4392,1667,247,5375,,,,
2020-06-25,dcid:geoId/09,408943,45994,362949,,8053,4298,122,10268,,,,
2020-06-25,dcid:geoId/11,86731,10159,76572,,1182,543,157,,53,,34,
2020-06-25,dcid:geoId/10,100992,10980,90012,,6646,507,93,,,,,
2020-06-25,dcid:geoId/12,1720644,114018,1606626,1675,,3423,,14068,,,,
2020-06-25,dcid:geoId/13,757924,71095,686829,,,2745,1135,10457,,2222,,
2020-06-25,dcid:geoId/66,11418,245,11173,,174,5,0,,0,,0,
2020-06-25,dcid:geoId/15,71935,835,71100,,686,17,,105,,,,
2020-06-25,dcid:geoId/19,277054,27197,249857,,17017,695,137,,42,,26,
2020-06-25,dcid:geoId/16,80539,4645,75894,,3610,90,,300,,106,,
2020-06-25,dcid:geoId/17,1461527,140434,1321093,,,7014,1626,,399,,216,
2020-06-25,dcid:geoId/18,444252,43655,400597,,33036,2586,723,6912,276,1452,91,
2020-06-25,dcid:geoId/20,161705,12970,148735,,747,261,,1082,,348,,150
2020-06-25,dcid:geoId/21,342882,14617,328265,,3719,546,377,2584,79,994,,
2020-06-25,dcid:geoId/22,660665,53415,607250,,39792,3164,653,,,,77,
2020-06-25,dcid:geoId/25,805456,107837,697619,,,7963,822,11252,174,,101,
2020-06-25,dcid:geoId/24,498959,65777,433182,,4874,3129,511,10683,209,,,
2020-06-25,dcid:geoId/23,87598,3070,84528,,2512,103,25,343,10,,7,
2020-06-25,dcid:geoId/26,962839,68989,893850,,49290,6133,557,,193,,115,
2020-06-25,dcid:geoId/27,542696,34123,508573,,29854,1441,336,3943,162,1218,,
2020-06-25,dcid:geoId/29,341648,19421,322227,,,982,546,,,,66,
2020-06-25,dcid:geoId/69,8217,30,8187,,19,2,,,,,,
2020-06-25,dcid:geoId/28,265997,24516,241481,,17242,1016,755,2998,157,,94,
2020-06-25,dcid:geoId/30,78332,803,77529,,572,21,15,93,,,,
2020-06-25,dcid:geoId/37,811278,57183,754095,,36921,1284,891,,,,,
2020-06-25,dcid:geoId/38,99444,3393,96051,,3064,87,25,222,,,,
2020-06-25,dcid:geoId/31,163170,18221,144949,,12099,257,131,1268,,,,
2020-06-25,dcid:geoId/33,111566,5598,105968,,4358,347,49,558,,160,,
2020-06-25,dcid:geoId/34,1320910,170196,1150714,,29740,14872,1182,19668,252,,210,
2020-06-25,dcid:geoId/35,308105,10990,297115,,4984,480,149,1793,,,,
2020-06-25,dcid:geoId/32,255550,14859,240691,,682,495,467,,98,,57,
2020-06-25,dcid:geoId/36,3619594,390415,3229179,,70010,24800,996,89995,270,,167,
2020-06-25,dcid:geoId/39,699630,47651,651979,,,2772,624,7502,206,1897,121,
2020-06-25,dcid:geoId/40,304965,11948,293017,,8507,375,277,1336,87,,,
2020-06-25,dcid:geoId/41,216618,7568,209050,,2649,197,189,1012,60,,29,
2020-06-25,dcid:geoId/42,704801,83770,621031,,65340,6557,704,,,,142,
2020-06-25,dcid:geoId/72,6877,6877,,,,151,85,,12,,4,
2020-06-25,dcid:geoId/44,228140,16640,211500,,1588,920,103,1981,18,,17,
2020-06-25,dcid:geoId/45,333358,29022,304336,,12317,693,881,2377,,,,
2020-06-25,dcid:geoId/46,75854,6479,69375,,5592,87,79,632,,,,
2020-06-25,dcid:geoId/47,727549,38034,689515,,25280,567,475,2431,,,,
2020-06-25,dcid:geoId/48,1659340,131917,1527423,,74496,2296,4739,,,,,
2020-06-25,dcid:geoId/49,312054,19374,292680,,10642,164,230,1290,79,365,,160
2020-06-25,dcid:geoId/51,592966,59946,533020,303,7818,1675,854,8672,237,,104,
2020-06-25,dcid:geoId/78,2734,80,2654,21,64,6,,,,,,
2020-06-25,dcid:geoId/50,60709,1191,59518,,938,56,15,,,,,
2020-06-25,dcid:geoId/53,495498,29869,465629,,,1293,304,4093,,,56,
2020-06-25,dcid:geoId/55,527666,29105,498561,134,20557,766,249,3326,93,734,,
2020-06-25,dcid:geoId/54,158704,2661,156043,,1858,92,24,,5,,2,
2020-06-25,dcid:geoId/56,30195,1326,28869,,996,20,7,111,,,,
2020-06-24,dcid:geoId/02,96096,792,95304,,507,12,16,,,,2,
2020-06-24,dcid:geoId/01,358759,32064,326695,,18866,891,667,2567,,749,,441
2020-06-24,dcid:geoId/05,271866,17375,254491,,11568,240,267,1214,,,58,189
2020-06-24,dcid:geoId/60,174,0,174,,,0,,,,,,
2020-06-24,dcid:geoId/04,449188,59974,389214,,7936,1463,2270,4313,581,,407,
2020-06-24,dcid:geoId/06,3592899,190222,3402677,,,5632,5399,,1487,,,
2020-06-24,dcid:geoId/08,290834,30893,259941,,4370,1665,238,5366,,,,
2020-06-24,dcid:geoId/09,402350,45913,356437,,7842,4287,124,10099,,,,
2020-06-24,dcid:geoId/11,84173,10128,74045,,1182,541,167,,58,,36,
2020-06-24,dcid:geoId/10,98201,10889,87312,,6598,505,85,,,,,
2020-06-24,dcid:geoId/12,1668342,109014,1559328,1535,,3377,,13865,,,,
2020-06-24,dcid:geoId/13,743234,69381,673853,,,2698,1124,10313,,2206,,
2020-06-24,dcid:geoId/66,11038,231,10807,,174,5,0,,0,,0,
2020-06-24,dcid:geoId/15,70539,819,69720,,673,17,,104,,,,
