"ScalingFactors","MinDate","MeasurementMethods","StatVar","Units","NumPlaces","observationPeriods"
"[]","2016","[]","Count_Student_BachelorOfEngineeringMajorOrEngineeringManufacturingOrConstructionEngineering_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfEducationMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfArtsMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfServicesRelatedMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfHealthRelatedMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfBiologicalAndBiomedicalSciencesMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfEngineeringMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfSocialSciencesMajorOrCommunicationJournalismAndRelatedMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfHumanityAndArts_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfNaturalSciencesOrMathAndStatisticsMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfBusinessAdministrationAndManagementOrLegalProfessionsAndStudiesMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfGeneralBasicCurriculumMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfAgriculturalEngineering_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfCommunicationJournalismAndRelatedMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfAgriculturalEngineeringOrForestryEngineeringOrFisheriesOrVeterinary_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfMathAndStatisticsMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfLegalProfessionsAndStudiesMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfHealthWelfare_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfInformationAndCommunicationsTechnologiesMajor_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
"[]","2016","[]","Count_Student_BachelorOfArchitectureAndRelatedServicesMajorOrConstructionEngineering_EnrolledInCollegeOrGraduateSchool","[]","1","[]"
