"MeasurementMethods","ScalingFactors","NumPlaces","observationPeriods","StatVar","Units","MinDate"
"[]","[]","1","[]","Count_Student_DoctorateDegree_Female_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_UpperDiploma_Female_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_DoctorateDegree_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_MastersDegree_Female_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_MastersDegree_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_BachelorsDegree_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_BachelorsDegree_Female_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_Female_TertiaryEducation","[]","2002"
"[]","[]","1","[]","Count_Student_UpperDiploma_TertiaryEducation","[]","2002"
