"MinDate","Units","MeasurementMethods","NumPlaces","ScalingFactors","StatVar","observationPeriods"
"2010","[]","[]","23","[]","Count_Student_Female_UniversityEducation","[]"
"2010","[]","[]","23","[]","Count_Student_Male_UniversityEducation","[]"
