"MeasurementMethods","observationPeriods","ScalingFactors","Units","NumPlaces","MinDate","StatVar"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfAgriculturalEngineeringOrForestryEngineeringOrFisheriesOrVeterinary_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfSocialSciencesMajorOrCommunicationJournalismAndRelatedMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfHumanityAndArts_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfInformationAndCommunicationsTechnologiesMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfNaturalSciencesMajorOrMathAndStatisticsMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfServicesRelatedMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfEducationMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfBusinessAdministrationAndManagementOrLegalProfessionsAndStudiesMajor_EducationalAttainmentGraduate"
"[]","[]","[]","[]","1","2019","Count_Person_BachelorOfEngineeringMajorOrEngineeringManufacturingOrConstructionEngineering_EducationalAttainmentGraduate"
