"NumPlaces","observationPeriods","MinDate","Units","StatVar","ScalingFactors","MeasurementMethods"
"1","[]","2000","[]","Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher","[]","[]"
"1","[]","2000","[]","Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female","[]","[]"
