place_name,dcid
Aotea/Great Barrier local board area,wikidataId/Q60750535
Ashburton district,wikidataId/Q15784197
Auckland,wikidataId/Q37100
Auckland region,wikidataId/Q726917
Buller district,wikidataId/Q1004325
Canterbury region,wikidataId/Q657004
Carterton district,wikidataId/Q26772467
Central Hawke's Bay district,wikidataId/Q1053673
Central Otago district,wikidataId/Q1053677
Christchurch city,wikidataId/Q79990
Clutha district,wikidataId/Q1103566
Dunedin city,wikidataId/Q133073
Far North district,wikidataId/Q1365839
Gisborne district,wikidataId/Q140246
Grey district,wikidataId/Q642203
Hamilton city,wikidataId/Q200028
Hastings district,wikidataId/Q26772450
Hauraki district,wikidataId/Q1589865
Hawke's Bay region,wikidataId/Q251825
Horowhenua district,wikidataId/Q1232367
Hurunui district,wikidataId/Q1638765
Invercargill city,wikidataId/Q31805
Kaikoura district,wikidataId/Q1327367
Kaipara district,wikidataId/Q163982
Kapiti Coast district,wikidataId/Q1533839
Kawerau district,wikidataId/Q25387745
Mackenzie district,wikidataId/Q1760822
Manawatū district,wikidataId/Q139907
Marlborough district,wikidataId/Q140083
Masterton district,wikidataId/Q15057714
Matamata-Piako district,wikidataId/Q974296
Napier city,wikidataId/Q203380
Nelson city,wikidataId/Q206687
New Plymouth district,wikidataId/Q4846747
Northland region,wikidataId/Q59596
Ōpōtiki district,wikidataId/Q953871
Otago region,wikidataId/Q692912
Ōtorohanga district,wikidataId/Q24490507
Palmerston North city,wikidataId/Q7128320
Porirua city,wikidataId/Q1015773
Queenstown-Lakes district,wikidataId/Q613684
Rangitikei district,wikidataId/Q591972
Rotorua district,wikidataId/Q15059492
Ruapehu district,wikidataId/Q586428
Selwyn district,wikidataId/Q1210763
South Taranaki district,wikidataId/Q1972712
South Waikato district,wikidataId/Q1760808
South Wairarapa district,wikidataId/Q1760817
Southland district,wikidataId/Q1972706
Stratford district,wikidataId/Q26772445
Taranaki region,wikidataId/Q140207
Tararua district,wikidataId/Q1750590
Tasman district,wikidataId/Q666142
Taupō district,wikidataId/Q2644349
Tauranga city,wikidataId/Q16934070
Thames-Coromandel district,wikidataId/Q2305865
Timaru district,wikidataId/Q14395599
Upper Hutt city,wikidataId/Q166002
Waiheke local board area,wikidataId/Q65041577
Waikato district,wikidataId/Q139918
Waimakariri district,wikidataId/Q1542322
Waimate district,wikidataId/Q6460450
Waipa district,wikidataId/Q1760796
Wairoa district,wikidataId/Q599594
Waitaki district,wikidataId/Q1760804
Waitomo district,wikidataId/Q1210773
Wellington city,wikidataId/Q23661
Wellington region,wikidataId/Q856010
West Coast region,wikidataId/Q541468
Western Bay of Plenty district,wikidataId/Q959152
Westland district,wikidataId/Q2119644
Whakatāne district,wikidataId/Q26269088
Whanganui district,wikidataId/Q10856931
Whangārei district,wikidataId/Q3696415
Gore district,wikidataId/Q24189360
Kaipātiki local board area,wikidataId/Q28430918
Lower Hutt city,wikidataId/Q1015681
Ōtara-Papatoetoe local board area,wikidataId/Q65041584
Southland Region,wikidataId/Q864971
Devonport-Takapuna local board area,wikidataId/Q28430917
Nelson Region,wikidataId/Q1995856
Bay of Plenty region,wikidataId/Q2192924
