place_name,dcid
Total,country/KEN
Mombasa,wikidataId/Q1112885
Kwale,wikidataId/Q952571
Kilifi,wikidataId/Q1741307
Tana River,wikidataId/Q383150
Lamu,wikidataId/Q1951652
Taita Taveta,wikidataId/Q7193788
Garissa,wikidataId/Q1494292
Wajir,wikidataId/Q1852209
Mandera,wikidataId/Q1477874
Marsabit,wikidataId/Q1323683
Isiolo,wikidataId/Q1499046
Meru,wikidataId/Q15045704
Tharaka Nithi,wikidataId/Q2189432
Embu,wikidataId/Q1335242
Kitui,wikidataId/Q1722597
Machakos,wikidataId/Q1882639
Makueni,wikidataId/Q473717
Nyandarua,wikidataId/Q1714352
Nyeri,wikidataId/Q749665
Kirinyaga,wikidataId/Q2230311
Muranga,wikidataId/Q1781723
Kiambu,wikidataId/Q2575594
Turkana,wikidataId/Q1633078
West Pokot,wikidataId/Q590860
Samburu,wikidataId/Q2096419
Trans Nzoia,wikidataId/Q1278653
Uasin Gishu,wikidataId/Q1121429
Elgeyo Marakwet,wikidataId/Q15216433
Nandi,wikidataId/Q1964569
Baringo,wikidataId/Q808201
Laikipia,wikidataId/Q1800699
Nakuru,wikidataId/Q1852202
Narok,wikidataId/Q1852220
Kajiado,wikidataId/Q285072
Bomet,wikidataId/Q891952
Kericho,wikidataId/Q1739252
Kakamega,wikidataId/Q1721867
Vihiga,wikidataId/Q1313202
Bungoma,wikidataId/Q2928204
Busia,wikidataId/Q1017519
Siaya,wikidataId/Q3482913
Kisumu,wikidataId/Q1743809
Homabay,wikidataId/Q1625834
Kisii,wikidataId/Q1743730
Migori,wikidataId/Q429955
Nyamira,wikidataId/Q1569613
Nairobi,wikidataId/Q3335223
Tharaka-Nithi,wikidataId/Q2189432
Trans-Nzoia,wikidataId/Q1278653
Uasin-Gishu,wikidataId/Q1121429
Elgeyo-Marakwet,wikidataId/Q15216433
