"NumPlaces","MeasurementMethods","observationPeriods","StatVar","ScalingFactors","MinDate","Units"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_SoybeanMeal","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Cocoa","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_IronOreWithCostAndFreight","[]","1960","[USDollarPerDryMetricTonUnit]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_A1GradeRice_Thailand","[]","1986","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_RiceFivePercentKernel_Thailand","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_NaturalGas_Europe","[]","1960","[USDollarPerMillionBtu]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Groundnut","[]","1980","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Nickel","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_TechnicallySpecifiedRubberGrade20","[]","1999","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_GroundnutOil","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Tea_Colombo","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Zinc","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Shrimp_Mexico","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_SheepAndLambs","[]","1971","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Soybean","[]","1960","[USDollarPerMetricTon]"
"1","[BaseYear2010]","[P1Y]","RealValue_Mean_Index_Commodity_NaturalGas","[]","1977","[]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Sugar_UnitedStates","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_CrudeOil_WestTexasIntermediate","[]","1982","[USDollarPerBarrel]"
"1","[BaseYear2010]","[P1Y]","RealValue_Mean_ManufacturedExportsUnitValueIndex_EconomicActivity","[]","1960","[]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Beef","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Coal_SouthAfrica","[]","1984","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Urea","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_RubberRibbedSmokedSheetGrade3","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Tin","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Sawnwood_Malaysia","[]","1960","[USDollarPerCubicMeter]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_WoodLog_Malaysia","[]","1960","[USDollarPerCubicMeter]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_SoybeanOil","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Tea_Mombasa","[]","1960","[USDollarPerKilogram]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_DiammoniumPhosphate","[]","1967","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Copper","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_TripleSuperphosphate","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_PalmKernelOil","[]","1996","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_Aluminum","[]","1960","[USDollarPerMetricTon]"
"1","[]","[P1Y]","RealValue_Mean_Price_Commodity_RiceTwentyFivePercentKernel_Thailand","[]","1986","[USDollarPerMetricTon]"
