"MeasurementMethods","NumPlaces","ScalingFactors","MinDate","Units","StatVar","observationPeriods"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_OilAndMeal","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_RawMaterials","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Agriculture","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_PreciousMetal","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_NonEnergy","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Grain","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Beverage","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_BaseMetalsExceptIronOre","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Energy","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Food","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Timber","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_OtherFoods","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_WorldBankOtherRawMaterial","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_Fertilizer","[P1Y]"
"[BaseYear2010]","1","[]","1960","[]","Nominal_Index_Commodity_MetalAndMineral","[P1Y]"
