"ScalingFactors","Units","MeasurementMethods","observationPeriods","NumPlaces","StatVar","MinDate"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_OilAndMeal","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_DeflatorManufacturedExportsUnitValueIndex_EconomicActivity","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_WorldBankOtherRawMaterial","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_NonEnergy","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_BaseMetalsExceptIronOre","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Agriculture","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Fertilizer","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_OtherFoods","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Food","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Energy","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Timber","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_RawMaterials","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_PreciousMetal","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Grain","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_MetalAndMineral","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity","1960"
"[]","[Percent]","[BaseYear2010]","[P1Y]","1","RealValue_Index_Commodity_Beverage","1960"
