year,territory,count_person_rural,percentage_person_rural,poverty_line_rural,count_person_urban,percentage_person_urban,poverty_line_urban,count_person_combined,percentage_person_combined
2005-03,dcid:wikidataId/Q1159,18000000.0,32.3,433.43,5500000.0,23.4,563.16,23510000.0,29.6
2005-03,dcid:wikidataId/Q1162,320000.0,33.6,547.14,60000.0,23.5,618.45,380000.0,31.4
2005-03,dcid:wikidataId/Q1164,8940000.0,36.4,478.0,830000.0,21.8,600.03,9770000.0,34.4
2005-03,dcid:wikidataId/Q1165,45100000.0,55.7,433.43,4280000.0,43.7,526.18,49380000.0,54.4
2005-03,dcid:wikidataId/Q1168,9780000.0,55.1,398.92,1370000.0,28.4,513.7,11150000.0,49.4
2005-03,dcid:wikidataId/Q1171,180000.0,28.1,608.76,170000.0,22.2,671.15,340000.0,24.9
2005-03,dcid:wikidataId/Q1061,12850000.0,39.1,501.58,4290000.0,20.1,659.18,17140000.0,31.6
2005-03,dcid:wikidataId/Q1174,3880000.0,24.8,529.42,1590000.0,22.4,626.41,5460000.0,24.1
2005-03,dcid:wikidataId/Q1177,1430000.0,25.0,520.4,30000.0,4.6,605.74,1460000.0,22.9
2005-03,dcid:wikidataId/Q66278313,1160000.0,14.1,522.3,290000.0,10.4,602.89,1450000.0,13.1
2005-03,dcid:wikidataId/Q1184,11620000.0,51.6,404.79,1600000.0,23.8,531.35,13210000.0,45.3
2005-03,dcid:wikidataId/Q1185,13470000.0,37.5,417.84,5180000.0,25.9,588.06,18650000.0,33.3
2005-03,dcid:wikidataId/Q1186,4220000.0,20.2,537.31,1980000.0,18.4,584.7,6200000.0,19.6
2005-03,dcid:wikidataId/Q1188,25440000.0,53.6,408.41,6130000.0,35.1,532.26,31570000.0,48.6
2005-03,dcid:wikidataId/Q1191,27780000.0,47.9,484.89,11460000.0,25.6,631.85,39240000.0,38.2
2005-03,dcid:wikidataId/Q1193,670000.0,39.3,578.11,230000.0,34.5,641.13,900000.0,37.9
2005-03,dcid:wikidataId/Q1195,290000.0,14.0,503.32,120000.0,24.7,745.73,410000.0,16.1
2005-03,dcid:wikidataId/Q1502,110000.0,23.0,639.27,40000.0,7.9,699.75,150000.0,15.4
2005-03,dcid:wikidataId/Q1599,150000.0,10.0,687.3,20000.0,4.3,782.93,170000.0,8.8
2005-03,dcid:wikidataId/Q22048,19880000.0,60.8,407.78,2280000.0,37.6,497.31,22160000.0,57.2
2005-03,dcid:wikidataId/Q22424,3670000.0,22.1,543.51,1690000.0,18.7,642.51,5360000.0,20.9
2005-03,dcid:wikidataId/Q1437,16640000.0,35.8,478.0,4350000.0,29.7,568.15,20980000.0,34.4
2005-03,dcid:wikidataId/Q1505,150000.0,31.8,531.5,20000.0,25.9,741.68,170000.0,30.9
2005-03,dcid:wikidataId/Q1445,13440000.0,37.5,441.69,5970000.0,19.7,559.77,19410000.0,29.4
2005-03,dcid:wikidataId/Q1363,1190000.0,44.5,450.49,150000.0,22.5,555.79,1340000.0,40.0
2005-03,dcid:wikidataId/Q1498,60050000.0,42.7,435.14,13010000.0,34.1,532.12,73070000.0,40.9
