Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Date,State,isoCode
374779,12121,0,362658,193328,98.3,495000,464094,348865,2018-03,Punjab,IN-PB
1410507,41484,0,1369023,1061907,97.9,2054000,1884090,1182552,2018-03,Rajasthan,IN-RJ
7323,93,0,7230,5337,99.3,12000,8925,6870,2018-03,Sikkim,IN-SK
903352,92,0,903260,515305,100,1251000,1022933,962639,2018-03,Tamil Nadu,IN-TN
596230,2827,0,593403,321301,99.8,724000,1179409,557492,2018-03,Telangana,IN-TG
51833,4003,0,47830,45071,92.3,64000,75540,46022,2018-03,Tripura,IN-TR
3570893,624120,0,2946773,2555702,85.2,6532000,5818739,2630412,2018-03,Uttar Pradesh,IN-UP
142638,20333,0,122305,89687,89.7,216000,229256,139754,2018-03,Uttarakhand,IN-UT
1324887,58464,0,1266423,1003431,95.7,1648000,1656977,1360476,2018-03,West Bengal,IN-WB
15916843,1774753,0,14142090,10015909,91.4,29595000,20932686,12888758,2016-03,All India,IN
3167,116,0,3051,3051,97.8,7000,4240,3261,2016-03,A & N Islands,IN-AN
588861,10904,0,577957,244539,99.2,960000,666898,491856,2016-03,Andhra Pradesh,IN-AP
12838,998,0,11840,10252,96.4,31000,23420,8522,2016-03,Arunachal Pradesh,IN-AR
463988,66529,0,397459,332912,88.9,812000,555865,443304,2016-03,Assam,IN-AS
1597777,348025,0,1249752,1177970,82.5,3139000,2058459,1096660,2016-03,Bihar,IN-BR
21323,173,0,21150,21150,99.2,20000,42733,15295,2016-03,Chandigarh,IN-CH
368156,66847,0,301309,236798,88.5,697000,492198,365829,2016-03,Chhattisgarh,IN-CT
6992,70,0,6922,6056,99.2,11000,7344,6131,2016-03,Dadra & Nagar Haveli,IN-DN
2895,22,0,2873,1801,99.3,6000,6112,2957,2016-03,Daman & Diu,IN-DD
204163,12821,0,191342,158368,94.4,353000,688171,225081,2016-03,Delhi,IN-DL
14688,7,0,14681,8816,100,23000,19052,11479,2016-03,Goa,IN-GA
919247,14493,0,904754,363675,99.1,1451000,1031888,772302,2016-03,Gujarat,IN-GJ
382800,35618,0,347182,218133,91.7,635000,432483,261461,2016-03,Haryana,IN-HR
70811,11189,0,59622,49543,86.5,129000,93713,75776,2016-03,Himachal Pradesh,IN-HP
140842,14253,0,126589,116887,90.9,244000,253492,135647,2016-03,Jammu & Kashmir,IN-JK
505046,100088,0,404958,288065,84.9,919000,602952,216414,2016-03,Jharkhand,IN-JH
686220,4769,0,681451,429852,99.6,1272000,922513,655835,2016-03,Karnataka,IN-KA
365427,540,0,364887,111080,99.9,560000,358744,289232,2016-03,Kerala,IN-KL
639,1,0,638,638,100,1000,900,657,2016-03,Lakshadweep,IN-LD
1080728,108534,0,972194,868572,91.9,2201000,1393916,885823,2016-03,Madhya Pradesh,IN-MP
1290288,16973,0,1273315,765309,99.5,2164000,1615603,1081725,2016-03,Maharashtra,IN-MH
29762,5743,0,24019,19719,92.5,48000,53835,33707,2016-03,Manipur,IN-MN
63553,29556,0,33997,27049,56.4,83000,99192,31827,2016-03,Meghalaya,IN-ML
15001,1584,0,13417,10810,92,21000,17112,12552,2016-03,Mizoram,IN-MZ
17359,3639,0,13720,10792,94.4,35000,37635,13736,2016-03,Nagaland,IN-NL
509840,51076,0,458764,404299,91.8,931000,614820,461280,2016-03,Odisha,IN-OR
32901,8,0,32893,23432,100,24000,64567,25448,2016-03,Puducherry,IN-PY
301634,24228,0,277406,147927,96.1,496000,356297,256126,2016-03,Punjab,IN-PB
1064830,41232,0,1023598,788852,98.4,2016000,1400255,852598,2016-03,Rajasthan,IN-RJ
5927,99,0,5828,4616,99,12000,6605,5248,2016-03,Sikkim,IN-SK
709886,200,0,709686,424896,100,1255000,772617,728141,2016-03,Tamil Nadu,IN-TN
423764,6178,0,417586,161400,99.2,724000,665554,365373,2016-03,Telangana,IN-TG
37858,4420,0,33438,31317,88.5,64000,56798,34699,2016-03,Tripura,IN-TR
2817691,640369,0,2177322,1758082,82.9,6405000,4073002,1959677,2016-03,Uttar Pradesh,IN-UP
112811,21998,0,90813,72285,87.6,215000,165035,101395,2016-03,Uttarakhand,IN-UT
1040804,131415,0,909389,710678,87.4,1631000,1264359,961704,2016-03,West Bengal,IN-WB
21254165,4448148,0,16806017,12330666,88.2,29681000,28539444,15426575,2011-03,All India,IN
4745,322,0,4423,4423,96.5,9000,5992,3526,2011-03,A & N Islands,IN-AN
1522661,85296,0,1437365,557115,98.3,1708000,1762254,1197455,2011-03,Andhra Pradesh Old,IN-AP
