Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandbyAssist,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Date,State,isoCode
917364,79911,0,837453,687262,96.6,1275000,1292237,763325,2010-03,Karnataka,IN-KA
491247,1419,0,489828,150267,99.7,550000,624899,407253,2010-03,Kerala,IN-KL
649,58,0,591,591,95.2,1000,1017,575,2010-03,Lakshadweep,IN-LD
1607760,316005,0,1291755,1154823,87.1,2174000,1993145,958629,2010-03,Madhya Pradesh,IN-MP
1494896,209505,0,1285391,744868,95.3,2176000,2117762,1104387,2010-03,Maharashtra,IN-MH
31741,7535,0,24206,18498,90.3,42000,111670,41307,2010-03,Manipur,IN-MN
66287,37102,0,29185,21672,50.1,72000,102540,27570,2010-03,Meghalaya,IN-ML
22851,5049,0,17802,14675,89.4,20000,32096,13614,2010-03,Mizoram,IN-MZ
15516,4696,0,10820,10820,94.8,43000,33754,7741,2010-03,Nagaland,IN-NL
656136,153464,0,502672,499332,83.5,947000,860274,293702,2010-03,Odisha,IN-OR
47926,37,0,47889,39388,100,23000,53819,9609,2010-03,Puducherry,IN-PY
387729,138119,0,249610,101804,80.9,518000,508435,298154,2010-03,Punjab,IN-PB
1394549,191785,0,1202764,940492,93.9,2006000,2012114,1012571,2010-03,Rajasthan,IN-RJ
5785,1972,0,3813,3813,77.2,12000,15212,5412,2010-03,Sikkim,IN-SK
1105378,5404,0,1099974,808737,99.9,1176000,1220391,933795,2010-03,Tamil Nadu,IN-TN
45928,9221,0,36707,36605,81.4,61000,72676,34025,2010-03,Tripura,IN-TR
4509612,2290658,0,2218954,2162510,82.9,6269000,5804938,3456991,2010-03,Uttar Pradesh,IN-UP
133225,53975,0,79250,77961,80.2,216000,226481,116497,2010-03,Uttarakhand,IN-UT
1410555,504149,0,906406,758200,65.4,1701000,1902114,872390,2010-03,West Bengal,IN-WB
18826605,5530246,0,13296359,9949072,83.8,29222000,26697628,11503643,2009-03,All India,IN
4926,297,0,4629,4629,94.3,8000,7199,5119,2009-03,A & N Islands,IN-AN
1370196,140881,0,1229315,678682,95,1704000,1799548,1002098,2009-03,Andhra Pradesh Old,IN-AP
10559,823,0,9736,9736,97.9,30000,21569,5663,2009-03,Arunachal Pradesh,IN-AR
507144,146745,0,360399,348564,78,793000,736696,256621,2009-03,Assam,IN-AS
766152,230464,0,535688,535688,88.1,3056000,1179314,464798,2009-03,Bihar,IN-BR
22235,3672,0,18563,18563,100,22000,33109,0,2009-03,Chandigarh,IN-CH
568988,387068,0,181920,176870,60.7,684000,658429,274705,2009-03,Chhattisgarh,IN-CT
4917,858,0,4059,4059,88.7,10000,11470,3593,2009-03,Dadra & Nagar Haveli,IN-DN
0,0,0,0,0,0,4000,0,0,2009-03,Daman & Diu,IN-DD
147856,17000,0,130856,115513,93.3,343000,574706,122539,2009-03,Delhi,IN-DL
23690,138,0,23552,16314,99.6,26000,46801,11184,2009-03,Goa,IN-GA
1047645,175088,0,872557,262620,90.3,1445000,1329382,784199,2009-03,Gujarat,IN-GJ
483880,201598,0,282282,171697,78.2,629000,594281,244123,2009-03,Haryana,IN-HR
111434,52154,0,59280,58626,56.4,127000,153712,14075,2009-03,Himachal Pradesh,IN-HP
208277,56609,0,151668,151263,88.1,238000,376303,118190,2009-03,Jammu & Kashmir,IN-JK
503132,312731,0,190401,189700,63.8,873000,665252,0,2009-03,Jharkhand,IN-JH
967719,247242,0,720477,719201,91.9,1268000,1148075,639012,2009-03,Karnataka,IN-KA
183182,1624,0,181558,181558,99.3,549000,591901,340034,2009-03,Kerala,IN-KL
155,0,0,155,155,100,1000,259,30,2009-03,Lakshadweep,IN-LD
1759464,350789,0,1408675,1255679,86.5,2177000,2109976,917299,2009-03,Madhya Pradesh,IN-MP
1757043,296987,0,1460056,468015,92,2168000,2185856,1247223,2009-03,Maharashtra,IN-MH
24776,7451,0,17325,17302,87.1,39000,100525,26091,2009-03,Manipur,IN-MN
50802,32607,0,18195,16883,43.3,68000,78489,16911,2009-03,Meghalaya,IN-ML
18216,4374,0,13842,13832,88.5,20000,24827,10117,2009-03,Mizoram,IN-MZ
8374,3069,0,5305,5305,89.3,42000,21721,4274,2009-03,Nagaland,IN-NL
599939,180222,0,419717,416154,78.3,943000,761966,212693,2009-03,Odisha,IN-OR
29787,0,0,29787,29787,100,21000,56203,7365,2009-03,Puducherry,IN-PY
389771,159335,0,230436,96542,81.3,521000,473323,224100,2009-03,Punjab,IN-PB
1499880,365001,0,1134879,890611,84.4,2001000,2002738,1056808,2009-03,Rajasthan,IN-RJ
5018,2588,0,2430,2430,76.5,12000,13395,6196,2009-03,Sikkim,IN-SK
1109253,7143,0,1102110,719531,99.7,1154000,1238461,936749,2009-03,Tamil Nadu,IN-TN
43185,11257,0,31928,30621,76.8,66000,62204,28471,2009-03,Tripura,IN-TR
2970237,1468304,0,1501933,1495694,81.5,6241000,5376516,1555087,2009-03,Uttar Pradesh,IN-UP
131789,76964,0,54825,50713,76.3,216000,243301,117168,2009-03,Uttarakhand,IN-UT
1457411,588723,0,868688,757402,61.3,1723000,1887862,817886,2009-03,West Bengal,IN-WB
21118228,1391194,0,19727034,13665067,94.6,29584120,28787946,19589946,2019-03,All India,IN
3840,86,0,3754,3754,98.5,5400,4972,3681,2019-03,A & N Islands,IN-AN
747243,4605,0,742638,322027,99.8,913530,858326,697451,2019-03,Andhra Pradesh,IN-AP
18872,1888,0,16984,14438,94.2,30010,32159,12499,2019-03,Arunachal Pradesh,IN-AR
592973,60007,0,532966,446108,92.8,797450,701133,601868,2019-03,Assam,IN-AS
2087990,391138,0,1696852,1612421,84.7,3209480,3271782,2188568,2019-03,Bihar,IN-BR
29021,63,0,28958,28958,99.8,22710,42358,34127,2019-03,Chandigarh,IN-CH
490703,15261,0,475442,360446,98.4,693500,632015,557620,2019-03,Chhattisgarh,IN-CT
9077,42,0,9035,8063,99.6,11130,8394,8087,2019-03,Dadra & Nagar Haveli,IN-DN
3857,3,0,3854,3376,99.9,7350,6555,6274,2019-03,Daman & Diu,IN-DD
283717,12232,0,271485,220550,95.8,373980,931041,335500,2019-03,Delhi,IN-DL
17955,34,0,17921,10563,99.8,23520,26896,15369,2019-03,Goa,IN-GA
1139108,6721,0,1132387,422055,99.8,1422390,1349576,1129103,2019-03,Gujarat,IN-GJ
500821,25756,0,475065,286922,95.3,635940,591130,418428,2019-03,Haryana,IN-HR
87392,8383,0,79009,67491,91.7,126900,112583,98263,2019-03,Himachal Pradesh,IN-HP
199384,10396,0,188988,172065,95.1,232160,395092,266690,2019-03,Jammu & Kashmir,IN-JK
737983,34020,0,703963,512774,97,902270,940941,550682,2019-03,Jharkhand,IN-JH
911795,1268,0,910527,564549,99.9,1203120,1140111,928338,2019-03,Karnataka,IN-KA
484556,720,0,483836,143847,99.9,544110,504654,435004,2019-03,Kerala,IN-KL
845,0,0,845,845,100,1140,1266,1102,2019-03,Lakshadweep,IN-LD
1375631,68512,0,1307119,1172770,95.5,2145450,1875916,1231587,2019-03,Madhya Pradesh,IN-MP
1726544,12680,0,1713864,890351,99.6,2114480,2100266,1635676,2019-03,Maharashtra,IN-MH
38028,6735,0,31293,25343,93.5,54930,57301,34390,2019-03,Manipur,IN-MN
84372,35617,0,48755,37522,59.3,77430,141030,43766,2019-03,Meghalaya,IN-ML
19440,2247,0,17193,13762,91.4,18950,22750,16865,2019-03,Mizoram,IN-MZ
19710,3537,0,16173,12366,92.6,30950,37553,10514,2019-03,Nagaland,IN-NL
655820,25055,0,630765,530094,97.4,917870,738453,632652,2019-03,Odisha,IN-OR
43977,7,0,43970,33431,100,23290,98869,33175,2019-03,Puducherry,IN-PY
372882,8705,0,364177,187024,98.7,486900,456150,354243,2019-03,Punjab,IN-PB
1384272,32973,0,1351299,1035980,98.4,2006660,1825723,1203106,2019-03,Rajasthan,IN-RJ
7107,65,0,7042,4636,99.5,11590,9420,7147,2019-03,Sikkim,IN-SK
939547,105,0,939442,512604,100,1205640,1054940,981236,2019-03,Tamil Nadu,IN-TN
610191,829,0,609362,326350,100,689930,758446,487639,2019-03,Telangana,IN-TG
50343,3336,0,47007,44586,93.4,58810,72307,46766,2019-03,Tripura,IN-TR
3972262,570912,0,3401350,2519939,87.6,6729430,6117234,2996142,2019-03,Uttar Pradesh,IN-UP
147841,18668,0,129173,87968,90.6,214310,230252,148429,2019-03,Uttarakhand,IN-UT
1323129,28588,0,1294541,1029089,97.9,1641410,1640352,1437959,2019-03,West Bengal,IN-WB
20457293,2963373,0,17493920,13198537,90.1,29338000,28959041,16764960,2014-03,All India,IN
4612,201,0,4411,4411,97.9,7000,6491,5024,2014-03,A & N Islands,IN-AN
963734,55226,0,908508,534048,97.7,1654000,1772790,1143421,2014-03,Andhra Pradesh Old,IN-AP
15272,695,0,14577,12968,98.7,30000,34633,14539,2014-03,Arunachal Pradesh,IN-AR
613864,98385,0,515479,460095,86.1,792000,789120,566386,2014-03,Assam,IN-AS
2019834,432977,0,1586857,1585670,82.9,3264000,2641611,1166730,2014-03,Bihar,IN-BR
26153,871,0,25282,25282,96.8,19000,37727,17706,2014-03,Chandigarh,IN-CH
496528,159872,0,336656,258365,76.6,708000,692461,352140,2014-03,Chhattisgarh,IN-CT
7747,266,0,7481,6103,97.1,11000,14336,4858,2014-03,Dadra & Nagar Haveli,IN-DN
3859,77,0,3782,2096,98,6000,8196,3883,2014-03,Daman & Diu,IN-DD
244839,13910,0,230929,194313,95.2,341000,890664,276523,2014-03,Delhi,IN-DL
16064,15,0,16049,11360,99.9,22000,25582,13444,2014-03,Goa,IN-GA
1148108,42544,0,1105564,453878,97.8,1428000,1455500,1068703,2014-03,Gujarat,IN-GJ
498785,71207,0,427578,259835,87.5,618000,565858,283180,2014-03,Haryana,IN-HR
98537,20976,0,77561,65216,81,123000,128995,84315,2014-03,Himachal Pradesh,IN-HP
197511,19872,0,177639,165985,91.4,249000,438916,244981,2014-03,Jammu & Kashmir,IN-JK
645738,141092,0,504646,397637,83.1,923000,801120,225610,2014-03,Jharkhand,IN-JH
866011,12322,0,853689,610616,99.3,1261000,1220627,844732,2014-03,Karnataka,IN-KA
496506,990,0,495516,150679,99.8,549000,518811,412737,2014-03,Kerala,IN-KL
667,0,0,667,667,100,1000,1162,860,2014-03,Lakshadweep,IN-LD
1358054,186272,0,1171782,1096338,90.2,2184000,1885518,1009274,2014-03,Madhya Pradesh,IN-MP
1766693,62338,0,1704355,908341,99.1,2108000,2223634,1338318,2014-03,Maharashtra,IN-MH
41322,9352,0,31970,25140,89.6,47000,87594,45928,2014-03,Manipur,IN-MN
84108,40563,0,43545,32786,55.8,80000,132397,44097,2014-03,Meghalaya,IN-ML
21037,2240,0,18797,15245,92.9,20000,24464,16838,2014-03,Mizoram,IN-MZ
21257,5656,0,15601,13829,95.2,34000,47196,17681,2014-03,Nagaland,IN-NL
713425,83514,0,629911,569801,89.5,924000,825046,455735,2014-03,Odisha,IN-OR
39876,19,0,39857,29125,100,24000,51334,23503,2014-03,Puducherry,IN-PY
419990,56811,0,363179,186143,90.5,492000,482522,335617,2014-03,Punjab,IN-PB
1465583,90045,0,1375538,1038566,97.3,2005000,1940234,1058433,2014-03,Rajasthan,IN-RJ
7978,548,0,7430,6527,96.2,12000,9443,6796,2014-03,Sikkim,IN-SK
1017496,899,0,1016597,698167,99.9,1256000,1135923,1022716,2014-03,Tamil Nadu,IN-TN
52424,7829,0,44595,41571,85.4,57000,77985,44368,2014-03,Tripura,IN-TR
3373965,964026,0,2409939,2323226,85.8,6238000,5710191,3146639,2014-03,Uttar Pradesh,IN-UP
158811,40774,0,118037,92425,86.1,209000,225294,121873,2014-03,Uttarakhand,IN-UT
1527662,340820,0,1186842,899009,77.7,1642000,1966304,1347372,2014-03,West Bengal,IN-WB
21410780,1183716,0,20227064,13742236,95.5,29913500,29022447,20880452,2020-03,All India,IN
3602,65,0,3537,3537,98.4,5500,4784,3455,2020-03,A & N Islands,IN-AN
734645,2397,0,732248,304544,99.9,919900,803046,654059,2020-03,Andhra Pradesh,IN-AP
20832,2114,0,18718,16066,93.5,30300,30162,11083,2020-03,Arunachal Pradesh,IN-AR
608156,53589,0,554567,463880,93.9,805700,685229,603179,2020-03,Assam,IN-AS
2207610,335870,0,1871740,1653275,87.7,3242100,3394623,2346394,2020-03,Bihar,IN-BR
28143,37,0,28106,28106,99.9,23700,35734,26155,2020-03,Chandigarh,IN-CH
485292,8289,0,477003,364192,99,701100,646957,582836,2020-03,Chhattisgarh,IN-CT
9577,36,0,9541,8475,99.7,11500,8070,7799,2020-03,Dadra & Nagar Haveli,IN-DN
4048,1,0,4047,3460,100,7700,6527,5474,2020-03,Daman & Diu,IN-DD
286281,11120,0,275161,222723,96.1,384600,721322,327469,2020-03,Delhi,IN-DL
18434,15,0,18419,10702,99.9,24100,27969,16100,2020-03,Goa,IN-GA
1151437,5569,0,1145868,439315,99.9,1436800,1296148,1092037,2020-03,Gujarat,IN-GJ
514301,21098,0,493203,288509,96.1,644300,572676,432948,2020-03,Haryana,IN-HR
88701,6658,0,82043,68047,94,127800,110701,96865,2020-03,Himachal Pradesh,IN-HP
193368,10503,0,182865,166858,94.9,234200,358624,240775,2020-03,Jammu & Kashmir,IN-JK
733372,29522,0,703850,520283,97.6,912600,953011,634431,2020-03,Jharkhand,IN-JH
900933,930,0,900003,550949,99.9,1212400,1151533,907946,2020-03,Karnataka,IN-KA
460850,467,0,460383,146174,99.9,546700,527626,437967,2020-03,Kerala,IN-KL
870,1,0,869,869,100,1100,1274,1068,2020-03,Lakshadweep,IN-LD
1412758,60526,0,1352232,1207305,96.2,2173300,1919655,1335313,2020-03,Madhya Pradesh,IN-MP
1798428,11225,0,1787203,876508,99.6,2138200,2051346,1758392,2020-03,Maharashtra,IN-MH
39373,6122,0,33251,25935,93.3,55500,55346,32468,2020-03,Manipur,IN-MN
90491,36483,0,54008,41284,61.2,78200,138997,48374,2020-03,Meghalaya,IN-ML
20728,2236,0,18492,14753,91.3,19100,23614,17764,2020-03,Mizoram,IN-MZ
20774,3662,0,17112,13158,92,31200,39462,10777,2020-03,Nagaland,IN-NL
641324,17404,0,623920,510738,98.5,924500,721502,629218,2020-03,Odisha,IN-OR
43178,3,0,43175,33265,100,24200,98914,27240,2020-03,Puducherry,IN-PY
379150,5463,0,373687,186942,99.2,490800,438357,350172,2020-03,Punjab,IN-PB
1376805,23888,0,1352917,1028018,98.9,2031500,1736201,1215896,2020-03,Rajasthan,IN-RJ
7111,46,0,7065,5222,99.7,11700,9343,7184,2020-03,Sikkim,IN-SK
942869,206,0,942663,511806,100,1210500,1043510,971553,2020-03,Tamil Nadu,IN-TN
621253,588,0,620665,295575,100,694700,759098,541937,2020-03,Telangana,IN-TG
52158,3254,0,48904,44334,93.8,59400,67065,47227,2020-03,Tripura,IN-TR
4095081,489648,0,3605433,2596990,89.7,6827400,6745784,3886259,2020-03,Uttar Pradesh,IN-UP
152648,17042,0,135606,90453,91.6,216700,217191,153387,2020-03,Uttarakhand,IN-UT
1266199,17639,0,1248560,999986,98.6,1654500,1621046,1419251,2020-03,West Bengal,IN-WB
