observationAbout,observationDate,value,variableMeasured
country/USA,1994-11,5573616,dcid:Count_Household_HouseholderAge15To24Years_NonInstitutionalized
country/USA,1994-11,43123860,dcid:Count_Household_HouseholderAge25To44Years_NonInstitutionalized
country/USA,1994-11,29830455,dcid:Count_Household_HouseholderAge45To64Years_NonInstitutionalized
country/USA,1994-11,21180087,dcid:Count_Household_HouseholderAge65OrMoreYears_NonInstitutionalized
country/USA,1994-11,1021876,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge15To24Years_NonInstitutionalized
country/USA,1994-11,13039306,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge25To44Years_NonInstitutionalized
country/USA,1994-11,8525086,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge45To64Years_NonInstitutionalized
country/USA,1994-11,1622202,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge65OrMoreYears_NonInstitutionalized
country/USA,1997-10,1594328,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge15To24Years_NonInstitutionalized
country/USA,1997-10,19680204,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge25To44Years_NonInstitutionalized
country/USA,1997-10,13716027,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge45To64Years_NonInstitutionalized
country/USA,1997-10,2789026,dcid:Count_Household_ComputerUsageAtHome_HasComputer_HouseholderAge65OrMoreYears_NonInstitutionalized
country/USA,1998-12,48287009,dcid:Count_Person_3To14Years_Civilian
country/USA,1998-12,37477648,dcid:Count_Person_15To24Years_Civilian
country/USA,1998-12,82833709,dcid:Count_Person_25To44Years_Civilian
country/USA,1998-12,57582133,dcid:Count_Person_45To64Years_Civilian
country/USA,1998-12,32272407,dcid:Count_Person_65OrMoreYears_Civilian
country/USA,1998-12,1798778,dcid:Count_Person_15To24Years_Civilian_InternetUsageAtWork_IsInternetUser
country/USA,1998-12,14741701,dcid:Count_Person_25To44Years_Civilian_InternetUsageAtWork_IsInternetUser
country/USA,1998-12,7969110,dcid:Count_Person_45To64Years_Civilian_InternetUsageAtWork_IsInternetUser
country/USA,1998-12,271065,dcid:Count_Person_65OrMoreYears_Civilian_InternetUsageAtWork_IsInternetUser
