rowid,S.No.,StateCode,StateName(InEnglish),DistrictCode,DistrictVersion,DistrictName(InEnglish),DistrictName(InLocal),Census2001Code,Census2011Code,wikidataId
1,1,35,ANDAMAN AND NICOBAR ISLANDS,603,1,NICOBARS,NICOBARS,02,638,Q797295
2,2,35,ANDAMAN AND NICOBAR ISLANDS,632,1,NORTH AND MIDDLE ANDAMAN,NORTH AND MIDDLE ANDAMAN,,639,Q796983
3,3,35,ANDAMAN AND NICOBAR ISLANDS,602,1,SOUTH ANDAMANS,SOUTH ANDAMANS,01,640,Q796979
4,4,28,ANDHRA PRADESH,502,1,ANANTAPUR,ANANTAPUR,22,553,Q15212
5,5,28,ANDHRA PRADESH,503,1,CHITTOOR,CHITTOOR,23,554,Q15213
6,6,28,ANDHRA PRADESH,505,1,EAST GODAVARI,EAST GODAVARI,14,545,Q15338
7,7,28,ANDHRA PRADESH,506,1,GUNTUR,GUNTUR,17,548,Q15341
8,8,28,ANDHRA PRADESH,510,1,KRISHNA,KRISHNA,16,547,Q15382
9,9,28,ANDHRA PRADESH,511,1,KURNOOL,KURNOOL,21,552,Q15381
10,10,28,ANDHRA PRADESH,517,1,PRAKASAM,PRAKASAM,18,549,Q15390
11,11,28,ANDHRA PRADESH,515,1,SPSR NELLORE,SPSR NELLORE,19,550,Q15383
12,12,28,ANDHRA PRADESH,519,1,SRIKAKULAM,SRIKAKULAM,11,542,Q15395
13,13,28,ANDHRA PRADESH,520,1,VISAKHAPATANAM,VISAKHAPATANAM,13,544,Q15394
14,14,28,ANDHRA PRADESH,521,1,VIZIANAGARAM,VIZIANAGARAM,12,543,Q15392
15,15,28,ANDHRA PRADESH,523,1,WEST GODAVARI,పశ్చిమగోదావరి,15,546,Q15404
16,16,28,ANDHRA PRADESH,504,1,Y.S.R.,,20,551,Q15342
17,17,12,ARUNACHAL PRADESH,628,1,ANJAW,,,260,Q15413
18,18,12,ARUNACHAL PRADESH,229,1,CHANGLANG,CHANGLANG,12,253,Q15427
19,19,12,ARUNACHAL PRADESH,230,1,DIBANG VALLEY,DIBANG VALLEY,10,257,Q15446
20,20,12,ARUNACHAL PRADESH,231,3,EAST KAMENG,EAST KAMENG,03,247,Q15424
21,21,12,ARUNACHAL PRADESH,232,3,EAST SIANG,EAST SIANG,08,251,Q15419
22,22,12,ARUNACHAL PRADESH,718,1,KAMLE,KAMLE,,000,Q48731073
23,23,12,ARUNACHAL PRADESH,677,2,KRA DAADI,KRA DAADI,,000,Q21018627
24,24,12,ARUNACHAL PRADESH,233,2,KURUNG KUMEY,KURUNG KUMEY,14,256,Q2449506
25,25,12,ARUNACHAL PRADESH,724,1,LEPARADA,LEPARADA,,000,Q63563632
26,26,12,ARUNACHAL PRADESH,234,2,LOHIT,LOHIT,11,259,Q15438
27,27,12,ARUNACHAL PRADESH,666,1,LONGDING,LONGDING,,000,Q5627568
28,28,12,ARUNACHAL PRADESH,235,1,LOWER DIBANG VALLEY,LOWER DIBANG VALLEY,15,258,Q2373368
29,29,12,ARUNACHAL PRADESH,719,2,LOWER SIANG,LOWER SIANG,,000,Q13602925
30,30,12,ARUNACHAL PRADESH,236,2,LOWER SUBANSIRI,LOWER SUBANSIRI,05,255,Q15436
31,31,12,ARUNACHAL PRADESH,678,1,NAMSAI,,,000,Q21559824
32,32,12,ARUNACHAL PRADESH,723,2,PAKKE KESSANG,PAKKE KESSANG,,000,Q61439260
33,33,12,ARUNACHAL PRADESH,237,1,PAPUM PARE,PAPUM PARE,04,248,Q15432
34,34,12,ARUNACHAL PRADESH,725,1,SHI YOMI,SHI YOMI,,000,Q63563625
35,35,12,ARUNACHAL PRADESH,679,1,SIANG,,,000,Q18642331
36,36,12,ARUNACHAL PRADESH,238,1,TAWANG,TAWANG,01,245,Q15449
37,37,12,ARUNACHAL PRADESH,239,2,TIRAP,TIRAP,13,254,Q15448
38,38,12,ARUNACHAL PRADESH,240,1,UPPER SIANG,UPPER SIANG,09,252,Q15465
39,39,12,ARUNACHAL PRADESH,241,2,UPPER SUBANSIRI,UPPER SUBANSIRI,06,249,Q15464
40,40,12,ARUNACHAL PRADESH,242,1,WEST KAMENG,WEST KAMENG,02,246,Q15459
41,41,12,ARUNACHAL PRADESH,243,4,WEST SIANG,WEST SIANG,07,250,Q15453
42,42,18,ASSAM,616,4,BAKSA,,,324,Q2360266
43,43,18,ASSAM,280,2,BARPETA,BARPETA,05,303,Q41249
44,44,18,ASSAM,705,7,Biswanath,,,000,Q28110722
45,45,18,ASSAM,281,2,BONGAIGAON,BONGAIGAON,04,319,Q42197
46,46,18,ASSAM,282,1,CACHAR,CACHAR,21,316,Q42209
47,47,18,ASSAM,708,1,CHARAIDEO,,,000,Q24039029
48,48,18,ASSAM,612,2,CHIRANG,,,320,Q2574898
49,49,18,ASSAM,283,5,DARRANG,DARRANG,08,325,Q42461
50,50,18,ASSAM,284,1,DHEMAJI,DHEMAJI,13,308,Q42473
51,51,18,ASSAM,285,9,DHUBRI,DHUBURI,02,301,Q42485
52,52,18,ASSAM,286,1,DIBRUGARH,DIBRUGARH,15,310,Q42479
53,53,18,ASSAM,299,2,DIMA HASAO,DIMA HASAO,20,315,Q42774
54,54,18,ASSAM,287,1,GOALPARA,GOALPARA,03,302,Q42522
55,55,18,ASSAM,288,1,GOLAGHAT,GOLAGHAT,18,313,Q42517
56,56,18,ASSAM,289,1,HAILAKANDI,HAILAKANDI,23,318,Q42505
57,57,18,ASSAM,709,2,HOJAI,,,000,Q24699407
58,58,18,ASSAM,290,2,JORHAT,JORHAT,17,312,Q42611
59,59,18,ASSAM,291,2,KAMRUP,KAMRUP,06,321,Q2247441
60,60,18,ASSAM,618,2,KAMRUP METRO,KAMRUP MOHANAGAR,,322,Q2464674
61,61,18,ASSAM,292,2,KARBI ANGLONG,KARBI ANGLONG,19,314,Q42558
62,62,18,ASSAM,293,1,KARIMGANJ,KARIMGANJ,22,317,Q42542
63,63,18,ASSAM,294,1,KOKRAJHAR,KOKRAJHAR,01,300,Q42618
64,64,18,ASSAM,295,1,LAKHIMPUR,LAKHIMPUR,12,307,Q42743
65,65,18,ASSAM,706,1,MAJULI,,,000,Q28110729
66,66,18,ASSAM,296,1,MARIGAON,MARIGAON,09,304,Q42737
67,67,18,ASSAM,297,3,NAGAON,NAGAON,10,305,Q42686
68,68,18,ASSAM,298,2,NALBARI,NALBARI,07,323,Q42779
69,69,18,ASSAM,300,2,SIVASAGAR,SIVASAGAR,16,311,Q42768
70,70,18,ASSAM,301,8,SONITPUR,SONITPUR,11,306,Q42765
71,71,18,ASSAM,707,8,SOUTH SALMARA MANCACHAR,,,000,Q24907599
72,72,18,ASSAM,302,1,TINSUKIA,TINSUKIA,14,309,Q42756
73,73,18,ASSAM,617,4,UDALGURI,,,326,Q321998
74,74,18,ASSAM,710,1,WEST KARBI ANGLONG,,,000,Q24949218
75,75,10,BIHAR,188,1,ARARIA,अररिया,07,209,Q42901
76,76,10,BIHAR,611,2,ARWAL,अरवल,33,240,Q42917
77,77,10,BIHAR,189,2,AURANGABAD,औरंगाबाद,34,235,Q43086
78,78,10,BIHAR,190,1,BANKA,बांका,23,225,Q43097
79,79,10,BIHAR,191,1,BEGUSARAI,बेगूसराय,20,222,Q49157
80,80,10,BIHAR,192,3,BHAGALPUR,भागलपुर,22,224,Q49155
