"MinDate","ScalingFactors","Units","observationPeriods","StatVar","NumPlaces","MeasurementMethods"
"2011","[]","[]","[P1Y]","Count_Student_Asian_UngradedClasses","7865","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HawaiianNativeOrPacificIslander_Kindergarten","18189","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino","21060","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HispanicOrLatino_Kindergarten","18213","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_AdultEducation","969","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_AmericanIndianOrAlaskaNative_UngradedClasses","7861","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Male_Asian_AdultEducation","969","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_Black_PreKindergarten","13984","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_White_PreKindergarten","14022","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HawaiianNativeOrPacificIslander_PreKindergarten","13960","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_Asian_Kindergarten","18179","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_TwoOrMoreRaces_SchoolGrade12","16480","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Female_TwoOrMoreRaces_SchoolGrade13","583","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_TwoOrMoreRaces_SchoolGrade10","16548","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_TwoOrMoreRaces_SchoolGrade11","16506","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Female_White_SchoolGrade13","588","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_Asian_PreKindergarten","13969","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_TwoOrMoreRaces_UngradedClasses","7864","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_TwoOrMoreRaces_AdultEducation","992","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Female_AmericanIndianOrAlaskaNative_SchoolGrade13","583","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_AmericanIndianOrAlaskaNative_SchoolGrade12","16442","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_AmericanIndianOrAlaskaNative_SchoolGrade11","16472","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_White","21062","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_AmericanIndianOrAlaskaNative_SchoolGrade10","16515","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_White_SchoolGrade10","16601","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_White_SchoolGrade12","16533","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_White_SchoolGrade11","16561","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_AmericanIndianOrAlaskaNative_Kindergarten","18189","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade1","18311","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade2","18316","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_AmericanIndianOrAlaskaNative","21051","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade3","18304","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HispanicOrLatino_SchoolGrade11","16543","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HispanicOrLatino_SchoolGrade12","16515","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HispanicOrLatino_SchoolGrade10","16581","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade2","18203","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade3","18197","[US_NCES_Demographics]"
"2015","[]","[]","[P1Y]","Count_Student_Female_HispanicOrLatino_SchoolGrade13","583","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade4","18219","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade5","18318","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_SchoolGrade1To8","19563","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade1","18208","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_SchoolGrade6","18613","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade9","16708","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_SchoolGrade5","18404","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_SchoolGrade8","18463","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade7","18412","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_SchoolGrade7","18403","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade8","18471","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade6","18521","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade5","18410","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HispanicOrLatino_SchoolGrade9","16696","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade7","18297","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade6","18620","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade8","18353","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade3","18275","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_HawaiianNativeOrPacificIslander_SchoolGrade9","16594","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade4","18300","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Asian_PreKindergarten","13975","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade8","18523","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade1","18281","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade9","16751","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_HispanicOrLatino_SchoolGrade2","18281","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade4","18326","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade5","18436","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade6","18657","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_SchoolGrade7","18451","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male","21595","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_HawaiianNativeOrPacificIslander_UngradedClasses","7837","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_SchoolGrade6","18662","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_White","21063","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_SchoolGrade5","18447","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_SchoolGrade8","18528","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Male_SchoolGrade7","18456","[US_NCES_Demographics]"
"2011","[]","[]","[P1Y]","Count_Student_Female_White_PreKindergarten","14007","[US_NCES_Demographics]"
