place_name,dcid
Seoul,wikidataId/Q8684
Busan,wikidataId/Q16520
Daegu,wikidataId/Q20927
Incheon,wikidataId/Q20934
Gwangju,wikidataId/Q41283
Daejeon,wikidataId/Q20921
Ulsan,wikidataId/Q41278
Sejong-si,wikidataId/Q20929
Gyeonggi-do,wikidataId/Q20937
Gangwon-State,wikidataId/Q41071
Chungcheongbuk-do,wikidataId/Q41066
Chungcheongnam-do,wikidataId/Q41070
Jeonbuk-State,wikidataId/Q41157
Jeollanam-do,wikidataId/Q41161
Gyeongsangbuk-do,wikidataId/Q41154
Gyeongsangnam-do,wikidataId/Q41151
Jeju-do,wikidataId/Q41164
Whole country,country/KOR
