key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
Referência,observationDate,{Data},observationAbout,country/BRA,householdType,FarmingFamily,benefitProgram,Brazil_FoodAcquisitionProgram,foodSource,Supply,,
Agricultores familiares fornecedores do Programa de Aquisição de Alimentos - PAA,populationType,Household,,,value,{Number},description,"""Number of Family Farmers Supplying the Food Acquisition Program (PAA)""",alternateName,"""Número de Agricultores Familiares Abastecedores do Programa de Aquisição de Alimentos (PAA)@pt""",,
Recursos financeiros pagos aos agricultores familiares fornecedores do Programa de Aquisição de Alimentos - PAA,measuredProperty,amount,populationType,EconomicActivity,governmentPaymentStatus,GovernmentPayment,value,{Number},description,"""Total amount paid to family farmers supplying the Food Acquisition Program (PAA) by the government""",alternateName,"""Valor total pago aos agricultores familiares fornecedores do Programa de Aquisição de Alimentos (PAA) pelo governo@pt"""
