observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q503936,2016,118,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q503936,2016,14,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q503936,2016,2657,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q503936,2016,2.11225,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q532153,2016,612,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q532153,2016,837,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q532153,2016,91,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q532153,2016,1,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q532153,2016,1541,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q532153,2016,1.22506,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q429908,2016,463,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q429908,2016,497,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q429908,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q429908,2016,129,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q429908,2016,1089,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q429908,2016,0.86573,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q130626,2016,423,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q130626,2016,479,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q130626,2016,3,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q130626,2016,269,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q130626,2016,1174,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q130626,2016,0.9333,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q739676,2016,1134,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q739676,2016,1154,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q739676,2016,100,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q739676,2016,35,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q739676,2016,2423,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q739676,2016,1.92623,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q503910,2016,3911,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q503910,2016,2502,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q503910,2016,1202,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q503910,2016,252,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q503910,2016,7867,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q503910,2016,6.25407,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q506808,2016,572,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q506808,2016,595,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q506808,2016,44,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q506808,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q506808,2016,1211,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q506808,2016,0.96272,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q682704,2016,697,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q682704,2016,307,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q682704,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q682704,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q682704,2016,1004,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q682704,2016,0.79816,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q534917,2016,718,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q534917,2016,1008,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q534917,2016,103,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q534917,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q534917,2016,1829,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q534917,2016,1.45401,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q3817714,2016,886,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q3817714,2016,1094,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q3817714,2016,124,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q3817714,2016,0,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q3817714,2016,2104,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
dcid:wikidataId/Q3817714,2016,1.67263,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs_AsAFractionOf_Count_CriminalIncidents,Percent,
dcid:wikidataId/Q376241,2016,513,dcid:Offense_Count_CriminalIncidents_CrimeAgainstPerson,,
dcid:wikidataId/Q376241,2016,1350,dcid:Offense_Count_CriminalIncidents_CrimeAgainstProperty,,
dcid:wikidataId/Q376241,2016,19,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLawfulAuthority,,
dcid:wikidataId/Q376241,2016,356,dcid:Offense_Count_CriminalIncidents_CrimeAgainstLocalActs,,
dcid:wikidataId/Q376241,2016,2238,dcid:Count_CriminalIncidents_CrimeAgainstPersonOrCrimeAgainstPropertyOrCrimeAgainstLawfulAuthorityOrCrimeAgainstLocalActs,,
