key,p1,v1,p2,v2,p3,v3,p4,v4,,
2016,observationDate,2016,value,{Number},populationType,CriminalIncidents,,,,
,,,,,,,,,,
,,,,,,,,,,
Offence Against Persons,measurementQualifier,Offense,measuredProperty,count,crimeType,CrimeAgainstPerson,CrimeType,CrimeAgainstPerson,name,"""Offence Against Persons"""
Offence Against Property,measurementQualifier,Offense,measuredProperty,count,crimeType,CrimeAgainstProperty,CrimeType,CrimeAgainstProperty,name,"""Offence Against Property"""
Offence Against Lawfull Authority,measurementQualifier,Offense,measuredProperty,count,crimeType,CrimeAgainstLawfulAuthority,CrimeType,CrimeAgainstLawfulAuthority,name,"""Offence Against Lawfull Authority"""
Offence Against Local Acts,measurementQualifier,Offense,measuredProperty,count,crimeType,CrimeAgainstLocalActs,CrimeType,CrimeAgainstLocalActs,name,"""Offence Against Local Acts"""
Total No of Cases,measuredProperty,count,crimeType,CrimeAgainstPerson__CrimeAgainstProperty__CrimeAgainstLawfulAuthority__CrimeAgainstLocalActs,name,"""Total number of Cases""",,,,
% Share of Total Cases,measuredProperty,count,crimeType,CrimeAgainstPerson__CrimeAgainstProperty__CrimeAgainstLawfulAuthority__CrimeAgainstLocalActs,measurementDenominator,",-crimeType,-name",unit,Percent,name,"""% Share of Total Cases"""
,,,,,,,,,,
,,,,,,,,,,
Nigeria,observationAbout,country/NGA,#header,observationAbout,,,,,,
FCT,observationAbout,dcid:wikidataId/Q509300,#header,observationAbout,,,,,,
Abia,observationAbout,dcid:wikidataId/Q320852,#header,observationAbout,,,,,,
Adamawa,observationAbout,dcid:wikidataId/Q337514,#header,observationAbout,,,,,,
Akwa Ibom,observationAbout,dcid:wikidataId/Q424388,#header,observationAbout,,,,,,
Anambra,observationAbout,dcid:wikidataId/Q117714,#header,observationAbout,,,,,,
Bauchi,observationAbout,dcid:wikidataId/Q503936,#header,observationAbout,,,,,,
Bayelsa,observationAbout,dcid:wikidataId/Q532153,#header,observationAbout,,,,,,
Benue,observationAbout,dcid:wikidataId/Q429908,#header,observationAbout,,,,,,
Borno,observationAbout,dcid:wikidataId/Q130626,#header,observationAbout,,,,,,
Cross River,observationAbout,dcid:wikidataId/Q739676,#header,observationAbout,,,,,,
Delta,observationAbout,dcid:wikidataId/Q503910,#header,observationAbout,,,,,,
Ebonyi,observationAbout,dcid:wikidataId/Q506808,#header,observationAbout,,,,,,
Edo,observationAbout,dcid:wikidataId/Q682704,#header,observationAbout,,,,,,
Ekiti,observationAbout,dcid:wikidataId/Q534917,#header,observationAbout,,,,,,
Enugu,observationAbout,dcid:wikidataId/Q3817714,#header,observationAbout,,,,,,
Gombe,observationAbout,dcid:wikidataId/Q376241,#header,observationAbout,,,,,,
Imo,observationAbout,dcid:wikidataId/Q842939,#header,observationAbout,,,,,,
Jigawa,observationAbout,dcid:wikidataId/Q682691,#header,observationAbout,,,,,,
Kaduna,observationAbout,dcid:wikidataId/Q878284,#header,observationAbout,,,,,,
Kano,observationAbout,dcid:wikidataId/Q682571,#header,observationAbout,,,,,,
Katsina,observationAbout,dcid:wikidataId/Q657821,#header,observationAbout,,,,,,
Kebbi,observationAbout,dcid:wikidataId/Q748523,#header,observationAbout,,,,,,
Kogi,observationAbout,dcid:wikidataId/Q387745,#header,observationAbout,,,,,,
Kwara,observationAbout,dcid:wikidataId/Q464953,#header,observationAbout,,,,,,
Lagos,observationAbout,dcid:wikidataId/Q815913,#header,observationAbout,,,,,,
Nassarawa,observationAbout,dcid:wikidataId/Q836645,#header,observationAbout,,,,,,
Niger,observationAbout,dcid:wikidataId/Q503932,#header,observationAbout,,,,,,
Ogun,observationAbout,dcid:wikidataId/Q836657,#header,observationAbout,,,,,,
Ondo,observationAbout,dcid:wikidataId/Q836654,#header,observationAbout,,,,,,
Osun,observationAbout,dcid:wikidataId/Q682721,#header,observationAbout,,,,,,
Oyo,observationAbout,dcid:wikidataId/Q503905,#header,observationAbout,,,,,,
Plateau,observationAbout,dcid:wikidataId/Q503928,#header,observationAbout,,,,,,
Rivers,observationAbout,dcid:wikidataId/Q503923,#header,observationAbout,,,,,,
Sokoto,observationAbout,dcid:wikidataId/Q503941,#header,observationAbout,,,,,,
Taraba,observationAbout,dcid:wikidataId/Q463959,#header,observationAbout,,,,,,
Yobe,observationAbout,dcid:wikidataId/Q682777,#header,observationAbout,,,,,,
Zamfara,observationAbout,dcid:wikidataId/Q145793,#header,observationAbout,,,,,,
