place_name,dcid
AUS,country/AUS
AUT,country/AUT
CAN,country/CAN
COL,country/COL
DEU,country/DEU
DNK,country/DNK
FIN,country/FIN
FRA,country/FRA
GEO,country/GEO
GRC,country/GRC
IRL,country/IRL
ISL,country/ISL
LUX,country/LUX
NLD,country/NLD
TUR,country/TUR
ZAF,country/ZAF
BEL,country/BEL
BRA,country/BRA
CHE,country/CHE
ESP,country/ESP
HUN,country/HUN
ITA,country/ITA
KOR,country/KOR
LTU,country/LTU
MDA,country/MDA
MEX,country/MEX
POL,country/POL
SAU,country/SAU
SVK,country/SVK
CHL,country/CHL
CHN,country/CHN
CZE,country/CZE
EST,country/EST
GBR,country/GBR
ISR,country/ISR
LVA,country/LVA
NZL,country/NZL
PRT,country/PRT
SVN,country/SVN
SWE,country/SWE
JPN,country/JPN
NOR,country/NOR
PER,country/PER
USA,country/USA
ARG,country/ARG
CRI,country/CRI
ARM,country/ARM
IND,country/IND
BLR,country/BLR
AZE,country/AZE
UKR,country/UKR
ROU,country/ROU
BGR,country/BGR
HRV,country/HRV
