Year,ADM0_ES,ADM0_PCODE,ADM1_ES,ADM1_PCODE,ADM2_ES,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85Plus
2024,Mexico,MX,Aguascalientes,MX01,Aguascalientes,MX01001,521032,496011,1017043,38104,40345,42810,43317,44502,43767,41812,37471,34058,32711,30759,26343,21472,15934,11182,7740,4719,3986,39476,41779,44518,45252,46294,45164,41334,34870,29087,26893,26049,22933,18471,13428,8790,5758,3320,2595,77580,82124,87328,88569,90796,88931,83146,72341,63145,59604,56808,49276,39943,29362,19972,13498,8039,6581
2024,Mexico,MX,Aguascalientes,MX01,Asientos,MX01002,28377,28307,56684,2852,2682,2902,2685,2502,2395,2239,1935,1657,1470,1294,1048,794,614,462,345,276,225,2915,2942,2936,2826,2593,2315,2201,1892,1520,1322,1178,942,734,577,477,389,280,268,5767,5624,5838,5511,5095,4710,4440,3827,3177,2792,2472,1990,1528,1191,939,734,556,493
