0,ADM0_PCODE,ADM1_EN,ADM1_PCODE,Year,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus
Mexico,MX,Aguascalientes,MX01,2021,737536,715916,1453452,60598,63167,65084,65954,64338,62084,57693,52728,48753,45600,39787,33057,26108,52585,62762,66225,67859,68370,66603,64181,57282,48832,42777,39808,34865,29195,23434,43723,123360,129392,132943,134324,130941,126265,114975,101560,91530,85408,74652,62252,49542,96308
Mexico,MX,Baja California,MX02,2021,1847583,1842577,3690160,145588,151558,151687,153727,155689,157696,150962,139303,129008,120545,104496,86078,68339,132907,150782,153592,154476,159431,162937,164709,153037,135740,123037,117548,104552,86003,65508,111225,296370,305150,306163,313158,318626,322405,303999,275043,252045,238093,209048,172081,133847,244132
