observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q391149,2021,496496,dcid:Count_Person_Female,,
dcid:wikidataId/Q391149,2021,478033,dcid:Count_Person_Male,,
dcid:wikidataId/Q391149,2021,974529,dcid:Count_Person,,
dcid:wikidataId/Q391149,2021,37725,dcid:Count_Person_0To4Years_Female,,
dcid:wikidataId/Q391149,2021,39675,dcid:Count_Person_5To9Years_Female,,
dcid:wikidataId/Q391149,2021,41666,dcid:Count_Person_10To14Years_Female,,
dcid:wikidataId/Q391149,2021,43033,dcid:Count_Person_15To19Years_Female,,
dcid:wikidataId/Q391149,2021,42684,dcid:Count_Person_20To24Years_Female,,
dcid:wikidataId/Q391149,2021,41343,dcid:Count_Person_25To29Years_Female,,
dcid:wikidataId/Q391149,2021,38463,dcid:Count_Person_30To34Years_Female,,
dcid:wikidataId/Q391149,2021,35908,dcid:Count_Person_35To39Years_Female,,
dcid:wikidataId/Q391149,2021,34340,dcid:Count_Person_40To44Years_Female,,
dcid:wikidataId/Q391149,2021,32892,dcid:Count_Person_45To49Years_Female,,
dcid:wikidataId/Q391149,2021,29034,dcid:Count_Person_50To54Years_Female,,
dcid:wikidataId/Q391149,2021,24207,dcid:Count_Person_55To59Years_Female,,
dcid:wikidataId/Q391149,2021,18870,dcid:Count_Person_60To64Years_Female,,
dcid:wikidataId/Q391149,2021,36656,dcid:Count_Person_65OrMoreYears_Female,,
dcid:wikidataId/Q391149,2021,39105,dcid:Count_Person_0To4Years_Male,,
dcid:wikidataId/Q391149,2021,41537,dcid:Count_Person_5To9Years_Male,,
dcid:wikidataId/Q391149,2021,43148,dcid:Count_Person_10To14Years_Male,,
dcid:wikidataId/Q391149,2021,44810,dcid:Count_Person_15To19Years_Male,,
dcid:wikidataId/Q391149,2021,45033,dcid:Count_Person_20To24Years_Male,,
dcid:wikidataId/Q391149,2021,43793,dcid:Count_Person_25To29Years_Male,,
dcid:wikidataId/Q391149,2021,38565,dcid:Count_Person_30To34Years_Male,,
