ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Year,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus
Mexico,MX,Aguascalientes,MX01,Aguascalientes,MX01001,2021,496496,478033,974529,37725,39675,41666,43033,42684,41343,38463,35908,34340,32892,29034,24207,18870,36656,39105,41537,43148,44810,45033,43793,38565,32878,29460,28156,25112,21136,16768,28532,76830,81212,84814,87843,87717,85136,77028,68786,63800,61048,54146,45343,35638,65188
Mexico,MX,Aguascalientes,MX01,Asientos,MX01002,2021,25810,25573,51383,2484,2529,2542,2508,2374,2230,1959,1638,1445,1339,1133,926,772,1931,2503,2652,2698,2607,2375,2150,1871,1585,1374,1252,1051,857,709,1889,4987,5181,5240,5115,4749,4380,3830,3223,2819,2591,2184,1783,1481,3820
