Year,ADM0_ES,ADM0_PCODE,ADM1_ES,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85Plus
2024,Mexico,MX,Aguascalientes,MX01,780169,750016,1530185,62205,64743,67671,67253,67799,66283,62962,56112,50361,46850,42755,35949,28960,21667,15212,10749,6807,5831,64525,67278,70372,69405,68942,66722,62342,53068,43641,39405,36894,31562,25456,18807,12888,8870,5415,4424,126730,132021,138043,136658,136741,133005,125304,109180,94002,86255,79649,67511,54416,40474,28100,19619,12222,10255
2024,Mexico,MX,Baja California,MX02,2005415,2066457,4071872,134733,144369,157153,164202,173024,176933,173698,156935,141859,132739,120590,99095,77669,56987,39114,26811,16497,13007,140888,151171,165116,173533,184350,191372,188127,164445,138394,128540,122564,103194,78801,54427,35107,22910,13421,10097,275621,295540,322269,337735,357374,368305,361825,321380,280253,261279,243154,202289,156470,111414,74221,49721,29918,23104
