observationDate,observationAbout,value,variableMeasured
2015,wikidataId/Q108025,3024,dcid:Count_Person_0To9Years_Female
2016,wikidataId/Q108025,3042,dcid:Count_Person_0To9Years_Female
2017,wikidataId/Q108025,3054,dcid:Count_Person_0To9Years_Female
2018,wikidataId/Q108025,3037,dcid:Count_Person_0To9Years_Female
2019,wikidataId/Q108025,3009,dcid:Count_Person_0To9Years_Female
2020,wikidataId/Q108025,2999,dcid:Count_Person_0To9Years_Female
2021,wikidataId/Q108025,2986,dcid:Count_Person_0To9Years_Female
2022,wikidataId/Q108025,2968,dcid:Count_Person_0To9Years_Female
2023,wikidataId/Q108025,2989,dcid:Count_Person_0To9Years_Female
2024,wikidataId/Q108025,3016,dcid:Count_Person_0To9Years_Female
2025,wikidataId/Q108025,3004,dcid:Count_Person_0To9Years_Female
1986,wikidataId/Q108025,3555,dcid:Count_Person_10To19Years_Female
1987,wikidataId/Q108025,3504,dcid:Count_Person_10To19Years_Female
1988,wikidataId/Q108025,3370,dcid:Count_Person_10To19Years_Female
1989,wikidataId/Q108025,3296,dcid:Count_Person_10To19Years_Female
1990,wikidataId/Q108025,3173,dcid:Count_Person_10To19Years_Female
1991,wikidataId/Q108025,3108,dcid:Count_Person_10To19Years_Female
1992,wikidataId/Q108025,3037,dcid:Count_Person_10To19Years_Female
1993,wikidataId/Q108025,2913,dcid:Count_Person_10To19Years_Female
1994,wikidataId/Q108025,2846,dcid:Count_Person_10To19Years_Female
1995,wikidataId/Q108025,2732,dcid:Count_Person_10To19Years_Female
1996,wikidataId/Q108025,2690,dcid:Count_Person_10To19Years_Female
1997,wikidataId/Q108025,2652,dcid:Count_Person_10To19Years_Female
1998,wikidataId/Q108025,2663,dcid:Count_Person_10To19Years_Female
1999,wikidataId/Q108025,2660,dcid:Count_Person_10To19Years_Female
2000,wikidataId/Q108025,2681,dcid:Count_Person_10To19Years_Female
2001,wikidataId/Q108025,2721,dcid:Count_Person_10To19Years_Female
2002,wikidataId/Q108025,2795,dcid:Count_Person_10To19Years_Female
2003,wikidataId/Q108025,2894,dcid:Count_Person_10To19Years_Female
2004,wikidataId/Q108025,2930,dcid:Count_Person_10To19Years_Female
2005,wikidataId/Q108025,2961,dcid:Count_Person_10To19Years_Female
2006,wikidataId/Q108025,3034,dcid:Count_Person_10To19Years_Female
2007,wikidataId/Q108025,3099,dcid:Count_Person_10To19Years_Female
2008,wikidataId/Q108025,3155,dcid:Count_Person_10To19Years_Female
2009,wikidataId/Q108025,3222,dcid:Count_Person_10To19Years_Female
