observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:country/IRL,1981,2399676,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,1986,2515942,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,1991,2585145,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,1996,2766663,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,2002,3089775,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,2006,3375399,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,2011,3608662,dcid:Count_Person_15OrMoreYears,,
dcid:country/IRL,2016,3755313,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,1981,26903,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,1986,28246,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,1991,29332,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,1996,31332,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,2002,35951,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,2006,39779,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,2011,42463,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q181882,2016,44321,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,1981,709813,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,1986,745533,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,1991,773047,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,1996,825570,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,2002,907629,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,2006,969524,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,2011,1027817,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q1761,2016,1087406,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,1981,400186,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,1986,392865,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,1991,383506,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,1996,393823,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,2002,415609,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,2006,430357,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,2011,447583,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q4169280,2016,471341,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,1986,135357,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,1991,143762,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,1996,150382,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,2002,155035,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,2006,158794,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,2011,168726,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q538417,2016,214679,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,1986,90025,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,1991,104696,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,1996,121931,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,2002,151821,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,2006,187018,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,2011,207584,dcid:Count_Person_15OrMoreYears,,
dcid:wikidataId/Q520000,2016,223407,dcid:Count_Person_15OrMoreYears,,
