STATISTIC,Statistic Label,TLIST(A1),CensusYear,C02199V02655,Sex,C04104V04868,County and City,UNIT,VALUE
FY003BC01,Population,2006,2006,-,Both sexes,IE0,State,Number,4239848
FY003BC01,Population,2006,2006,-,Both sexes,2ae19629-1492-13a3-e055-000000000001,Carlow,Number,50349
FY003BC01,Population,2006,2006,-,Both sexes,2ae19629-1433-13a3-e055-000000000001,Dublin City,Number,506211
FY003BC01,Population,2006,2006,-,Both sexes,2ae19629-149f-13a3-e055-000000000001,Dún Laoghaire-Rathdown,Number,194038
FY003BC01,Population,2006,2006,-,Both sexes,2ae19629-14a0-13a3-e055-000000000001,Fingal,Number,239992
FY003BC01,Population,2006,2006,1,Male,2ae19629-1433-13a3-e055-000000000001,Dublin City,Number,248087
FY003BC01,Population,2006,2006,1,Male,2ae19629-149f-13a3-e055-000000000001,Dún Laoghaire-Rathdown,Number,92899
FY003BC01,Population,2006,2006,1,Male,2ae19629-14a0-13a3-e055-000000000001,Fingal,Number,119200
FY003BC01,Population,2006,2006,1,Male,2ae19629-14a1-13a3-e055-000000000001,South Dublin,Number,122371
FY003BC01,Population,2006,2006,2,Female,2ae19629-14a0-13a3-e055-000000000001,Fingal,Number,120792
