observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:country/IRL,1841,6528799,dcid:Count_Person,,
dcid:country/IRL,1841,3222485,dcid:Count_Person_Male,,
dcid:country/IRL,1841,3306314,dcid:Count_Person_Female,,
dcid:wikidataId/Q181882,1841,86228,dcid:Count_Person,,
dcid:wikidataId/Q181882,1841,42428,dcid:Count_Person_Male,,
dcid:wikidataId/Q181882,1841,43800,dcid:Count_Person_Female,,
dcid:wikidataId/Q1761,1841,372773,dcid:Count_Person,,
dcid:wikidataId/Q1761,1841,170930,dcid:Count_Person_Male,,
dcid:wikidataId/Q1761,1841,201843,dcid:Count_Person_Female,,
dcid:wikidataId/Q173332,1841,114488,dcid:Count_Person,,
dcid:wikidataId/Q173332,1841,58030,dcid:Count_Person_Male,,
dcid:wikidataId/Q173332,1841,56458,dcid:Count_Person_Female,,
dcid:wikidataId/Q180231,1841,202420,dcid:Count_Person,,
dcid:wikidataId/Q180231,1841,99114,dcid:Count_Person_Male,,
dcid:wikidataId/Q180231,1841,103306,dcid:Count_Person_Female,,
dcid:wikidataId/Q55299,1841,153930,dcid:Count_Person,,
dcid:wikidataId/Q55299,1841,76403,dcid:Count_Person_Male,,
dcid:wikidataId/Q55299,1841,77527,dcid:Count_Person_Female,,
dcid:wikidataId/Q186220,1841,115491,dcid:Count_Person,,
dcid:wikidataId/Q186220,1841,57610,dcid:Count_Person_Male,,
dcid:wikidataId/Q186220,1841,57881,dcid:Count_Person_Female,,
dcid:wikidataId/Q183539,1841,128240,dcid:Count_Person,,
dcid:wikidataId/Q183539,1841,62297,dcid:Count_Person_Male,,
dcid:wikidataId/Q183539,1841,65943,dcid:Count_Person_Female,,
dcid:wikidataId/Q183544,1841,183828,dcid:Count_Person,,
dcid:wikidataId/Q183544,1841,92494,dcid:Count_Person_Male,,
dcid:wikidataId/Q183544,1841,91334,dcid:Count_Person_Female,,
dcid:wikidataId/Q184445,1841,146857,dcid:Count_Person,,
dcid:wikidataId/Q184445,1841,72651,dcid:Count_Person_Male,,
dcid:wikidataId/Q184445,1841,74206,dcid:Count_Person_Female,,
dcid:wikidataId/Q182633,1841,141300,dcid:Count_Person,,
dcid:wikidataId/Q182633,1841,70383,dcid:Count_Person_Male,,
dcid:wikidataId/Q182633,1841,70917,dcid:Count_Person_Female,,
dcid:wikidataId/Q184599,1841,202033,dcid:Count_Person,,
