observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:wikidataId/Q183544,1891,71690,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q183544,1891,4815,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q183544,1891,367,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q183544,1891,69,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q183544,1891,3,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q183544,1891,43,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q183544,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q183544,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q184445,1891,58264,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q184445,1891,6432,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q184445,1891,291,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q184445,1891,463,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q184445,1891,6,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q184445,1891,107,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q184445,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q184445,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q182633,1891,60049,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q182633,1891,4482,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q182633,1891,283,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q182633,1891,207,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q182633,1891,1,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q182633,1891,87,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q182633,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q182633,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q184599,1891,102180,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q184599,1891,8779,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q184599,1891,250,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q184599,1891,369,dcid:Count_Person_WesleyanMethodist,,
dcid:wikidataId/Q184599,1891,2,dcid:Count_Person_Judaism,,
dcid:wikidataId/Q184599,1891,198,dcid:Count_Person_IrelandOtherStatedReligion,,
dcid:wikidataId/Q184599,1891,0,dcid:Count_Person_Irreligion,,
dcid:wikidataId/Q184599,1891,0,dcid:indianCensus/Count_Person_Religion_ReligionNotStated,,
dcid:wikidataId/Q182591,1891,49250,dcid:Count_Person_RomanCatholicism,,
dcid:wikidataId/Q182591,1891,11598,dcid:Count_Person_ChurchOfIrelandIncludingProtestant,,
dcid:wikidataId/Q182591,1891,429,dcid:Count_Person_Presbyterian,,
dcid:wikidataId/Q182591,1891,642,dcid:Count_Person_WesleyanMethodist,,
