STATISTIC,Statistic Label,TLIST(A1),Census Year,C02779V03348,County,C02712V03280,Religion,UNIT,VALUE
FY031C01,Population,1891,1891,-,State,1,Roman Catholic,Number,3099003
FY031C01,Population,1891,1891,1,Carlow,3,Church of Ireland (incl. Protestant),Number,4454
FY031C01,Population,1891,1891,2,Dublin,9,Presbyterian,Number,7724
FY031C01,Population,1891,1891,4,Kilkenny,3,Church of Ireland (incl. Protestant),Number,4144
FY031C01,Population,1891,1891,5,Laois,35,No religion,Number,0
