district,districtLabel,districtDescription,state,stateLabel,stateDescription,census2011Code
http://www.wikidata.org/entity/Q768332,Sindhudurg district,"district in Maharashtra , India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,529
http://www.wikidata.org/entity/Q1912057,Baramulla district,"district of Jammu and Kashmir, India",http://www.wikidata.org/entity/Q66278313,Jammu and Kashmir,union territory administered by India,008
http://www.wikidata.org/entity/Q1143894,Mirzapur district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,199
http://www.wikidata.org/entity/Q1265687,Dungarpur district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,124
http://www.wikidata.org/entity/Q1117086,Samba district,"district of Jammu and Kashmir, India",http://www.wikidata.org/entity/Q66278313,Jammu and Kashmir,union territory administered by India,022
http://www.wikidata.org/entity/Q1207709,Dholpur district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,106
http://www.wikidata.org/entity/Q1553185,Kodagu district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,576
http://www.wikidata.org/entity/Q1287993,Ghazipur district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,195
http://www.wikidata.org/entity/Q1815262,Budaun district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,149
http://www.wikidata.org/entity/Q767878,Sahebganj district,"district of Jharkhand, India",http://www.wikidata.org/entity/Q1184,Jharkhand,Indian state,352
http://www.wikidata.org/entity/Q1815773,Hisar District,"district of Haryana, India",http://www.wikidata.org/entity/Q1174,Haryana,state of India,080
http://www.wikidata.org/entity/Q1351487,Jalpaiguri district,"district of West Bengal, India",http://www.wikidata.org/entity/Q1356,West Bengal,Indian state,328
http://www.wikidata.org/entity/Q1419708,Jaisalmer district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,114
http://www.wikidata.org/entity/Q1814132,Ayodhya district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,177
http://www.wikidata.org/entity/Q1134781,Jaipur district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,110
http://www.wikidata.org/entity/Q984035,Puducherry district,"district in Puducherry, India",http://www.wikidata.org/entity/Q66743,Puducherry,Union Territory of India,635
http://www.wikidata.org/entity/Q1898143,Panchkula district,"district of Haryana, India",http://www.wikidata.org/entity/Q1174,Haryana,state of India,069
http://www.wikidata.org/entity/Q1301635,Tumakuru district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,571
http://www.wikidata.org/entity/Q1357107,Tehri Garhwal district,"district of Uttarakhand, India",http://www.wikidata.org/entity/Q1499,Uttarakhand,Indian state,059
http://www.wikidata.org/entity/Q1833306,Rajgarh district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,442
http://www.wikidata.org/entity/Q1471417,Jhalawar district,"district of Rajasthan, India",http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,129
http://www.wikidata.org/entity/Q971581,Jagatsinghpur district,"district of Odisha, India",http://www.wikidata.org/entity/Q22048,Odisha,state of India,380
http://www.wikidata.org/entity/Q1815766,Gurugram district,"district of Haryana, India",http://www.wikidata.org/entity/Q1174,Haryana,state of India,086
