district,districtLabel,districtDescription,state,stateLabel,stateDescription,census2011Code
http://www.wikidata.org/entity/Q172488,Bathinda district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,046
http://www.wikidata.org/entity/Q77731,Muzaffarpur district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,216
http://www.wikidata.org/entity/Q627979,Kannauj district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,160
http://www.wikidata.org/entity/Q172494,Faridkot district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,045
http://www.wikidata.org/entity/Q172482,Ludhiana district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,041
http://www.wikidata.org/entity/Q533839,Dakshin Dinajpur district,"district of West Bengal, India",http://www.wikidata.org/entity/Q1356,West Bengal,Indian state,331
http://www.wikidata.org/entity/Q485683,Anand district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,482
http://www.wikidata.org/entity/Q590882,Phek district,"district of Nagaland, India",http://www.wikidata.org/entity/Q1599,Nagaland,State in northeastern India,266
http://www.wikidata.org/entity/Q591781,Mysore district,"district in Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,577
http://www.wikidata.org/entity/Q930027,Guna district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,458
http://www.wikidata.org/entity/Q100117,Samastipur district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,221
http://www.wikidata.org/entity/Q108244,South Goa District,"district of Goa, India",http://www.wikidata.org/entity/Q1171,Goa,state on the western coast of India,586
http://www.wikidata.org/entity/Q83486,Shahdara district,"district of East Delhi, India",http://www.wikidata.org/entity/Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,
http://www.wikidata.org/entity/Q202822,Amritsar district,district in the state of Punjab in North India,http://www.wikidata.org/entity/Q22424,Punjab,Indian state,049
http://www.wikidata.org/entity/Q100157,Bilaspur district,"district of Chhattisgarh, India",http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,406
http://www.wikidata.org/entity/Q526101,Sirsa District,"district in Haryana, India",http://www.wikidata.org/entity/Q1174,Haryana,state of India,079
http://www.wikidata.org/entity/Q307474,Purulia district,"District of West Bengal, India",http://www.wikidata.org/entity/Q1356,West Bengal,Indian state,340
http://www.wikidata.org/entity/Q715267,Basti district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,185
http://www.wikidata.org/entity/Q108234,North Goa District,"district of Goa, India",http://www.wikidata.org/entity/Q1171,Goa,state on the western coast of India,585
http://www.wikidata.org/entity/Q526862,Rewa District,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,430
http://www.wikidata.org/entity/Q607798,Sonebhadra district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,200
http://www.wikidata.org/entity/Q639264,Karaikal district,"district of Puducherry, India",http://www.wikidata.org/entity/Q66743,Puducherry,Union Territory of India,637
http://www.wikidata.org/entity/Q746441,Katni district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,450
http://www.wikidata.org/entity/Q427679,Ramanagara district,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,584
http://www.wikidata.org/entity/Q456764,Ambedkar Nagar district,"district in Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,178
http://www.wikidata.org/entity/Q77505,Lakhisarai district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,227
http://www.wikidata.org/entity/Q685638,Bhadrak district,"district of Odisha, India",http://www.wikidata.org/entity/Q22048,Odisha,state of India,378
http://www.wikidata.org/entity/Q196508,Rupnagar district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,051
http://www.wikidata.org/entity/Q578285,Vadodara district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,486
http://www.wikidata.org/entity/Q620801,Hoshangabad district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,449
http://www.wikidata.org/entity/Q188702,Fazilka district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,
http://www.wikidata.org/entity/Q516294,Peren district,"district of Nagaland, India",http://www.wikidata.org/entity/Q1599,Nagaland,State in northeastern India,271
http://www.wikidata.org/entity/Q100182,Durg district,"district of Chhattisgarh, India",http://www.wikidata.org/entity/Q1168,Chhattisgarh,Indian state,409
http://www.wikidata.org/entity/Q610612,Kanpur Dehat district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,163
http://www.wikidata.org/entity/Q549807,West Delhi district,"district of Delhi, India",http://www.wikidata.org/entity/Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,096
http://www.wikidata.org/entity/Q890800,Kasganj district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,202
http://www.wikidata.org/entity/Q692389,Nanded district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,511
http://www.wikidata.org/entity/Q100093,Sheikhpura district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,228
http://www.wikidata.org/entity/Q100067,Nawada district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,237
http://www.wikidata.org/entity/Q257946,Amreli district,"district of Gujarat, India",http://www.wikidata.org/entity/Q1061,Gujarat,state of India,480
http://www.wikidata.org/entity/Q614037,Kaithal district,"district of Haryana, India",http://www.wikidata.org/entity/Q1174,Haryana,state of India,073
http://www.wikidata.org/entity/Q127533,Bhadohi district,"district of Uttar Pradesh, India",http://www.wikidata.org/entity/Q1498,Uttar Pradesh,Indian state,198
http://www.wikidata.org/entity/Q620297,Umaria district,"district of Madhya Pradesh, India",http://www.wikidata.org/entity/Q1188,Madhya Pradesh,Indian state,431
http://www.wikidata.org/entity/Q213077,Warangal Urban District,"district of Telangana, India",http://www.wikidata.org/entity/Q677037,Telangana,state in India,
http://www.wikidata.org/entity/Q429329,North East Delhi district,"district of Delhi, India",http://www.wikidata.org/entity/Q1353,Delhi,Indian metropolis and union territory that includes New Delhi,092
http://www.wikidata.org/entity/Q634935,Pathanamthitta district,"district of Kerala, India",http://www.wikidata.org/entity/Q1186,Kerala,Indian state,599
http://www.wikidata.org/entity/Q654331,Sirmaur district,"district of Himachal Pradesh, India",http://www.wikidata.org/entity/Q1177,Himachal Pradesh,Indian state,032
http://www.wikidata.org/entity/Q401744,Ahmednagar district,"district of Maharashtra, India",http://www.wikidata.org/entity/Q1191,Maharashtra,Indian state,522
http://www.wikidata.org/entity/Q100146,Saran district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,219
http://www.wikidata.org/entity/Q205719,Sirohi district,district in Rajasthan,http://www.wikidata.org/entity/Q1437,Rajasthan,A state in India,117
http://www.wikidata.org/entity/Q100120,Saharsa district,"district of Bihar, India",http://www.wikidata.org/entity/Q1165,Bihar,Indian state,214
http://www.wikidata.org/entity/Q953530,Kohima district,"district of Nagaland, India",http://www.wikidata.org/entity/Q1599,Nagaland,State in northeastern India,270
http://www.wikidata.org/entity/Q681821,Wokha district,district of Nagaland,http://www.wikidata.org/entity/Q1599,Nagaland,State in northeastern India,264
http://www.wikidata.org/entity/Q579205,Uttara Kannada District,"district of Karnataka, India",http://www.wikidata.org/entity/Q1185,Karnataka,Indian state,563
http://www.wikidata.org/entity/Q172391,Patiala district,"district of Punjab, India",http://www.wikidata.org/entity/Q22424,Punjab,Indian state,048
