"ScalingFactors","Units","observationPeriods","MeasurementMethods","MinDate","NumPlaces","StatVar"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_Years5To14_ConditionNonNeuroinvasiveDiseaseOrStLouisEncephalitis"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionVancomycinResistantStaphylococcusAureus_OtherRace"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionRubella_OtherRace"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_GenderUnknown_NotStated_ConditionAcuteCondition_QFever"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_Male_ConditionInfantBotulism"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_Male_ConditionFoodborneBotulism"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_40To64Years_ConditionCryptosporidiosis_ConfirmedCase"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_15To24Years_ConditionGonorrhea"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionEhrlichiaEwingiiInfection_Black_AfricanAmericanAlone"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_5_LessYears_ConditionInvasiveDisease_HaemophilusInfluenzae_WhiteAlone_SerotypeB"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_GenderUnknown_NotStated_ConditionTularemia"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionShigellosis_AmericanIndianAndAlaskaNativeAlone"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionLymeDisease_ConfirmedCase_OtherRace"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionNonNeuroinvasiveDiseaseOrJamestownCanyonVirusDisease_OtherRace"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_EthnicityUnknown_NotStated_ConditionChickenpox"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_Years40To64_ConditionCandidaAuris_Screening"
"[]","[]","[P1Y]","[CDC_NNDSS_Diseases_AnnualTables]","2016","1","Count_MedicalConditionIncident_ConditionMeningococcalMeningitis_AmericanIndianAndAlaskaNativeAlone"
