statvar,dcid
Amount_EconomicActivity_NAICSAccountingTaxPreparationBookkeepingAndPayrollServicesArchitecturalEngineeringAndRelatedServicesSpecializedDesignServicesManagementScientificAndTechnicalConsultingServicesScientificResearchAndDevelopmentServicesAdvertisingPublicRelationsAndRelatedServicesOtherProfessionalScientificAndTechnicalServices,Amount_EconomicActivity_NAICSMiscellaneousProfessionalScientificAndTechnicalServices
Amount_EconomicActivity_NAICSWoodProductManufacturingPaperManufacturingPrintingAndRelatedSupportActivitiesPetroleumAndCoalProductsManufacturingChemicalManufacturingPlasticsAndRubberProductsManufacturingNonmetallicMineralProductManufacturingMiscellaneousManufacturing,Amount_EconomicActivity_NAICSMixedNondurableManufacturing
