"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Saskatchewan","2016A000247","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792901","11.3","36.7","","","","1"
"1981-01","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","13.2","","","","1"
"1981-01","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.2","","","","1"
"1981-01","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-01","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","33.4","","","","1"
"1981-02","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.3","","","","1"
"1981-02","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.1","","","","1"
"1981-02","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.1","","","","1"
"1981-02","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","38.2","","","","1"
"1981-02","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","45.5","","","","1"
"1981-02","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","44.3","","","","1"
"1981-02","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","46.5","","","","1"
"1981-02","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","54.0","","","","1"
"1981-02","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-02","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-02","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","40.6","","","","1"
"1981-02","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","50.0","","","","1"
"1981-02","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-02","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
"1981-02","Ontario","2016A000235","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792891","8.2","30.6","","","","1"
"1981-02","Ontario","2016A000235","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792892","8.3","27.3","","","","1"
"1981-02","Prairie Region","2016A00014","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792894","9.2","21.7","","","","1"
"1981-02","Prairie Region","2016A00014","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792895","9.3","28.0","","","","1"
"1981-02","Manitoba","2016A000246","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792897","10.2","42.9","","","","1"
"1981-02","Manitoba","2016A000246","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792898","10.3","45.0","","","","1"
"1981-02","Saskatchewan","2016A000247","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792900","11.2","31.8","","","","1"
"1981-02","Saskatchewan","2016A000247","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792901","11.3","39.1","","","","1"
"1981-02","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","13.2","","","","1"
"1981-02","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.2","","","","1"
"1981-02","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-02","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-03","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.3","","","","1"
"1981-03","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.1","","","","1"
"1981-03","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.1","","","","1"
"1981-03","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","38.4","","","","1"
"1981-03","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","45.5","","","","1"
"1981-03","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","45.2","","","","1"
"1981-03","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","47.1","","","","1"
"1981-03","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","54.2","","","","1"
"1981-03","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-03","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-03","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","40.6","","","","1"
"1981-03","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","50.0","","","","1"
"1981-03","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-03","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
"1981-03","Ontario","2016A000235","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792891","8.2","30.6","","","","1"
"1981-03","Ontario","2016A000235","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792892","8.3","27.3","","","","1"
"1981-03","Prairie Region","2016A00014","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792894","9.2","21.7","","","","1"
"1981-03","Prairie Region","2016A00014","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792895","9.3","28.0","","","","1"
"1981-03","Manitoba","2016A000246","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792897","10.2","42.9","","","","1"
"1981-03","Manitoba","2016A000246","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792898","10.3","45.0","","","","1"
"1981-03","Saskatchewan","2016A000247","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792900","11.2","31.8","","","","1"
"1981-03","Saskatchewan","2016A000247","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792901","11.3","39.1","","","","1"
"1981-03","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","13.2","","","","1"
"1981-03","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.2","","","","1"
"1981-03","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-03","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-04","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.2","","","","1"
"1981-04","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.0","","","","1"
"1981-04","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.1","","","","1"
"1981-04","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","38.3","","","","1"
"1981-04","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","45.1","","","","1"
"1981-04","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","44.6","","","","1"
"1981-04","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","47.9","","","","1"
"1981-04","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","48.5","","","","1"
"1981-04","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-04","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-04","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","40.6","","","","1"
"1981-04","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","50.0","","","","1"
"1981-04","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-04","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
"1981-04","Ontario","2016A000235","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792891","8.2","30.6","","","","1"
"1981-04","Ontario","2016A000235","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792892","8.3","27.3","","","","1"
"1981-04","Prairie Region","2016A00014","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792894","9.2","21.1","","","","1"
"1981-04","Prairie Region","2016A00014","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792895","9.3","28.1","","","","1"
"1981-04","Manitoba","2016A000246","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792897","10.2","42.9","","","","1"
"1981-04","Manitoba","2016A000246","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792898","10.3","45.0","","","","1"
"1981-04","Saskatchewan","2016A000247","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792900","11.2","31.8","","","","1"
"1981-04","Saskatchewan","2016A000247","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792901","11.3","39.1","","","","1"
"1981-04","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","12.2","","","","1"
"1981-04","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.4","","","","1"
"1981-04","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-04","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-05","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.4","","","","1"
"1981-05","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.2","","","","1"
"1981-05","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.3","","","","1"
"1981-05","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","40.5","","","","1"
"1981-05","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","49.7","","","","1"
"1981-05","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","44.0","","","","1"
"1981-05","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","46.6","","","","1"
"1981-05","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","57.2","","","","1"
"1981-05","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-05","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-05","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","44.9","","","","1"
"1981-05","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","55.3","","","","1"
"1981-05","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-05","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
"1981-05","Ontario","2016A000235","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792891","8.2","30.6","","","","1"
"1981-05","Ontario","2016A000235","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792892","8.3","27.3","","","","1"
"1981-05","Prairie Region","2016A00014","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792894","9.2","21.1","","","","1"
"1981-05","Prairie Region","2016A00014","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792895","9.3","28.1","","","","1"
"1981-05","Manitoba","2016A000246","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792897","10.2","42.9","","","","1"
"1981-05","Manitoba","2016A000246","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792898","10.3","45.0","","","","1"
"1981-05","Saskatchewan","2016A000247","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792900","11.2","31.8","","","","1"
"1981-05","Saskatchewan","2016A000247","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792901","11.3","39.1","","","","1"
"1981-05","Alberta","2016A000248","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792903","12.2","12.2","","","","1"
"1981-05","Alberta","2016A000248","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792904","12.3","25.4","","","","1"
"1981-05","British Columbia","2016A000259","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792906","13.2","29.0","","","","1"
"1981-05","British Columbia","2016A000259","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792907","13.3","34.2","","","","1"
"1981-06","Canada","2016A000011124","Electric power selling price indexes, national total","Index, 2014=100","351","units ","0","v107792869","1.1","31.4","","","","1"
"1981-06","Canada","2016A000011124","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792870","1.2","31.2","","","","1"
"1981-06","Canada","2016A000011124","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792871","1.3","31.3","","","","1"
"1981-06","Atlantic Region","2016A00011","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792873","2.2","40.5","","","","1"
"1981-06","Atlantic Region","2016A00011","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792874","2.3","49.4","","","","1"
"1981-06","Newfoundland and Labrador","2016A000210","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792876","3.2","44.1","","","","1"
"1981-06","Newfoundland and Labrador","2016A000210","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792877","3.3","46.3","","","","1"
"1981-06","Prince Edward Island","2016A000211","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792880","4.3","54.0","","","","1"
"1981-06","Nova Scotia","2016A000212","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792882","5.2","37.1","","","","1"
"1981-06","Nova Scotia","2016A000212","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792883","5.3","48.1","","","","1"
"1981-06","New Brunswick","2016A000213","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792885","6.2","44.9","","","","1"
"1981-06","New Brunswick","2016A000213","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792886","6.3","55.3","","","","1"
"1981-06","Quebec","2016A000224","Electric power selling price over 5000kw","Index, 2014=100","351","units ","0","v107792888","7.2","37.0","","","","1"
"1981-06","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","42.5","","","","1"
