,PubChem ID,ChEMBL ID
431,,
432,44205240,CHEMBL2105759
433,,
434,,
435,,
436,,
437,20469,CHEMBL1586
438,5388906,CHEMBL376488
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,5362124,CHEMBL838
447,2315,CHEMBL1684
448,,
449,2327,CHEMBL1096979
450,2329,
451,517273,
452,,
453,,
454,,
455,241,CHEMBL277500
456,,
457,2337,CHEMBL278172
458,,
459,,
460,243,CHEMBL541
461,,
462,7699,CHEMBL1374379
463,,
464,7187,CHEMBL1200370
465,2341,
466,2342,CHEMBL1201250
467,2343,CHEMBL1201039
468,6832,CHEMBL558805
469,,
470,,
471,2345,CHEMBL1239
472,119212,
473,2350,
474,2351,CHEMBL1008
475,2353,CHEMBL295124
476,5460467,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,2366,CHEMBL24441
497,,
498,,
499,,
500,,
501,,
502,9782,CHEMBL632
503,2369,CHEMBL423
504,7741,CHEMBL1201323
505,2370,CHEMBL1482
506,6324770,
507,,
508,2372,CHEMBL314010
509,82146,CHEMBL1023
510,39042,CHEMBL264374
511,2375,CHEMBL409
512,2378,CHEMBL277535
513,,
514,,
515,,
516,,
517,5280352,CHEMBL501680
518,5311027,CHEMBL1200963
519,10288191,CHEMBL3187723
520,,
521,171548,CHEMBL857
522,2381,CHEMBL1101
523,3037617,CHEMBL350775
524,,
525,,
526,16682734,
527,2405,CHEMBL645
528,,
529,,
530,,
531,,
532,16129704,CHEMBL2103749
533,5360373,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,16132422,
544,10324367,CHEMBL218394
545,,
546,,
547,,
548,93860,CHEMBL1530
549,104865,CHEMBL957
550,,
551,,
552,,
553,,
554,2431,CHEMBL1199080
555,11978813,CHEMBL2105760
556,68165256,CHEMBL3545311
557,2435,CHEMBL844
558,68844,CHEMBL220491
559,,
560,9837243,CHEMBL607400
561,446727,CHEMBL31634
562,2441,CHEMBL277062
563,60726,CHEMBL1077
564,31101,CHEMBL493
565,2444,CHEMBL1201245
566,2448,CHEMBL28218
567,6834,CHEMBL811
568,6918408,CHEMBL1189025
569,2451,CHEMBL32479
570,,
571,,
572,656604,CHEMBL80830
573,51045,CHEMBL321582
574,6729,CHEMBL1201271
575,63006,
576,71733,CHEMBL296035
577,,
578,2471,CHEMBL1072
579,2474,CHEMBL1098
580,,
581,40400,
582,,
583,444,CHEMBL894
584,,
585,2477,CHEMBL49
586,2478,CHEMBL820
587,2479,CHEMBL449
588,2481,CHEMBL454
589,2484,CHEMBL990
590,6473,CHEMBL404422
591,47472,CHEMBL1295
592,5361092,CHEMBL33986
593,,
594,,
595,,
596,9854073,CHEMBL1201748
597,54746,CHEMBL1201087
598,,
599,2519,CHEMBL113
600,,
601,6433735,
602,,
603,5282134,
604,,
605,134070,CHEMBL3348945
606,271,
607,6116,CHEMBL1200800
608,,
609,,
610,,
611,5284359,CHEMBL1200668
612,,
613,,
614,62859,CHEMBL1237066
615,,
616,,
617,,
618,,
619,5284360,CHEMBL85164
620,24360,CHEMBL65
621,,
622,2541,CHEMBL1016
623,2540,CHEMBL1014
624,441142,
625,5362417,
626,,
627,9854012,CHEMBL334966
628,644019,CHEMBL190461
629,,
630,60953,CHEMBL1773
631,,
632,3000502,
633,,
634,,
635,,
636,44093,CHEMBL1560
637,2551,CHEMBL965
638,,
639,2554,CHEMBL108
640,,
641,,
642,,
643,46783786,CHEMBL3833325
644,20824,CHEMBL1214
645,71715,
646,34359,CHEMBL1201236
647,31072,CHEMBL508102
648,2564,CHEMBL864
649,193653,CHEMBL396416
650,,
651,,
652,280,CHEMBL1231871
653,,
654,38904,
655,5284525,CHEMBL1909299
656,,
657,,
658,,
659,,
660,,
661,11556711,CHEMBL451887
662,121396,CHEMBL1201780
663,,
664,11154555,
665,2576,CHEMBL1233
666,2578,CHEMBL513
667,18104,CHEMBL1201328
668,2581,CHEMBL1316
669,,
670,2583,CHEMBL839
671,2585,CHEMBL723
672,9917021,CHEMBL1672054
673,2826718,CHEMBL499808
674,,
675,,
676,,
677,56960912,CHEMBL3989910
678,,
679,91562,CHEMBL2110602
680,40958,CHEMBL8867
681,2610,CHEMBL1555813
682,6024,CHEMBL617
683,456255,CHEMBL1146
684,656510,
685,6915944,CHEMBL927
686,9571074,
687,5479537,CHEMBL186
688,54362,CHEMBL1620522
689,5361486,CHEMBL1876548
690,42008,CHEMBL1201195
691,43592,
692,44185,
693,43507,CHEMBL1201046
694,456256,CHEMBL1622795
695,50614,
696,43708,CHEMBL1296
697,441199,CHEMBL996
698,107654,
699,6335986,CHEMBL1672
700,5281006,CHEMBL276568
701,38103,CHEMBL1604
702,5481173,CHEMBL44354
703,5282242,CHEMBL1605
704,6533629,CHEMBL528
705,5479530,CHEMBL161
706,5361202,CHEMBL466
707,2662,CHEMBL118
708,,
709,,
710,,
711,,
712,,
713,27447,CHEMBL1727
