key,prop,val,p1,v1,Name1,"""""",Name2,"""""",#End,#value
TIME_PERIOD,observationDate,{Number},,,,,,,,
OBS_VALUE,value,{Number},name,"""{Name1} {Name2}""",,,,,,
ID_LOCATION,observationAbout,{Data},,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,
KN.E2,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool__UnmethodicalSchool,Name1,,Name1,Total Methodical Unmethodical and  Schools
KN.E3,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool,,,Name1,Total Methodical Schools
KN.E4,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,UnmethodicalSchool,,,Name1,Total Unmethodical Schools
KN.E5,#ignore,ignore,,,,,,,,
KN.E6,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool__UnmethodicalSchool,,,Name1,Total  Methodical  and UnMethodical Students
KN.E7,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool,,,Name1,Total Methodical Students
KN.E8,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,UnmethodicalSchool,,,Name1,Total Unmethodical Students
KN.E9,#ignore,ignore,,,,,,,,
KN.E10,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool__UnmethodicalSchool,educationalAttainment,Graduate,Name1,Total Graduates Methodical and UnMethodical Graduates
KN.E11,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,MethodicalSchool,educationalAttainment,Graduate,Name1,Total Methodical Graduates
KN.E12,populationType,Student,schoolType,VocationalTrainingCenters,schoolSpecialization,UnmethodicalSchool,educationalAttainment,Graduate,Name1,Total Unmethodical Graduates
KN.E13,#ignore,ignore,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KN.E16,populationType,School,schoolType,VocationalTrainingCenters,,,,,Name1,Number of Schools by Specialization
KN.E17,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,StatisticalTraining,,,Name1,Educational Institutions with Statistical Specializations
KN.E18,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,TechnicalTraining,,,Name1,Technical Training Programs Organized by Specialization
KN.E19,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Construction,,,Name1,Schools Offering Specialized Construction Training
KN.E20,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,AgriculturalGuidance,,,Name1,Agricultural Skills Training by Area of Specialization
KN.E21,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Transport,,,Name1,Specialized Transport and Communication Training
KN.E22,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Post,,,Name1,Schools Offering Specialized Postal Training
KN.E23,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Electricity,,,Name1,Schools Offering Specialized Training in Electrical and Mechanical Fields
KN.E24,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,ScientificEquipments,,,Name1,Schools Offering Specialized Training in Scientific Equipment
KN.E25,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Nursing,,,Name1,Nursing Skills Training by Area of Specialization
KN.E26,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,FilingMetal,,,Name1,Schools Offering Specialized Metal Filing Training
KN.E27,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Spinning,,,Name1,Specialized Spinning and Weaving Training
KN.E28,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Print,,,Name1,Institutions Providing Training in Specific Printing Fields
KN.E29,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Veterinary,,,Name1,Institutions Providing Training in Specific Veterinary Fields
KN.E30,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,Chemical,,,Name1,Chemical Skills Training by Area of Specialization
KN.E31,populationType,School,schoolType,VocationalTrainingCenters,schoolSpecialization,TechnicalHygiene,,,Name1,Technical Hygiene Skills Training by Area of Specialization
