observationAbout,variableMeasured,value,observationDate
dcid:geoId/01,dcid:Count_HousingUnit,2171853,2010
dcid:geoId/01,dcid:Count_HousingUnit_OccupiedHousingUnit,1883791,2010
dcid:geoId/01,dcid:Count_HousingUnit_VacantHousingUnit,288062,2010
dcid:geoId/01001,dcid:Count_HousingUnit,22135,2010
dcid:geoId/01001,dcid:Count_HousingUnit_OccupiedHousingUnit,20221,2010
dcid:geoId/01001,dcid:Count_HousingUnit_VacantHousingUnit,1914,2010
dcid:geoId/0100190171,dcid:Count_HousingUnit,1598,2010
dcid:geoId/0100190171,dcid:Count_HousingUnit_OccupiedHousingUnit,1306,2010
dcid:geoId/0100190171,dcid:Count_HousingUnit_VacantHousingUnit,292,2010
dcid:geoId/01001020100,dcid:Count_HousingUnit,752,2010
dcid:geoId/01001020100,dcid:Count_HousingUnit_OccupiedHousingUnit,693,2010
dcid:geoId/01001020100,dcid:Count_HousingUnit_VacantHousingUnit,59,2010
dcid:geoId/010010201001,dcid:Count_HousingUnit,283,2010
dcid:geoId/010010201001,dcid:Count_HousingUnit_OccupiedHousingUnit,262,2010
dcid:geoId/010010201001,dcid:Count_HousingUnit_VacantHousingUnit,21,2010
dcid:geoId/0100100,dcid:Count_HousingUnit,79,2010
dcid:geoId/0100100,dcid:Count_HousingUnit_OccupiedHousingUnit,68,2010
dcid:geoId/0100100,dcid:Count_HousingUnit_VacantHousingUnit,11,2010
