date,1-Month,3-Month,6-Month,1-Year,2-Year,3-Year,5-Year,7-Year,10-Year,20-Year,30-Year
1962-03-12,,,,3.13,,3.54,3.73,,3.94,4.06,
1962-03-13,,,,3.11,,3.53,3.70,,3.92,4.04,
1962-03-14,,,,3.10,,3.53,3.72,,3.93,4.04,
1962-03-15,,,,3.10,,3.52,3.73,,3.96,4.06,
1962-03-16,,,,3.06,,3.48,3.72,,3.96,4.05,
1962-03-19,,,,3.03,,3.44,3.71,,3.93,4.04,
1962-03-20,,,,3.02,,3.41,3.67,,3.91,4.02,
1962-03-21,,,,3.01,,3.37,3.61,,3.86,4.01,
1962-03-22,,,,2.94,,3.29,3.58,,3.83,3.97,
1962-03-23,,,,2.94,,3.33,3.62,,3.87,3.99,
1962-03-26,,,,2.95,,3.37,3.65,,3.89,4.01,
1962-03-27,,,,2.95,,3.39,3.65,,3.90,4.00,
1962-03-28,,,,2.96,,3.39,3.64,,3.90,4.00,
1962-03-29,,,,2.96,,3.40,3.64,,3.90,3.99,
1962-03-30,,,,2.97,,3.39,3.61,,3.86,3.98,
1962-04-02,,,,2.95,,3.38,3.58,,3.86,3.97,
1962-04-03,,,,2.93,,3.36,3.55,,3.83,3.95,
1962-04-04,,,,2.88,,3.28,3.51,,3.78,3.91,
1962-04-05,,,,2.89,,3.34,3.56,,3.84,3.94,
1962-04-06,,,,2.89,,3.32,3.55,,3.81,3.92,
1962-04-09,,,,2.90,,3.33,3.57,,3.83,3.92,
1962-04-10,,,,2.94,,3.36,3.57,,3.83,3.92,
1962-04-11,,,,3.00,,3.41,3.61,,3.87,3.94,
1962-04-12,,,,3.00,,3.40,3.61,,3.86,3.93,
1962-04-13,,,,3.00,,3.38,3.60,,3.85,3.92,
1962-04-16,,,,3.00,,3.37,3.60,,3.83,3.92,
1962-04-17,,,,3.00,,3.36,3.60,,3.82,3.92,
1962-04-18,,,,3.00,,3.35,3.60,,3.81,3.90,
1962-04-19,,,,3.00,,3.37,3.60,,3.82,3.91,
1962-04-20,,,,,,,,,,,
1962-04-23,,,,3.03,,3.40,3.63,,3.86,3.93,
1962-04-24,,,,3.08,,3.42,3.65,,3.87,3.94,
1962-04-25,,,,3.08,,3.43,3.66,,3.88,3.94,
1962-04-26,,,,3.04,,3.43,3.66,,3.89,3.94,
1962-04-27,,,,3.07,,3.45,3.64,,3.86,3.91,
1962-04-30,,,,3.07,,3.47,3.64,,3.86,3.91,
1962-05-01,,,,3.06,,3.45,3.63,,3.85,3.91,
1962-05-02,,,,3.06,,3.44,3.64,,3.86,3.91,
1962-05-03,,,,3.05,,3.42,3.64,,3.86,3.90,
1962-05-04,,,,3.05,,3.42,3.64,,3.87,3.90,
1962-05-07,,,,3.04,,3.41,3.64,,3.86,3.90,
1962-05-08,,,,3.01,,3.39,3.62,,3.85,3.90,
1962-05-09,,,,3.01,,3.37,3.60,,3.82,3.89,
1962-05-10,,,,2.99,,3.37,3.61,,3.83,3.88,
1962-05-11,,,,3.00,,3.37,3.61,,3.82,3.88,
1962-05-14,,,,3.00,,3.39,3.63,,3.85,3.89,
1962-05-15,,,,3.04,,3.41,3.67,,3.87,3.90,
1962-05-16,,,,3.04,,3.40,3.67,,3.86,3.91,
1962-05-17,,,,3.06,,3.40,3.67,,3.87,3.91,
1962-05-18,,,,3.05,,3.44,3.72,,3.93,3.94,
