"extractionConfig.url","extractionConfig.locale.language","extractionConfig.locale.countryIso","extractionConfig.incentiveCategory","extractionConfig.url_stable_hash","incentive.purchaseType","incentive.redemptionType","incentive.name","incentive.providerName","incentive.maximumAmount.currencyCode","incentive.maximumAmount.units","incentive.perUnitAmount.amount.currencyCode","incentive.perUnitAmount.amount.units","incentive.perUnitAmount.unit","incentive.percentageOfCostsCovered"
"https://www.dewa.gov.ae/en/consumer/solar-community/shams-dubai","en","AE","INCENTIVE_CATEGORY_SOLAR","89c1bda37e75bff7","PURCHASE_TYPE_CONSUMPTION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","DEWA Shams Dubai","Dubai Electricity and Water Authority (DEWA)","","","","","",""
"https://re.gaf.am/index7kom.html","en","AM","INCENTIVE_CATEGORY_SOLAR","6b318efecfd6ca57","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_LOAN","German-Armenian Fund Promotion of Renewable Energies Program Green Loans","German-Armenian Fund","","","","","",""
"https://www.mission-solar.at/tirol","en","AT","INCENTIVE_CATEGORY_SOLAR","9e527eb0fb22eca0","PURCHASE_TYPE_INSTALLATION","REDEMPTION_TYPE_REBATE_OR_SUBSIDY","Land Tirol PV-Anlagen Förderung","Bundesland Tirol","EUR","5000","EUR","250","CREDIT_UNITS_KILOWATTS",0.5
