key,prop,value,p1,v1,,,,,,
ID_VARIABLE:KN.S1,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S2,measuredProperty,count,age,[15 64 Years],populationType,Person,#Multiply,1000,,
ID_VARIABLE:KN.S3,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S4,measuredProperty,count,age,[15 64 Years],populationType,Person,#Multiply,1000,race,BlackAfrican
ID_VARIABLE:KN.S5,measuredProperty,count,age,[15 64 Years],populationType,Person,#Multiply,1000,race,SouthAfrica_Coloured
ID_VARIABLE:KN.S6,measuredProperty,count,age,[15 64 Years],populationType,Person,#Multiply,1000,race,Indian__Asian
ID_VARIABLE:KN.S7,measuredProperty,count,age,[15 64 Years],populationType,Person,#Multiply,1000,race,White
ID_VARIABLE:KN.S8,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S9,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S10,employmentStatus,BLS_InLaborForce,measuredProperty,count,populationType,Person,#Multiply,1000,,
ID_VARIABLE:KN.S11,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000,,
ID_VARIABLE:KN.S12,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S13,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S14,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S15,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S16,employmentStatus,BLS_Unemployed,measuredProperty,count,populationType,Person,#Multiply,1000,,
ID_VARIABLE:KN.S17,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S18,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S19,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S20,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S21,measuredProperty,unemploymentRate,populationType,Person,,,,,,
ID_VARIABLE:KN.S22,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S23,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S24,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S25,economicSector,Agriculture,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S26,economicSector,MiningQuarrying,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S27,economicSector,ManufacturingSector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S28,economicSector,UtilitySector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S29,economicSector,ConstructionSector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S30,economicSector,TradeSector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S31,economicSector,TransportStorageSector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S32,economicSector,FinancialActivities,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S33,economicSector,CommunityAndSocialService,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_VARIABLE:KN.S34,#ignore,skip,,,,,,,,
ID_VARIABLE:KN.S35,economicSector,SouthAfrica_OtherSector,measuredProperty,count,employmentStatus,Employed,populationType,Person,#Multiply,1000
ID_SEX:KN.S1,gender,Male,,,,,,,,
ID_SEX:KN.S2,gender,Female,,,,,,,,
TIME_PERIOD:2011-Q4,observationDate,2011-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2012-Q1,observationDate,2012-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2012-Q2,observationDate,2012-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2012-Q3,observationDate,2012-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2012-Q4,observationDate,2012-12,observationPeriod,P3M,,,,,,
TIME_PERIOD:2013-Q1,observationDate,2013-03,observationPeriod,P3M,,,,,,
TIME_PERIOD:2013-Q2,observationDate,2013-06,observationPeriod,P3M,,,,,,
TIME_PERIOD:2013-Q3,observationDate,2013-09,observationPeriod,P3M,,,,,,
TIME_PERIOD:2013-Q4,observationDate,2013-12,observationPeriod,P3M,,,,,,
