"observationAbout"
"country/USA"
"geoId/01115"
"geoId/01"
"geoId/01073"
"geoId/01097"
"geoId/02020"
"geoId/02"
"geoId/04"
"geoId/04013"
"geoId/04019"
"geoId/05"
"geoId/05119"
"geoId/06037"
"geoId/06"
"geoId/06067"
"geoId/06019"
"geoId/06071"
"geoId/06073"
"geoId/06001"
"geoId/06065"
"geoId/06029"
"geoId/06059"
"geoId/06085"
"geoId/08"
"geoId/08031"
"geoId/08041"
"geoId/09"
"geoId/09003"
"geoId/09001"
"geoId/10"
"geoId/10003"
"geoId/11"
"geoId/12"
"geoId/12057"
"geoId/12031"
"geoId/12095"
"geoId/12103"
"geoId/12099"
"geoId/12011"
"geoId/12086"
"geoId/13089"
"geoId/13"
"geoId/13121"
"geoId/13135"
"geoId/13067"
"geoId/15"
"geoId/15003"
"geoId/16"
"geoId/16001"
"geoId/17"
"geoId/17031"
"geoId/17043"
"geoId/18"
"geoId/18097"
"geoId/18089"
"geoId/19"
"geoId/19153"
"geoId/20"
"geoId/20091"
"geoId/20173"
"geoId/21"
"geoId/21111"
"geoId/21067"
"geoId/22"
"geoId/22051"
"geoId/22033"
"geoId/22071"
"geoId/23"
"geoId/23005"
"geoId/24"
"geoId/24033"
"geoId/24005"
"geoId/24031"
"geoId/25017"
"geoId/25"
"geoId/25027"
"geoId/25025"
"geoId/26"
"geoId/26163"
"geoId/26081"
"geoId/26125"
"geoId/26099"
"geoId/27"
"geoId/27053"
"geoId/27123"
"geoId/28"
"geoId/28047"
"geoId/28049"
"geoId/29"
"geoId/29189"
"geoId/29095"
"geoId/30111"
"geoId/30"
"geoId/31"
"geoId/31055"
"geoId/31109"
"geoId/32003"
"geoId/32"
"geoId/32031"
"geoId/33011"
"geoId/33"
"geoId/34"
"geoId/34017"
"geoId/34013"
"geoId/34023"
"geoId/34003"
"geoId/35"
"geoId/35001"
"geoId/36"
"geoId/36081"
"geoId/36005"
"geoId/36047"
"geoId/36029"
"geoId/36119"
"geoId/36061"
"geoId/36059"
"geoId/36103"
"geoId/37"
"geoId/37081"
"geoId/37119"
"geoId/37183"
"geoId/38"
"geoId/38017"
"geoId/39"
"geoId/39049"
"geoId/39035"
"geoId/39061"
"geoId/40109"
"geoId/40"
"geoId/40143"
"geoId/41051"
"geoId/41"
"geoId/41067"
"geoId/42101"
"geoId/42"
"geoId/42003"
"geoId/42091"
"geoId/44007"
"geoId/44"
"geoId/45"
"geoId/45045"
"geoId/45079"
"geoId/45019"
"geoId/46"
"geoId/46099"
"geoId/47157"
"geoId/47"
"geoId/47037"
"geoId/47093"
"geoId/48"
"geoId/48085"
"geoId/48439"
"geoId/48029"
"geoId/48141"
"geoId/48113"
"geoId/48201"
"geoId/48157"
"geoId/48121"
"geoId/48453"
"geoId/49"
"geoId/49035"
"geoId/49049"
"geoId/50"
"geoId/50007"
"geoId/51"
"geoId/51059"
"geoId/51153"
"geoId/53"
"geoId/53053"
"geoId/53033"
"geoId/53061"
"geoId/54"
"geoId/54039"
"geoId/55"
"geoId/55025"
"geoId/55079"
"geoId/55133"
"geoId/56"
"geoId/56021"
