key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,,
REGION,observationAbout,{Data},populationType,Person,,,,,,,,
OBS_VALUE,value,{Number},,,,,,,,,,
KN.B28,populationType,Person,measuredProperty,count,employmentStatus,InLaborForce,age,[5 17 Years],measurementDenominator,-employmentStatus,,
KN.B29,populationType,Person,measuredProperty,count,employmentStatus,InLaborForce,age,[5 17 Years],educationalAttainment,NoEducation,measurementDenominator,"-educationalAttainment,-employmentStatus"
KN.B30,populationType,Person,measuredProperty,count,employmentStatus,InLaborForce,age,[5 17 Years],educationalAttainment,PrimaryEducation,measurementDenominator,"-educationalAttainment,-employmentStatus"
KN.B31,populationType,Person,measuredProperty,count,employmentStatus,InLaborForce,age,[5 17 Years],educationalAttainment,SecondaryEducation,measurementDenominator,"-educationalAttainment,-employmentStatus"
KN.B32,populationType,Person,measuredProperty,count,employmentStatus,InLaborForce,age,[5 17 Years],educationalAttainment,HigherSecondaryEducation,measurementDenominator,"-educationalAttainment,-employmentStatus"
KN.B102,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,measurementDenominator,-educationalAttainment,,,,
KN.B103,populationType,Person,measuredProperty,count,educationalAttainment,LessThanPrimaryEducation,measurementDenominator,-educationalAttainment,,,,
KN.B104,populationType,Person,measuredProperty,count,educationalAttainment,PrimaryEducation,measurementDenominator,-educationalAttainment,,,,
KN.B105,populationType,Person,measuredProperty,count,educationalAttainment,LowerSecondaryEducation,measurementDenominator,-educationalAttainment,,,,
KN.B106,populationType,Person,measuredProperty,count,educationalAttainment,SecondaryEducation,measurementDenominator,-educationalAttainment,,,,
KN.B107,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,measurementDenominator,-educationalAttainment,,,,
KN.B253,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B254,populationType,Person,measuredProperty,count,educationalAttainment,HigherSecondaryEducation,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B162,populationType,Person,measuredProperty,count,employmentStatus,Employed,measurementDenominator,-employmentStatus,observationPeriod,P1Y,,
KN.B163,populationType,Person,measuredProperty,count,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,observationPeriod,P1Y,,
KN.B203,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,,,,,,
KN.B204,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B205,populationType,Person,measuredProperty,count,maritalStatus,NeverMarried,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B211,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,,,,,,
KN.B212,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B213,populationType,Person,measuredProperty,count,maritalStatus,Married__LivingTogether,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B220,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B221,populationType,Person,measuredProperty,count,maritalStatus,DivorcedOrSeparated__Widowed,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B229,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B230,populationType,Person,measuredProperty,count,educationalAttainment,NoEducation,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
KN.B237,populationType,Person,measuredProperty,count,educationalAttainment,PrimaryEducation,employmentStatus,Employed,measurementDenominator,-employmentStatus,,
KN.B238,populationType,Person,measuredProperty,count,educationalAttainment,PrimaryEducation,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
