place_name,dcid,
KN.A1,country/ETH,Ethiopia
KN.A4,wikidataId/Q3624,Addis Ababa
KN.A5,wikidataId/Q193494,Afar
KN.A6,wikidataId/Q203009,Amhara Region
KN.A7,wikidataId/Q207635,Benishangul-Gumuz Region
KN.A8,wikidataId/Q193486,Dire Dawa
KN.A9,wikidataId/Q762656,Gambela
KN.A10,wikidataId/Q1033855,Harari Region
KN.A11,wikidataId/Q202107,Oromia Region
KN.A12,wikidataId/Q203193,"Southern Nations, Nationalities, and Peoples' Region"
KN.A13,wikidataId/Q202800,Somali Region
KN.A14,wikidataId/Q200127,Tigray Region
