key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
#Region,observationAbout,{Data},,,,,,,,
"Regional Population Distribution, Male",populationType,Person,gender,Male,measurementDenominator,-gender,,,,
"Regional Population Distribution, Female",populationType,Person,gender,Female,measurementDenominator,-gender,,,,
"Place of Residence, Urban",populationType,Person,placeOfResidenceClassification,Urban,measurementDenominator,-placeOfResidenceClassification,,,,
"Place of Residence, Rural",populationType,Person,placeOfResidenceClassification,Rural,measurementDenominator,-placeOfResidenceClassification,,,,
%,unit,Percent,scalingFactor,100,,,,,,
kcal/capita/day,#ignore,Data not needed,,,,,,,,
2000,observationDate,2000,value,{Number},,,,,,
2005,observationDate,2005,value,{Number},,,,,,
2011,observationDate,2011,value,{Number},,,,,,
Addis Ababa,observationAbout,wikidataId/Q3624,#Header,observationAbout,,,,,,
Ethiopia,observationAbout,country/ETH,#Header,observationAbout,,,,,,
Afar,observationAbout,wikidataId/Q193494,#Header,observationAbout,,,,,,
Amhara,observationAbout,wikidataId/Q203009,#Header,observationAbout,,,,,,
Benishangul-Gumuz,observationAbout,wikidataId/Q207635,#Header,observationAbout,,,,,,
Dire Dawa,observationAbout,wikidataId/Q193486,#Header,observationAbout,,,,,,
Gambela,observationAbout,wikidataId/Q762656,#Header,observationAbout,,,,,,
Harari,observationAbout,wikidataId/Q1033855,#Header,observationAbout,,,,,,
Oromiya,observationAbout,wikidataId/Q202107,#Header,observationAbout,,,,,,
"Southern Nations, Nationalities, and People's Region",observationAbout,wikidataId/Q203193,#Header,observationAbout,,,,,,
Somali,observationAbout,wikidataId/Q202800,#Header,observationAbout,,,,,,
Tigray,observationAbout,wikidataId/Q200127,#Header,observationAbout,,,,,,
