key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
Total,populationType,Person,observationDate,2022,,,,,,
Male,populationType,Person,gender,Male,observationDate,2022,,,,
Female,populationType,Person,gender,Female,observationDate,2022,,,,
Ethiopia,observationAbout,country/ETH,value,{Number},,,,,,
Tigray,observationAbout,wikidataId/Q200127,value,{Number},,,,,,
Afar,observationAbout,wikidataId/Q193494,value,{Number},,,,,,
Amhara,observationAbout,wikidataId/Q203009,value,{Number},,,,,,
Oromia,observationAbout,wikidataId/Q202107,value,{Number},,,,,,
Somali,observationAbout,wikidataId/Q202800,value,{Number},,,,,,
Benshangul Gumz,observationAbout,wikidataId/Q207635,value,{Number},,,,,,
SNNP,observationAbout,wikidataId/Q203193,value,{Number},,,,,,
Gambella,observationAbout,wikidataId/Q762656,value,{Number},,,,,,
Harari,observationAbout,wikidataId/Q1033855,value,{Number},,,,,,
Addis Ababa,observationAbout,wikidataId/Q3624,value,{Number},,,,,,
Dire Dawa,observationAbout,wikidataId/Q193486,value,{Number},,,,,,
