"StatVar","MeasurementMethods","MinDate","observationPeriods","NumPlaces","Units","ScalingFactors"
"Count_MortalityEvent_Assault(Homicide)","[]","2018","[P1Y]","576","[]","[]"
"Count_MortalityEvent_Suicide","[]","2018","[P1Y]","1421","[]","[]"
