Table,Administrative Unit,Units,2013,2014,2015,2016,2017,2018,2019,2020
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Lamu,,19380,19782,21544,21794,23257,25624,27431,26861
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Taita Taveta,,38742,41368,43148,44822,45810,48196,50587,50280
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Garissa,,33954,35368,36644,42138,42731,46838,47872,50092
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Wajir,,29602,28170,34235,35965,37222,38279,40935,41150
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Mandera,,31039,30875,33342,34630,35361,39675,43228,47699
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Marsabit,,31770,31058,34874,36303,34445,38120,48834,50186
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Isiolo,,15656,15357,17288,17882,18316,20435,22065,22465
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Meru,,196582,206350,215504,219506,222453,228268,242357,243190
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Tharaka-Nithi,,36893,37485,38971,40723,42828,45876,46386,48320
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Embu,,104661,98989,99604,110211,108828,118065,114651,121412
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kitui,,76037,82708,87402,82015,87429,94953,103534,102772
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Machakos,,218816,226474,238078,241146,246942,261253,264050,265962
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Makueni,,67069,68953,74800,77054,78146,85563,92088,88687
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nyandarua,,77294,84597,95657,94896,104138,101197,109895,107389
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nyeri,,128188,135428,143708,146313,145284,149998,160715,164267
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kirinyaga,,81667,83360,87782,91645,96449,95553,101992,101500
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Murang'a,,129266,135675,138092,141567,137995,144211,147170,153219
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Kiambu,,358143,375967,398008,417022,427146,435641,457744,453872
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Turkana,,60515,61295,68948,68983,70925,79766,86329,87077
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",West Pokot,,40965,42887,47587,52040,48660,52795,57534,61784
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Samburu,,16224,15900,19001,20921,20380,21743,24574,24394
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Trans-Nzoia,,93263,97382,103544,104415,107948,124705,125619,129367
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Uasin-Gishu,,144209,150122,157315,164641,173523,181918,191598,189017
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Elgeyo-Marakwet,,54508,58224,50922,57741,64045,76336,82172,83396
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nandi,,92775,98632,100916,107119,108127,118134,115286,117952
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Baringo,,46891,48386,50400,51367,54892,54156,59408,59642
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Laikipia,,53235,54250,61119,67322,66294,70913,73628,74155
"Gross County Product (GCP) 2013-2020, in Constant Prices KSh million",Nakuru,,285854,318470,338995,366157,352340,366443,391562,388539
