place_name,dcid
RW,country/RWA
RW-KP,wikidataId/Q167196
RW-SP,wikidataId/Q853162
RW-WP,wikidataId/Q737354
RW-NP,wikidataId/Q845807
RW-EP,wikidataId/Q853152
RW-KP-NE,wikidataId/Q2424641
RW-KP-GO,wikidataId/Q2424659
RW-KP-KO,wikidataId/Q2424726
RW-SP-NA,wikidataId/Q2632821
RW-SP-GA,wikidataId/Q2424716
RW-SP-NU,wikidataId/Q2632798
RW-SP-HE,wikidataId/Q2632827
RW-SP-NE,wikidataId/Q2632783
RW-SP-RO,wikidataId/Q2632806
RW-SP-MA,wikidataId/Q2632789
RW-SP-KI,wikidataId/Q2424592
RW-WP-KI,wikidataId/Q429825
RW-WP-RO,wikidataId/Q2724023
RW-WP-RU,wikidataId/Q2424738
RW-WP-NU,wikidataId/Q2424699
RW-WP-NO,wikidataId/Q2424675
RW-WP-RI,wikidataId/Q781590
RW-WP-NE,wikidataId/Q2005905
RW-NP-RO,wikidataId/Q2424625
RW-NP-GE,wikidataId/Q781985
RW-NP-ME,wikidataId/Q2360921
RW-NP-BA,wikidataId/Q2724063
RW-NP-GI,wikidataId/Q2424750
RW-EP-RA,wikidataId/Q921255
RW-EP-NE,wikidataId/Q2632814
RW-EP-GO,wikidataId/Q2724046
RW-EP-KA,wikidataId/Q426211
RW-EP-KE,wikidataId/Q596210
RW-EP-NA,wikidataId/Q2724035
RW-EP-BA,wikidataId/Q2724056
D1,wikidataId/Q2424641
D2,wikidataId/Q720843
D10,wikidataId/Q2424641
D12,wikidataId/Q2424659
D16,wikidataId/Q5564981
D28,wikidataId/Q2424726
D34,wikidataId/Q2424726
D36,wikidataId/Q956659
D51,wikidataId/Q2424716
D65,wikidataId/Q2632798
D79,wikidataId/Q5765084
D86,wikidataId/Q509818
D95,wikidataId/Q2632783
D123,wikidataId/Q668180
D128,wikidataId/Q668180
D136,wikidataId/Q2424592
D150,wikidataId/Q429825
D164,wikidataId/Q2724023
D182,wikidataId/Q830631
D191,wikidataId/Q2424699
D196,wikidataId/Q4821353
D206,wikidataId/Q21279315
D208,wikidataId/Q30338
D218,wikidataId/Q781590
D220,wikidataId/Q509739
D227,wikidataId/Q21369248
D254,wikidataId/Q2424625
D255,wikidataId/Q78
D260,wikidataId/Q5201418
D269,wikidataId/Q7380907
D278,wikidataId/Q2744414
D287,wikidataId/Q1431785
D288,wikidataId/Q6991046
D292,wikidataId/Q246145
D294,wikidataId/Q5201419
D301,wikidataId/Q850640
D302,wikidataId/Q246145
D308,wikidataId/Q2724063
D320,wikidataId/Q6991046
D325,wikidataId/Q3453723
D326,wikidataId/Q2424750
D327,wikidataId/Q19660
D329,wikidataId/Q391747
D333,wikidataId/Q12283197
D337,wikidataId/Q850640
D349,wikidataId/Q246139
D365,wikidataId/Q389663
D379,wikidataId/Q2724046
D381,wikidataId/Q2724046
D383,wikidataId/Q4400878
D394,wikidataId/Q426211
D396,wikidataId/Q22494089
D399,wikidataId/Q4307831
D407,wikidataId/Q596210
D412,wikidataId/Q596210
D413,wikidataId/Q1814892
D424,wikidataId/Q851680
D425,wikidataId/Q3408373
D427,wikidataId/Q4307831
D435,wikidataId/Q2724056
D437,wikidataId/Q1808550
D445,wikidataId/Q2356928
D446,wikidataId/Q2424641
D447,wikidataId/Q21405823
