key,prop,val,p1,v1,p2,v2,,,,,,
OBS_VALUE,value,{Number},populationType,Person,observationAbout,country/RWA,unit,Percent,scalingFactor,100,observationPeriod,P3M
I3,#ignore,ignore,,,,,,,,,,
I4,schoolGradeLevel,PrimaryEducation,measurementDenominator,-employmentStatus,I4,Primary,,,,,,
I5,schoolGradeLevel,LowerSecondaryEducation,measurementDenominator,-employmentStatus,I5,Lower_secondary,,,,,,
I6,schoolGradeLevel,UpperSecondaryEducation,measurementDenominator,-employmentStatus,I6,Upper_secondary,,,,,,
I7,schoolGradeLevel,UniversityEducation,measurementDenominator,-employmentStatus,I7,University,,,,,,
I9,#ignore,ignore,measurementDenominator,-employmentStatus,I9,Total,,,,,,
I10,educationalDegree,GeneralEducation,measurementDenominator,-employmentStatus,I10,General education,,,,,,
I11,educationalDegree,EducationMajor,measurementDenominator,-employmentStatus,I11,Education,,,,,,
I12,educationalDegree,HumanityAndArts,measurementDenominator,-employmentStatus,I12,Humanity and art,,,,,,
I13,educationalDegree,SocialScienceAndBusiness,measurementDenominator,-employmentStatus,I13,Social Science busine,,,,,,
I14,educationalDegree,Science,measurementDenominator,-employmentStatus,I14,Science,,,,,,
I15,educationalDegree,EngineeringManufacturing,measurementDenominator,-employmentStatus,I15,"Engineering, manufacturing",,,,,,
I16,educationalDegree,Agriculture,measurementDenominator,-employmentStatus,I16,Agriculture,,,,,,
I17,educationalDegree,HealthWelfare,measurementDenominator,-employmentStatus,I17,Health and welfare,,,,,,
I18,educationalDegree,Services,measurementDenominator,-employmentStatus,I18,Services,,,,,,
ES2,employmentStatus,Employed,,,,,,,,,,
ES3,employment,BLS_Unemployed,,,,,,,,,,
ES4,employmentStatus,BLS_NotInLaborForce,,,,,,,,,,
ES5,#ignore,ignore,,,,,,,,,,
FREQ,observationPeriod,P3M,,,,,,,,,,
2019,observationDate,2019,,,,,,,,,,
2020,observationDate,2020,,,,,,,,,,
2021,observationDate,2021,,,,,,,,,,
2021,observationDate,2021,,,,,,,,,,
2019-Q1,observationDate,2019-03,,,,,,,,,,
2019-Q2,observationDate,2019-06,,,,,,,,,,
2019-Q3,observationDate,2019-09,,,,,,,,,,
2019-Q4,observationDate,2019-12,,,,,,,,,,
2020-Q1,observationDate,2020-03,,,,,,,,,,
2020-Q2,observationDate,2020-06,,,,,,,,,,
2020-Q3,observationDate,2020-09,,,,,,,,,,
2020-Q4,observationDate,2020-12,,,,,,,,,,
2021-Q1,observationDate,2021-03,,,,,,,,,,
2021-Q2,observationDate,2021-06,,,,,,,,,,
2021-Q3,observationDate,2021-09,,,,,,,,,,
2021-Q4,observationDate,2021-12,,,,,,,,,,
2022-Q1,observationDate,2022-03,,,,,,,,,,
2022-Q3,observationDate,2022-09,,,,,,,,,,
