unit,physact,c_birth,sex,age,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
PC,MV_AERO,FOR,T,Y15-24,2014	45.4 	45.6 	: u	: u	74.1 u	61.6 	: u	41.5 u	31.3 u	40.4 	32.9 	35.9 u	32.1 	38.3 	: u	: u	47.1 	: u	: u	63.2 	: u	53.4 	: u	71.5 u	: u	: u	63.4 	69.6 	64.9 	46.7 	2.3 u
PC,MV_AERO,FOR,T,Y18-24,2014	43.1 	44.0 	: u	: u	69.4 u	60.9 	: u	35.4 u	21.9 u	36.2 	26.6 	30.0 u	30.9 	29.3 	: u	: u	44.7 	: u	: u	65.7 	: u	54.8 	: u	67.8 u	: u	: u	64.5 	62.1 u	64.9 	47.7 	: u
PC,MV_AERO,FOR,T,Y18-29,2014	39.8 	40.9 	: u	: u	59.4 	53.6 	: u	36.6 u	23.6 	37.7 	25.2 	21.4 u	23.9 	27.0 	48.9 u	: u	41.4 	40.6 u	42.3 u	56.5 	: u	44.0 	: u	45.8 u	: u	62.3 u	60.3 	68.1 	61.6 	44.8 	5.5 u
PC,MV_AERO,FOR,T,Y18-44,2014	31.7 	32.9 	: u	26.6 	51.3 	46.8 	33.1 	30.8 	20.2 	32.1 	19.2 	13.7 	16.6 	25.7 	28.9 	26.2 u	35.3 	38.6 	45.4 	44.9 	55.5 u	26.4 	: u	34.1 	: u	44.4 	50.2 	60.3 	54.0 	62.2 	7.0 
PC,MV_AERO,FOR,T,Y18-64,2014	30.1 	30.9 	14.5 u	22.9 	49.4 	43.8 	20.1 	28.9 	16.1 	32.3 	21.0 	14.4 	14.8 	27.3 	18.6 	13.5 	35.0 	38.8 	48.3 	44.4 	42.9 u	24.7 	: u	29.2 	33.1 	42.4 	47.6 	56.3 	52.8 	34.6 	5.1 
PC,MV_AERO,FOR,T,Y25-34,2014	32.8 	33.9 	: u	41.2 u	47.5 	47.3 	33.5 u	31.4 u	22.1 	33.7 	21.2 	8.7 	14.7 	22.2 	43.6 u	: u	35.0 	52.7 u	54.4 u	44.7 	: u	29.7 	0 	33.9 	: u	33.2 u	51.9 	62.6 	54.1 	37.9 	6.0 
PC,MV_AERO,FOR,T,Y25-64,2014	28.9 	29.6 	11.2 u	23.9 	46.7 	42.3 	20.2 	27.9 	15.6 	31.8 	20.7 	13.5 	13.4 	27.1 	18.3 	12.8 	34.2 	39.1 	48.4 	42.0 	44.2 u	21.8 	0 	27.7 	30.8 	39.8 	45.6 	55.6 	51.2 	33.0 	5.3 
PC,MV_AERO,FOR,T,Y35-44,2014	27.2 	28.4 	: u	19.8 u	47.5 	41.4 	34.1 	27.8 	17.5 	29.1 	15.7 	13.7 	14.4 	28.0 	19.8 	: u	33.2 	27.9 u	39.8 	37.3 	: u	17.6 	0 	28.5 	: u	47.0 	42.4 	57.3 	49.8 	34.1 	9.6 
PC,MV_AERO,FOR,T,Y45-54,2014	28.0 	27.8 	: u	15.2 u	47.3 	42.2 	19.6 	24.2 	9.2 	33.8 	20.4 	14.7 	11.8 	32.9 	12.6 	16.5 u	33.5 	42.0 u	56.8 u	38.0 	: u	25.0 	0 	27.2 	: u	39.5 u	45.6 	53.2 	51.9 	26.9 	3.1 
PC,MV_AERO,FOR,T,Y45-64,2014	27.6 	27.5 	: u	17.5 u	45.1 	39.9 	16.4 	24.1 	9.8 	32.9 	22.7 	14.9 	11.6 	31.7 	15.5 	10.7 	34.4 u	39.0 u	52.3 	43.6 	28.1 u	21.9 	0 	25.4 	21.2 u	36.6 	43.3 	48.2 	49.0 	26.9 	2.6 
PC,MV_AERO,FOR,T,Y55-64,2014	27.0 	27.0 	: u	20.6 u	41.6 	36.6 	14.3 	24.1 	11.2 	30.8 	25.0 	15.2 	11.4 	29.0 	17.4 	7.8 	36.0 u	: u	46.7 u	53.0 	: u	15.5 	0 	23.8 	27.4 u	: u	39.2 u	39.1 u	43.4 	26.9 	2.3 
