observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
dcid:country/AFG,2018-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:2:12
dcid:country/AFG,2018-10,0,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:3:12
dcid:country/AFG,2018-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:5:12
dcid:country/AFG,2018-10,0,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:6:12
dcid:country/AFG,2018-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:7:12
dcid:country/AFG,2018-10,0,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:8:12
dcid:country/AFG,2018-10,0,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:9:12
dcid:country/DZA,2010-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:10:12
dcid:country/DZA,2010-10,1600,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:11:12
dcid:country/DZA,2010-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:13:12
dcid:country/DZA,2010-10,1600,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:14:12
dcid:country/DZA,2010-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:15:12
dcid:country/DZA,2010-10,1600,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:16:12
dcid:country/DZA,2010-10,1600,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:17:12
dcid:country/DZA,2009-08,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:18:12
dcid:country/DZA,2009-08,1600,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:19:12
dcid:country/DZA,2009-08,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:21:12
dcid:country/DZA,2009-08,1600,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:22:12
dcid:country/DZA,2009-08,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:23:12
dcid:country/DZA,2009-08,1600,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:24:12
dcid:country/DZA,2009-08,1600,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:25:12
dcid:country/DZA,2014-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:26:12
dcid:country/DZA,2014-10,4300,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:27:12
dcid:country/DZA,2014-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:29:12
dcid:country/DZA,2014-10,4300,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:30:12
dcid:country/DZA,2014-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:31:12
dcid:country/DZA,2014-10,4300,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:32:12
dcid:country/DZA,2014-10,4300,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:33:12
dcid:country/DZA,2016-08,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:34:12
dcid:country/DZA,2016-08,2800,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:35:12
dcid:country/DZA,2016-08,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:37:12
dcid:country/DZA,2016-08,2800,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:38:12
dcid:country/DZA,2016-08,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:39:12
dcid:country/DZA,2016-08,2800,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:40:12
dcid:country/DZA,2016-08,2800,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:41:12
dcid:country/DZA,2016-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:42:12
dcid:country/DZA,2016-10,4300,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:43:12
dcid:country/DZA,2016-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:45:12
dcid:country/DZA,2016-10,4300,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:46:12
dcid:country/DZA,2016-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:47:12
dcid:country/DZA,2016-10,4300,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:48:12
dcid:country/DZA,2016-10,4300,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:49:12
dcid:country/DZA,2018-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:50:12
dcid:country/DZA,2018-10,5900,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:51:12
dcid:country/DZA,2018-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:53:12
dcid:country/DZA,2018-10,5900,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:54:12
dcid:country/DZA,2018-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:55:12
dcid:country/DZA,2018-10,5900,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:56:12
dcid:country/DZA,2018-10,5900,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:57:12
dcid:country/DZA,2019-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:58:12
dcid:country/DZA,2019-10,3900,dcid:Consumption_FarmInventory_Domestic_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:59:12
dcid:country/DZA,2019-10,0,dcid:Exports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:61:12
dcid:country/DZA,2019-10,3900,dcid:Imports_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:62:12
dcid:country/DZA,2019-10,0,dcid:Production_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:63:12
dcid:country/DZA,2019-10,3900,dcid:Amount_FarmInventory_ShelledAlmonds_TotalDistribution,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:64:12
dcid:country/DZA,2019-10,3900,dcid:Amount_FarmInventory_ShelledAlmonds_Supply,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:65:12
dcid:country/DZA,2020-10,0,dcid:Stock_FarmInventory_ShelledAlmonds,MetricTon,,/usr/local/google/home/bipina/USDA/data/statvar_imports/usda/agriculture/input_data.csv:66:12
